,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
33,Additional Paid-In Capital,-,2850,2570,2569,2569,2569,2285,2327,2321,2309,2295,645.18,632.24,-,595.47,-
34,Retained Earnings,-,111.72,59.23,150.45,144.15,104.26,82.24,144.26,121.11,78.76,57.18,32.9,28.62,-,12.16,-
35,Treasury Stock,-,-31.87,-26.76,-19.76,-9.76,-9.76,-9.76,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,4.08,0.58,0.52,1.15,0.26,0.32,1.2,0.41,-0.09,0.88,1.65,1.88,-,1.76,-
37,Total Common Equity,3128,3128,2788,2886,2889,2849,2537,2594,2564,2509,2474,770.72,753.72,-,700.38,674.46
38,Minority Interest,-,-,41.13,36.93,-,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,3128,3128,2829,2923,2889,2849,2537,2594,2564,2509,2474,770.72,753.72,-,700.38,674.46
40,Total Liabilities & Equity,-,3818,3484,3412,3266,3260,2928,2943,2789,2706,2695,941.36,916.79,-,845.14,-
41,Total Debt,424.96,424.96,407.29,293.61,99.98,191.77,176.48,133.7,3.6,1.63,19.78,19.45,21.62,-,20.21,18.9
42,Net Cash (Debt),1723,1723,1679,1738,1935,1988,1695,1803,1888,1876,1895,289.71,337.77,-,317.57,295.92
43,Net Cash Growth,-10.99%,-13.33%,-0.93%,-3.57%,2.53%,5.96%,-10.56%,522.28%,458.87%,-,496.83%,-2.10%,-,-,-,-
44,Net Cash Per Share,8.93,9.49,9.76,8.27,10.61,10.85,9.62,10.13,10.76,10.16,10.90,2.29,1.98,-,2.35,2.13
45,Filing Date Shares Outstanding,194.1,194.39,185.12,185.12,185.12,185.12,179.82,179.54,179.54,179.54,179.54,134.65,134.65,132.96,134.65,138.69
46,Total Common Shares Outstanding,194.1,194.39,185.12,185.12,185.12,185.12,179.82,179.54,179.54,179.54,179.54,134.65,134.65,132.96,134.65,138.69
47,Working Capital,-,2003,1930,2029,2096,2174,1864,1923,1982,2002,2010,402.81,437.2,-,379.02,-
48,Book Value Per Share,16.09,16.09,15.06,15.59,15.61,15.39,14.11,14.45,14.28,13.98,13.78,5.72,5.60,-,5.20,5.01
49,Tangible Book Value,2752,2752,2632,2731,2854,2820,2510,2568,2538,2485,2451,748.05,731.26,-,679.36,655.71
50,Tangible Book Value Per Share,14.16,14.16,14.22,14.75,15.42,15.23,13.96,14.30,14.14,13.84,13.65,5.56,5.43,-,5.05,4.87
51,Buildings,-,-,532.75,-,514.04,-,303.92,-,300.31,-,257.53,-,256.76,-,257.2,-
52,Machinery,-,-,284.99,-,269.36,-,233.21,-,199.6,-,68.79,-,58.86,-,55.08,-
53,Construction In Progress,-,-,6.72,-,13.25,-,7.05,-,4.5,-,39.69,-,7.14,-,0.45,-
