,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
9,Operating Expenses,45.47,44.67,42.26,43.75,47.51,52.28,36.8,49.83,33.62,41.55,34.66,34.13,25.94,23.79,28.4,36.76,72.22,16.51
10,Operating Income,-14.32,-10.61,-20.04,-19.37,-28.16,-31.97,-27.37,-3.29,-2.03,-18.79,-19,31.23,13.97,17.95,-5.44,32.75,12.63,4.43
11,Interest Expense,-1.55,-0.67,-0.23,-1.94,-0.36,-0.25,-0.28,-0.33,-0.28,-0.34,-0.38,-0.47,-0.42,-0.56,-0.56,-0.71,-,-0.51
12,Interest & Investment Income,-,1.16,0.78,1.67,1.51,1.23,2.83,3.57,5,1.43,1.72,0.05,0.09,0.18,0.19,0.1,-,0.13
13,Other Non Operating Income (Expenses),1.43,-0.99,-0.84,0.76,-0.24,-1.03,-0.53,3.05,-0.11,-5.04,-0.53,-0.4,-0.48,-1.72,0.28,-1.32,-0.83,0.06
14,EBT Excluding Unusual Items,-14.43,-11.12,-20.34,-18.87,-27.25,-32.02,-25.35,2.99,2.57,-22.74,-18.19,30.41,13.17,15.85,-5.53,30.82,11.8,4.11
15,Impairment of Goodwill,-,-,-,-,0.1,-0.1,-,-0.05,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-0.61,-0.07,-0.07,0.56,-0.16,-0.05,-0.02,1.05,-0.04,0,-0.06,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.03,-0.17,-,-0.3,-0.09,-0.65,0.01,-0.23,-,-,-0.28,-0.08,-,-0.12,-,0,-,-0
18,Asset Writedown,-0.19,0.43,-0.39,0.24,-1.61,0.11,-0.11,1.09,-1.07,0.54,-0.56,1.31,-1.22,-0.09,-,7.14,-,-
19,Other Unusual Items,0.25,0.91,-,0.87,-0,0,-,10.24,-0.05,0.05,-,2.25,-0.02,0.02,-,-3.39,-,0.91
20,Pretax Income,-15,-10.02,-20.8,-17.5,-29.01,-32.71,-25.46,15.09,1.41,-22.14,-19.09,33.88,11.93,15.66,-5.53,34.57,11.8,5.02
21,Income Tax Expense,-3.06,-2.9,-2.78,1.74,-5.9,-7.12,-5.44,0.55,-0.49,-4.66,-4.4,4.22,1.38,1.51,-2.09,4.41,2.1,0.49
22,Earnings From Continuing Operations,-11.95,-7.12,-18.02,-19.24,-23.11,-25.59,-20.02,14.54,1.91,-17.48,-14.69,29.67,10.55,14.15,-3.44,30.16,9.69,4.52
23,Minority Interest in Earnings,0.55,-2.96,1.77,-5.58,-0.34,0.62,-0.28,-2.13,-0.22,-0.13,0.24,-0.46,-0.14,-0.25,0.35,-2.3,-0.46,-0.58
24,Net Income,-11.4,-10.09,-16.25,-24.82,-23.44,-24.97,-20.3,12.41,1.69,-17.61,-14.45,29.2,10.41,13.91,-3.09,27.86,9.23,3.94
25,Net Income to Common,-11.4,-10.09,-16.25,-24.82,-23.44,-24.97,-20.3,12.41,1.69,-17.61,-14.45,29.2,10.41,13.91,-3.09,27.86,9.23,3.94
26,Net Income Growth,-,-,-,-,-,-,-,-57.50%,-83.79%,-,-,4.83%,12.79%,252.64%,-,-,-,-
27,Shares Outstanding (Basic),133,112,120,118,122,120,120,128,121,118,111,95,87,77,103,89,90,99
28,Shares Outstanding (Diluted),133,112,120,118,122,120,120,128,121,118,111,95,87,77,103,89,90,99
29,Shares Change (YoY),9.15%,-6.38%,-0.01%,-8.13%,0.20%,1.81%,7.96%,35.40%,40.01%,52.20%,8.03%,6.94%,-3.62%,-21.46%,-,-,-,-
30,EPS (Basic),-0.09,-0.09,-0.14,-0.21,-0.19,-0.21,-0.17,0.10,0.01,-0.15,-0.13,0.31,0.12,0.18,-0.03,0.31,0.10,0.04
31,EPS (Diluted),-0.09,-0.09,-0.14,-0.21,-0.19,-0.21,-0.17,0.10,0.01,-0.15,-0.13,0.31,0.12,0.18,-0.03,0.31,0.10,0.04
32,EPS Growth,-,-,-,-,-,-,-,-68.61%,-88.42%,-,-,-1.97%,17.02%,349.01%,-,-,-,-
33,Free Cash Flow,-18.47,-5.64,-8.65,41.41,-22.15,-20.46,-53.18,25.17,-21.57,-9.85,-38.56,77.12,-10.91,13.37,-21.76,44.21,5.8,-32.13
34,Free Cash Flow Per Share,-0.14,-0.05,-0.07,0.35,-0.18,-0.17,-0.44,0.20,-0.18,-0.08,-0.35,0.81,-0.13,0.17,-0.21,0.50,0.06,-0.33
35,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,0.200,-,-,-,-,-,-
36,Gross Margin,28.82%,27.76%,29.14%,19.66%,24.20%,20.45%,13.36%,33.04%,35.47%,34.16%,28.55%,40.95%,39.41%,40.39%,37.87%,42.67%,100.00%,49.22%
37,Operating Margin,-13.24%,-8.65%,-26.27%,-15.62%,-35.22%,-32.20%,-38.77%,-2.34%,-2.28%,-28.18%,-34.63%,19.57%,13.80%,17.37%,-8.98%,20.11%,14.89%,10.41%
38,Profit Margin,-10.54%,-8.22%,-21.30%,-20.02%,-29.32%,-25.15%,-28.76%,8.81%,1.89%,-26.42%,-26.34%,18.30%,10.28%,13.45%,-5.09%,17.10%,10.88%,9.27%
39,Free Cash Flow Margin,-17.08%,-4.59%,-11.33%,33.39%,-27.71%,-20.61%,-75.34%,17.87%,-24.22%,-14.78%,-70.28%,48.32%,-10.77%,12.94%,-35.89%,27.14%,6.83%,-75.49%
40,EBITDA,-3.69,-1.34,-9.41,-8.74,-18.17,-20.86,-17.38,6.69,7.59,-9.23,-9.37,40.86,21.88,27.49,2.46,41.78,20.16,11.29
41,EBITDA Margin,-3.41%,-1.09%,-12.34%,-7.05%,-22.73%,-21.01%,-24.62%,4.75%,8.53%,-13.85%,-17.08%,25.60%,21.60%,26.60%,4.07%,25.64%,23.77%,26.52%
42,D&A For EBITDA,10.63,9.27,10.63,10.63,9.99,11.11,9.99,9.99,9.63,9.55,9.63,9.63,7.91,9.54,7.91,9.02,7.53,6.86
43,EBIT,-14.32,-10.61,-20.04,-19.37,-28.16,-31.97,-27.37,-3.29,-2.03,-18.79,-19,31.23,13.97,17.95,-5.44,32.75,12.63,4.43
44,EBIT Margin,-13.24%,-8.65%,-26.27%,-15.62%,-35.22%,-32.20%,-38.77%,-2.34%,-2.28%,-28.18%,-34.63%,19.57%,13.80%,17.37%,-8.98%,20.11%,14.89%,10.41%
45,Effective Tax Rate,-,-,-,-,-,-,-,3.66%,-,-,-,12.44%,11.54%,9.62%,-,12.77%,17.83%,9.81%
46,Revenue as Reported,108.11,122.69,76.28,124.01,79.95,99.28,70.59,140.87,89.07,66.66,54.87,159.6,101.28,103.36,60.63,162.92,-,42.56
