,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
39,Total Liabilities & Equity,1161,1198,1206,1235,1197,1234,1208,1241,1112,1107,1157,675.44,-,596.22,-,597.96,562.21,486.39
40,Total Debt,82.45,80,88.13,75.32,79.45,100.79,68.22,69.78,68.8,65.54,84.11,93.39,-,69.3,65,65,72,45
41,Net Cash (Debt),224.84,295.01,281.47,279.92,213.85,237.18,269.3,310.73,388.35,467.14,505.21,12.95,-,-21.47,16.6,16.6,-27.02,21.75
42,Net Cash Growth,5.14%,24.38%,4.52%,-9.91%,-44.93%,-49.23%,-46.70%,2299.89%,-,-,2942.58%,-22.02%,-,-,-,-,-,-
43,Net Cash Per Share,1.69,2.63,2.35,2.37,1.76,1.98,2.24,2.42,3.20,3.96,4.54,0.14,-,-0.28,0.16,0.19,-0.30,0.22
44,Filing Date Shares Outstanding,116.79,116.79,118.14,120,120,120,120,120,120,120,120,120,120,90,102.89,90,90,90
45,Total Common Shares Outstanding,116.79,116.79,118.14,120,120,120,120,120,120,120,120,90,90,90,102.89,90,90,90
46,Working Capital,575.63,632.76,614.42,609.53,599.83,615.77,641.78,664.41,760.5,770.46,812.68,295.99,-,251.22,-,244.89,214.38,218.64
47,Book Value Per Share,6.41,6.50,6.59,6.72,7.05,7.22,7.41,7.58,7.47,7.46,7.81,4.72,-,4.28,4.18,4.18,3.87,3.67
48,Tangible Book Value,694.07,704.42,723.17,751.27,790.75,810.2,832.46,852,895.85,894.36,936.06,424.39,-,384.86,375.3,375.3,347.4,329.6
49,Tangible Book Value Per Share,5.94,6.03,6.12,6.26,6.59,6.75,6.94,7.10,7.47,7.45,7.80,4.72,-,4.28,4.17,4.17,3.86,3.66
50,Machinery,-,291.65,-,291.11,-,294.98,-,275.31,-,225.43,-,220.93,-,213.6,-,203.22,194.37,154.45
51,Construction In Progress,-,0.8,-,0.53,-,1,-,6.3,-,3.47,-,1.84,-,2.59,-,2.16,3.72,3.06
