,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
26,Long-Term Deferred Tax Liabilities,0.86,0.88,0.85,0.85,0.54,0.38,0.39,0.34,0.18,0.11,-,0.09,-,-,-,-
27,Total Liabilities,371.73,357.12,329.95,518,500.84,390.57,351.7,483.94,452.23,311,-,393.89,-,-,-,94.69
28,Common Stock,120,120,100,100,100,66.67,66.67,66.67,66.67,50,-,50,-,-,-,30
29,Additional Paid-In Capital,691.97,691.97,711.97,711.97,711.97,745.3,745.3,745.3,745.3,61.89,-,56.9,-,-,-,18.76
30,Retained Earnings,683.19,668.63,687.29,668.05,602.3,573.79,574.93,548.47,480.33,475.24,-,430.94,-,-,-,76.55
31,Shareholders' Equity,1495,1481,1499,1480,1414,1386,1387,1360,1292,587.13,537.84,537.84,-,-,429.05,125.31
32,Total Liabilities & Equity,1867,1838,1829,1998,1915,1776,1739,1844,1745,898.12,-,931.73,-,-,-,220
33,Total Debt,1.08,1.46,2.02,2.47,1.76,2.09,2.45,2.87,0.57,0.91,1.37,1.37,-,-,-,24.17
34,Net Cash (Debt),829.37,813.7,881.3,1084,927.81,1067,1027,1204,1012,294.96,457.19,457.19,-,-,362.11,57.94
35,Net Cash Growth,-10.61%,-23.77%,-14.21%,-9.97%,-8.28%,261.87%,124.69%,163.44%,-,-,26.26%,689.01%,-,-,-,-
36,Net Cash Per Share,6.91,6.87,7.25,9.14,7.73,9.05,8.41,17.02,8.30,1.98,5.03,5.12,-,-,4.02,1.07
37,Filing Date Shares Outstanding,120,120,120,120,120,120,120,120,120,120,90.95,90,90.34,90,90,54
38,Total Common Shares Outstanding,120,120,120,120,120,120,120,120,120,90,90.95,90,90.34,90,90,54
39,Working Capital,1297,1281,1298,1286,1211,1375,1376,1349,1281,575.92,-,527.53,-,-,-,121.57
40,Book Value Per Share,12.46,12.34,12.49,12.33,11.79,11.55,11.56,11.34,10.77,6.52,5.98,5.98,-,-,4.76,2.32
41,Tangible Book Value,1492,1478,1496,1477,1411,1382,1383,1357,1289,583.22,535.01,535.01,-,-,427.09,124.39
42,Tangible Book Value Per Share,12.43,12.31,12.47,12.31,11.76,11.52,11.53,11.31,10.74,6.48,5.94,5.94,-,-,4.74,2.30
43,Buildings,-,187.23,-,4.82,-,-,-,-,-,-,-,-,-,-,-,-
44,Machinery,-,14.79,-,13.72,-,13.91,-,13.82,-,13.35,-,12.83,-,-,-,-
45,Construction In Progress,-,-,-,177.85,-,-,-,-,-,-,-,-,-,-,-,-
