,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,EV/EBIT Ratio,89.78,74.37,86.22,92.97,112.44,184.84,146.06,123.11,115.54,92.21,123.90,136.73,139.88,172.82,202.26,396.47,-,-,-,-,-
14,EV/FCF Ratio,-,-,-707.86,-,-,10961.66,-,-,-,-,-,473.73,-,286.83,551.73,1543.63,-,-,-,-,-
15,Debt / Equity Ratio,0.07,0.07,0.07,0.11,0.12,0.12,0.12,0.13,0.15,0.10,0.11,0.11,0.04,0.04,0.04,0.03,0.01,0.01,0.01,-,0.01
16,Debt / EBITDA Ratio,0.98,0.93,0.87,1.47,1.56,1.32,2.38,1.91,2.93,0.66,0.70,0.56,0.15,0.19,0.15,0.13,0.06,0.04,0.05,-,0.13
17,Debt / FCF Ratio,-,-,-12.58,-,-,217.05,-,-,-,-,-,2.25,-,0.42,0.64,0.95,-,0.18,-,-,-
18,Asset Turnover,-,0.37,0.32,0.28,0.26,0.30,0.32,0.27,0.50,0.39,0.40,0.44,0.55,0.43,0.46,0.41,0.50,-,-,-,
19,Inventory Turnover,-,-,0.63,0.88,0.44,0.68,0.44,0.61,0.44,1.07,0.90,0.82,0.70,0.85,0.90,1.23,1.05,1.13,-,-,-
20,Quick Ratio,-,-,2.11,3.03,3.70,5.10,5.65,5.08,6.32,3.51,3.56,3.98,2.59,3.02,4.91,7.75,4.71,4.93,5.23,-,5.00
21,Current Ratio,-,-,3.72,4.26,5.26,6.76,7.65,6.88,8.38,4.74,4.82,5.27,3.55,3.83,6.05,8.85,6.04,5.94,6.33,-,6.06
22,Return on Equity (ROE),8.60%,-0.52%,6.33%,3.29%,7.10%,0.72%,3.96%,2.21%,16.56%,12.57%,33.90%,23.21%,28.63%,21.14%,23.36%,16.16%,26.30%,-,-,-,
23,Return on Assets (ROA),-,3.08%,1.68%,2.88%,2.32%,1.58%,1.51%,1.68%,6.40%,7.12%,9.75%,12.52%,11.25%,13.08%,14.04%,9.49%,10.49%,-,-,-,
24,Return on Capital (ROIC),3.24%,3.46%,1.87%,3.18%,2.54%,1.73%,1.65%,1.85%,7.17%,7.94%,11.03%,14.60%,12.86%,14.53%,15.82%,11.06%,12.31%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,4.54%,3.69%,3.41%,2.98%,4.55%,6.62%,9.08%,12.70%,13.86%,14.76%,19.39%,16.52%,15.08%,12.12%,15.40%,12.31%,8.44%,-,0.64%
26,Earnings Yield,0.95%,1.15%,0.92%,1.17%,0.89%,0.62%,0.79%,0.90%,1.12%,1.32%,0.99%,0.89%,0.72%,0.59%,0.47%,0.24%,-,-,-,-,-
27,FCF Yield,-,-0.14%,-0.24%,-0.01%,0.01%,-0.52%,-0.45%,-0.17%,-0.21%,0.13%,0.21%,0.22%,0.35%,0.18%,0.06%,-,-,-,-,-,
28,Dividend Yield,0.24%,-,-,-,-,0.18%,-,-,-,0.20%,-,-,-,0.09%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,76.13%,7.50%,3.58%,19.88%,220.86%,11.46%,1.79%,2.85%,27.58%,0.17%,0.29%,0.14%,0.16%,0.34%,-,-,-,5.98%
30,Buyback Yield / Dilution,0.51%,0.83%,0.62%,0.70%,0.19%,0.23%,-0.19%,-0.98%,-0.96%,-1.13%,-0.68%,-12.49%,-12.27%,-12.44%,-12.16%,0.37%,-0.45%,-,-,-,-
31,Total Shareholder Return,0.74%,0.83%,0.62%,0.70%,0.19%,0.41%,-0.19%,-0.98%,-0.96%,-0.93%,-0.68%,-12.49%,-12.27%,-12.35%,-12.16%,0.37%,-0.45%,-,-,-,-
