,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
23,Earnings From Continuing Operations,-44.65,-11.62,-36.16,-34.51,-8.9,-0.05,-5.24,18.91,23.77,15.1,8.01,36.39,12.15,9.89,9.14
24,Minority Interest in Earnings,-1.01,-1.53,0.18,-1.19,-0.85,-0.32,-0.64,-0.52,-0.21,-0.31,-0.08,-0.39,-0.12,-0.03,0.01
25,Net Income,-45.65,-13.15,-35.98,-35.7,-9.75,-0.37,-5.87,18.39,23.55,14.79,7.93,36,12.03,9.86,9.15
26,Net Income to Common,-45.65,-13.15,-35.98,-35.7,-9.75,-0.37,-5.87,18.39,23.55,14.79,7.93,36,12.03,9.86,9.15
27,Net Income Growth,-,-,-,-,-,-,-,-48.93%,95.79%,50.03%,-13.34%,-,-,-,-
28,Shares Outstanding (Basic),84,86,84,86,74,95,84,83,78,65,61,63,63,63,-
29,Shares Outstanding (Diluted),84,86,84,86,74,95,84,83,78,65,61,63,63,63,-
30,Shares Change (YoY),13.92%,-9.33%,-0.29%,3.76%,-4.86%,44.98%,37.55%,32.22%,23.09%,2.93%,-,-,-,-,-
31,EPS (Basic),-0.54,-0.15,-0.43,-0.41,-0.13,-0.00,-0.07,0.22,0.30,0.23,0.13,0.57,0.19,0.16,-
32,EPS (Diluted),-0.54,-0.15,-0.43,-0.41,-0.13,-0.00,-0.07,0.22,0.30,0.23,0.13,0.57,0.19,0.16,-
33,EPS Growth,-,-,-,-,-,-,-,-61.38%,59.07%,45.76%,-,-,-,-,-
34,Free Cash Flow,-127.05,-49.03,-117.7,-102.15,-72.48,-94.68,-94.06,-6.65,-25.03,1.23,-18.89,34.91,-22.78,-,-
35,Free Cash Flow Per Share,-1.50,-0.57,-1.41,-1.18,-0.98,-1.00,-1.12,-0.08,-0.32,0.02,-0.31,0.55,-0.36,-,-
36,Dividend Per Share,-,-,-,-,-,-,-,0.150,-,-,-,-,-,-,-
37,Gross Margin,8.24%,12.40%,7.84%,12.07%,34.74%,44.94%,42.71%,51.31%,49.61%,56.30%,53.65%,62.99%,62.40%,18.42%,100.00%
38,Operating Margin,-36.15%,-11.93%,-33.48%,-38.95%,-9.95%,-12.52%,-13.77%,5.03%,41.46%,27.43%,21.87%,38.36%,27.09%,23.08%,26.05%
39,Profit Margin,-50.48%,-11.67%,-32.87%,-33.90%,-13.80%,-0.57%,-11.85%,14.21%,41.92%,21.62%,15.83%,41.01%,20.30%,17.76%,21.29%
40,Free Cash Flow Margin,-140.48%,-43.51%,-107.50%,-97.00%,-102.53%,-144.50%,-189.77%,-5.14%,-44.54%,1.79%,-37.70%,39.77%,-38.45%,-,-
41,EBITDA,-26.35,-3.48,-30.31,-34.67,-2.36,-3.43,-2.15,11.19,27.17,23.22,14.84,37.56,19.07,18.69,14.22
42,EBITDA Margin,-29.13%,-3.09%,-27.69%,-32.92%,-3.33%,-5.24%,-4.34%,8.64%,48.36%,33.93%,29.60%,42.78%,32.19%,33.67%,33.08%
43,D&A For EBITDA,6.34,9.97,6.34,6.34,4.68,4.77,4.68,4.68,3.88,4.45,3.88,3.88,3.02,5.88,3.02
44,EBIT,-32.69,-13.44,-36.66,-41.01,-7.03,-8.2,-6.83,6.51,23.3,18.77,10.96,33.68,16.05,12.81,11.2
45,EBIT Margin,-36.15%,-11.93%,-33.48%,-38.95%,-9.95%,-12.52%,-13.77%,5.03%,41.46%,27.43%,21.87%,38.36%,27.09%,23.08%,26.05%
46,Effective Tax Rate,-,-,-,-,-,-,-,28.67%,9.24%,21.37%,17.35%,10.86%,21.53%,16.35%,18.38%
47,Revenue as Reported,90.44,112.69,109.48,105.31,70.69,65.52,49.57,129.41,56.19,68.43,50.12,87.79,59.25,98.49,-
