,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
25,Net Income to Common,59.18,45.53,68.62,67.15,92.72,68.28,83.83,74.76,117.36,48.98,39.89,29.25
26,Net Income Growth,-36.17%,-33.32%,-18.14%,-10.18%,-20.99%,39.41%,110.18%,155.60%,-,-,-,-
27,Shares Outstanding (Basic),1459,1170,1372,1343,1315,1111,1048,935,972,978,990,-
28,Shares Outstanding (Diluted),1459,1170,1372,1343,1315,1111,1048,935,972,978,990,-
29,Shares Change (YoY),10.99%,5.24%,30.97%,43.72%,35.28%,13.69%,5.89%,-,-,-,-,-
30,EPS (Basic),0.04,0.04,0.05,0.05,0.07,0.06,0.08,0.08,0.12,0.05,0.04,-
31,EPS (Diluted),0.04,0.04,0.05,0.05,0.07,0.06,0.08,0.08,0.12,0.05,0.04,-
32,EPS Growth,-42.50%,-36.64%,-37.50%,-37.50%,-41.60%,22.63%,98.48%,-,-,-,-,-
33,Free Cash Flow,-,-207.26,-306.62,-278.88,-227.43,-134.33,-146.85,-56.54,-56.28,-131.96,-280.59,95.29
34,Free Cash Flow Per Share,-,-0.18,-0.22,-0.21,-0.17,-0.12,-0.14,-0.06,-0.06,-0.13,-0.28,-
35,Dividend Per Share,-,-,-,-,0.076,-,-,-,-,-,-,-
36,Gross Margin,-25.06%,24.62%,28.81%,30.74%,30.63%,31.84%,36.77%,41.69%,37.99%,38.70%,58.35%,11.24%
37,Operating Margin,12.02%,11.21%,13.12%,15.20%,12.50%,17.87%,22.97%,24.62%,21.56%,22.38%,26.60%,11.24%
38,Profit Margin,9.86%,8.66%,13.41%,14.57%,19.32%,14.85%,17.40%,18.06%,22.78%,13.71%,10.44%,10.26%
39,Free Cash Flow Margin,-,-39.43%,-59.90%,-60.50%,-47.40%,-29.22%,-30.48%,-13.66%,-10.93%,-36.94%,-73.41%,33.41%
40,EBITDA,119.45,106.26,129.21,117.41,107.33,119.62,153.33,139.39,148.54,107.29,136.74,59.39
41,EBITDA Margin,19.91%,20.22%,25.24%,25.47%,22.37%,26.02%,31.83%,33.66%,28.83%,30.03%,35.77%,20.83%
42,D&A For EBITDA,47.34,47.34,62.06,47.34,47.34,37.45,42.65,37.45,37.45,27.33,35.08,27.33
43,EBIT,72.11,58.92,67.16,70.07,59.99,82.16,110.68,101.93,111.09,79.96,101.66,32.06
44,EBIT Margin,12.02%,11.21%,13.12%,15.20%,12.50%,17.87%,22.97%,24.62%,21.56%,22.38%,26.60%,11.24%
45,Effective Tax Rate,9.33%,11.80%,7.65%,13.38%,-,15.02%,14.32%,22.17%,0.01%,28.89%,50.34%,12.29%
46,Revenue as Reported,-,525.62,511.87,460.97,479.82,459.76,481.76,414.07,515.16,357.21,667.39,-
