,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
15,EBT Excluding Unusual Items,35.89,-0.49,16.25,-13.92,23.06,-7.54,-0.5,4.61,58.16,15.34,38.87,2.89,47.62,16,20.79,-6.17
16,Gain (Loss) on Sale of Investments,2.78,-6.7,2.36,1.56,1.37,1.83,2.93,-,3.26,-,-,-,0.83,-0.83,-,-
17,Gain (Loss) on Sale of Assets,-,0.2,-0.2,-,0.03,-,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-0.69,0.69,-0.24,0.24,0.51,-0.51,-0.5,0.5,0.52,-0.61,-2.4,-,-,0.52,-0.52,-
19,Other Unusual Items,-,-6.53,6.58,-0.05,10.1,-1.09,1.09,-,20.66,-1.03,1.03,-,8.44,-0.21,0.21,-
20,Pretax Income,37.97,-12.83,24.75,-12.18,35.06,-7.31,3.01,5.11,82.61,13.7,37.5,2.89,56.9,15.47,20.48,-6.17
21,Income Tax Expense,6.67,-6.81,0.96,-0.52,2.65,0.62,-1.66,-0.71,10.56,-0.31,4.25,0.64,7.52,1.06,1.58,0.13
22,Earnings From Continuing Operations,31.3,-6.02,23.79,-11.66,32.42,-7.93,4.68,5.82,72.05,14.01,33.24,2.26,49.38,14.42,18.9,-6.3
23,Minority Interest in Earnings,-0.95,0.6,-0.14,0.48,0.28,-0.57,-,-,-,-,-,-,-,-,-,-
24,Net Income,30.35,-5.42,23.65,-11.17,32.7,-8.51,4.68,5.82,72.05,14.01,33.24,2.26,49.38,14.42,18.9,-6.3
25,Net Income to Common,30.35,-5.42,23.65,-11.17,32.7,-8.51,4.68,5.82,72.05,14.01,33.24,2.26,49.38,14.42,18.9,-6.3
26,Net Income Growth,-7.17%,-,405.84%,-,-54.61%,-,-85.93%,157.60%,45.90%,-2.80%,75.89%,-,-,-,-,-
27,Shares Outstanding (Basic),140,87,67,112,98,123,75,100,106,98,96,68,75,70,76,76
28,Shares Outstanding (Diluted),140,87,67,112,98,123,75,100,106,98,96,68,75,70,76,76
29,Shares Change (YoY),42.00%,-29.74%,-11.42%,11.97%,-7.41%,25.31%,-21.79%,47.14%,42.19%,40.64%,27.17%,-10.32%,-,-,-,-
30,EPS (Basic),0.22,-0.06,0.36,-0.10,0.33,-0.07,0.06,0.06,0.68,0.14,0.35,0.03,0.66,0.21,0.25,-0.08
31,EPS (Diluted),0.22,-0.06,0.36,-0.10,0.33,-0.07,0.06,0.06,0.68,0.14,0.35,0.03,0.66,0.21,0.25,-0.08
32,EPS Growth,-34.63%,-,471.04%,-,-50.98%,-,-82.01%,75.08%,2.61%,-30.89%,38.31%,-,-,-,-,-
33,Free Cash Flow,-,-62.23,-15.07,-76.52,30.49,-18.16,-41.26,-110.92,43.73,-51.71,-36.66,-27.76,101.64,-14.48,21.8,-34.37
34,Free Cash Flow Per Share,-,-0.72,-0.23,-0.68,0.31,-0.15,-0.55,-1.11,0.41,-0.53,-0.38,-0.41,1.36,-0.21,0.29,-0.45
35,Dividend Per Share,-,0.050,-,-,0.106,-,-,-,0.417,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-74.56%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,168.66%,38.07%,44.93%,43.27%,45.48%,45.28%,48.90%,54.28%,45.91%,52.33%,47.09%,51.37%,42.65%,49.35%,44.16%,57.91%
38,Operating Margin,43.42%,-18.73%,14.69%,-73.45%,15.04%,-27.87%,-11.56%,3.43%,21.54%,15.39%,33.48%,4.71%,23.74%,25.04%,23.79%,-90.66%
39,Profit Margin,24.14%,-9.93%,33.11%,-48.04%,25.88%,-23.36%,11.50%,11.19%,30.04%,18.68%,29.82%,6.07%,25.53%,23.04%,22.32%,-78.99%
40,Free Cash Flow Margin,-,-114.00%,-21.10%,-328.99%,24.13%,-49.86%,-101.46%,-213.37%,18.24%,-68.93%,-32.89%,-74.66%,52.53%,-23.14%,25.74%,-430.89%
41,EBITDA,55.94,-8.88,11.55,-15.74,20.35,-8.66,-3.05,3.27,53.15,12.5,38.72,2.7,46.89,16.42,21.02,-6.49
42,EBITDA Margin,44.49%,-16.27%,16.17%,-67.66%,16.10%,-23.79%,-7.51%,6.29%,22.16%,16.66%,34.74%,7.27%,24.24%,26.23%,24.82%,-81.33%
43,D&A For EBITDA,1.34,1.34,1.06,1.34,1.34,1.49,1.65,1.49,1.49,0.95,1.4,0.95,0.95,0.74,0.87,0.74
44,EBIT,54.6,-10.22,10.5,-17.08,19,-10.15,-4.7,1.78,51.67,11.55,37.32,1.75,45.94,15.67,20.15,-7.23
45,EBIT Margin,43.42%,-18.73%,14.69%,-73.45%,15.04%,-27.87%,-11.56%,3.43%,21.54%,15.39%,33.48%,4.71%,23.74%,25.04%,23.79%,-90.66%
46,Effective Tax Rate,17.57%,-,3.87%,-,7.54%,-,-,-,12.78%,-,11.35%,21.95%,13.21%,6.83%,7.70%,-
47,Revenue as Reported,-,54.59,71.43,23.26,126.37,36.43,40.66,51.99,239.82,75.01,111.48,37.19,193.47,62.58,92.67,-
