,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
19,Quick Ratio,1.29,1.29,1.22,1.61,1.48,1.98,2.54,2.68,2.22,2.98,2.95,2.91,2.26,2.54,2.22,-,2.03,-,2.33,2.33
20,Current Ratio,2.06,2.06,1.93,2.37,2.14,2.92,3.52,3.89,3.20,4.35,4.42,4.59,3.22,3.50,3.19,-,2.72,-,3.32,3.32
21,Return on Equity (ROE),2.25%,6.74%,8.04%,6.40%,5.33%,4.35%,5.42%,-10.29%,5.41%,2.15%,1.72%,0.31%,9.76%,18.23%,10.53%,-,-,15.97%,-,
22,Return on Assets (ROA),1.12%,1.87%,3.95%,2.16%,3.36%,1.91%,3.40%,-12.74%,5.35%,-1.08%,1.10%,-4.97%,7.26%,-,-,-,-,8.26%,-,
23,Return on Capital (ROIC),1.52%,2.55%,5.47%,2.96%,4.34%,2.38%,4.28%,-15.98%,6.51%,-1.31%,1.39%,-6.65%,9.79%,11.70%,8.53%,-,-,10.84%,-,
24,Return on Capital Employed (ROCE),3.92%,4.46%,5.76%,5.66%,5.44%,-1.97%,-1.10%,-2.57%,-,-0.01%,-,4.85%,-,11.70%,14.15%,-,14.99%,-,8.55%,4.28%
25,Earnings Yield,1.46%,2.01%,2.87%,1.98%,1.44%,0.29%,0.24%,0.17%,-0.08%,0.85%,0.79%,1.50%,1.50%,2.99%,-,-,-,-,-,-
26,FCF Yield,-4.99%,-6.85%,-7.43%,-0.11%,1.68%,1.29%,2.52%,3.12%,-0.56%,-3.46%,-4.35%,-4.11%,-2.74%,0.85%,-,-,-,-,-,-
27,Dividend Yield,0.42%,-,-,-,0.47%,-,-,-,-,-,-,-,0.40%,-,-,-,-,-,-,-
28,Payout Ratio,29.14%,-,101.49%,-,-,-,-,-,-,1.98%,401.12%,-,-,-,-,-,-,-,53.76%,53.76%
29,Buyback Yield / Dilution,-15.06%,-8.70%,14.97%,-7.98%,-136.84%,-12.94%,-0.70%,12.44%,62.78%,-5.91%,-51.21%,-43.30%,-41.96%,-0.09%,0.19%,2.65%,-,-,-,-
30,Total Shareholder Return,-14.64%,-8.70%,14.97%,-7.98%,-136.37%,-12.94%,-0.70%,12.44%,62.78%,-5.91%,-51.21%,-43.30%,-41.55%,-0.09%,0.19%,2.65%,-,-,-,-
