,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
31,Additional Paid-In Capital,583.6,583.6,635.87,635.87,635.87,635.87,-,207.96,-,207.96,207.96,207.96,207.96,207.96,207.96
32,Retained Earnings,437.93,417.22,426.67,376.56,334.33,320.3,-,249.52,-,180.62,180.62,131.66,131.66,94.03,94.03
33,Shareholders' Equity,1204,1184,1193,1143,1101,1087,555.48,555.48,-,486.57,486.57,437.62,437.62,399.99,399.99
34,Total Liabilities & Equity,3389,3265,3044,3453,3239,3099,-,2720,-,1828,1828,2177,2177,1721,1721
35,Total Debt,524.8,477.52,428.02,496.33,436.48,545.67,628.55,628.55,-,531.87,531.87,349.44,349.44,344.15,344.15
36,Net Cash (Debt),-74.69,3.56,152.6,230.86,93.19,43.88,-327.65,-327.65,-,-496.46,-496.46,-140.46,-140.46,-276.33,-276.33
37,Net Cash Growth,-,-91.88%,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Net Cash Per Share,-0.41,0.04,0.83,1.25,0.51,0.26,-2.40,-2.35,-,-3.62,-3.62,-1.02,-1.02,-2.01,-2.01
39,Filing Date Shares Outstanding,182.93,182.93,182.93,182.93,182.93,182.93,136.31,182.93,136.25,137.2,137.2,137.2,137.2,137.2,137.2
40,Total Common Shares Outstanding,182.93,182.93,182.93,182.93,182.93,182.93,136.31,137.2,136.25,137.2,137.2,137.2,137.2,137.2,137.2
41,Working Capital,1067,1026,1041,1024,973.33,994.73,-,708.18,-,576.31,576.31,210.17,210.17,170.86,170.86
42,Book Value Per Share,6.58,6.47,6.52,6.25,6.02,5.94,4.05,4.05,-,3.55,3.55,3.19,3.19,2.92,2.92
43,Tangible Book Value,1168,1147,1156,1106,1063,1049,517.04,517.04,-,447.67,447.67,398.25,398.25,360.16,360.16
44,Tangible Book Value Per Share,6.38,6.27,6.32,6.04,5.81,5.73,3.77,3.77,-,3.26,3.26,2.90,2.90,2.63,2.63
45,Buildings,-,150.88,-,148.23,-,148.23,-,148.23,-,147.87,147.87,147.87,147.87,147.87,147.87
46,Machinery,-,89.18,-,84.72,-,78.99,-,78.45,-,77.26,77.26,73.62,73.62,69.96,69.96
47,Construction In Progress,-,5.7,-,4.03,-,0.9,-,-,-,-,-,-,-,-,-
