,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Gain (Loss) on Sale of Assets,0.02,-0.02,-,0.41,-,-0.41,-,0.28,-,0.01,0.01,-,-,-,-
17,Asset Writedown,5.08,-14.65,14.65,10.32,-10.73,-25.81,25.81,-10.38,10.38,-,-,-,-,-,-
18,Other Unusual Items,0.44,1.04,0.03,0.92,-,-,-,9.51,-5.48,2.74,2.74,-0.57,-0.57,-0.21,-0.21
19,Pretax Income,23.32,15.1,55.9,47.48,12.11,5.63,71.3,57,17.97,27.37,27.37,18.2,18.2,30.32,30.32
20,Income Tax Expense,2.62,-1.59,5.8,5.09,-1.92,0.09,6.06,7.55,-1.48,2.89,2.89,-0.61,-0.61,4.64,4.64
21,Net Income,20.71,16.69,50.1,42.39,14.03,5.54,65.24,49.45,19.45,24.48,24.48,18.81,18.81,25.68,25.68
22,Net Income to Common,20.71,16.69,50.1,42.39,14.03,5.54,65.24,49.45,19.45,24.48,24.48,18.81,18.81,25.68,25.68
23,Net Income Growth,47.58%,201.08%,-23.20%,-14.29%,-27.86%,-77.36%,166.50%,162.85%,3.38%,-4.67%,-4.67%,-,-,-,-
24,Shares Outstanding (Basic),182,94,185,184,183,169,136,140,136,137,137,137,137,137,137
25,Shares Outstanding (Diluted),182,94,185,184,183,169,136,140,136,137,137,137,137,137,137
26,Shares Change (YoY),-0.48%,-44.43%,35.43%,31.85%,34.38%,22.96%,-0.58%,1.76%,-0.68%,-0.08%,-0.08%,-,-,-,-
27,EPS (Basic),0.11,0.18,0.27,0.23,0.08,0.03,0.48,0.35,0.14,0.18,0.18,0.14,0.14,0.19,0.19
28,EPS (Diluted),0.11,0.18,0.27,0.23,0.08,0.03,0.48,0.35,0.14,0.18,0.18,0.14,0.14,0.19,0.19
29,EPS Growth,48.29%,441.79%,-43.29%,-34.99%,-46.32%,-81.59%,168.05%,158.31%,4.09%,-4.60%,-4.60%,-,-,-,-
30,Free Cash Flow,-55.12,-112.7,-52.67,131.14,4.36,90.94,-174.91,165.28,-58.24,-162.11,-162.11,82.93,82.93,-87.28,-87.28
31,Free Cash Flow Per Share,-0.30,-1.20,-0.29,0.71,0.02,0.54,-1.28,1.18,-0.43,-1.18,-1.18,0.60,0.60,-0.64,-0.64
32,Dividend Per Share,-,-,-,0.143,-,-,-,-,-,-,-,-,-,-,-
33,Gross Margin,13.40%,13.93%,16.62%,14.13%,14.42%,13.26%,17.97%,17.85%,15.76%,15.00%,15.00%,13.64%,13.64%,14.71%,14.71%
34,Operating Margin,4.29%,5.39%,10.35%,7.02%,4.14%,6.95%,11.06%,8.72%,3.47%,9.74%,9.74%,4.13%,4.13%,7.74%,7.74%
35,Profit Margin,3.93%,2.94%,11.68%,7.15%,2.35%,1.01%,13.84%,6.10%,3.78%,7.91%,7.91%,3.33%,3.33%,5.49%,5.49%
36,Free Cash Flow Margin,-10.47%,-19.87%,-12.28%,22.12%,0.73%,16.62%,-37.11%,20.40%,-11.32%,-52.37%,-52.37%,14.66%,14.66%,-18.65%,-18.65%
37,EBITDA,26.21,34.3,48.01,45.3,28.39,42.24,55.78,74.29,21.47,33.77,33.77,27.69,27.69,38.15,38.15
38,EBITDA Margin,4.98%,6.05%,11.20%,7.64%,4.74%,7.72%,11.83%,9.17%,4.17%,10.91%,10.91%,4.89%,4.89%,8.15%,8.15%
39,D&A For EBITDA,3.65,3.74,3.65,3.65,3.63,4.21,3.63,3.63,3.62,3.62,3.62,4.3,4.3,1.9,1.9
40,EBIT,22.56,30.56,44.37,41.65,24.76,38.03,52.15,70.66,17.85,30.15,30.15,23.38,23.38,36.25,36.25
41,EBIT Margin,4.29%,5.39%,10.35%,7.02%,4.14%,6.95%,11.06%,8.72%,3.47%,9.74%,9.74%,4.13%,4.13%,7.74%,7.74%
42,Effective Tax Rate,11.22%,-,10.37%,10.72%,-,1.57%,8.50%,13.25%,-,10.57%,10.57%,-,-,15.32%,15.32%
43,Revenue as Reported,526.45,995.84,-,592.91,598.32,1019,-,810.05,514.42,309.56,309.56,565.66,565.66,468.08,468.08
