,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Other Non Operating Income (Expenses),-0.13,-0.4,0.16,-0.02,-0.34,3.19,-0.19,-0.05,-0.53,-0.02,-0.08,0.49,-0.07,1.87,0,-0.03
14,EBT Excluding Unusual Items,-27.97,9.49,-18.28,2.46,-9.49,18.66,9.85,26.99,6.3,30.56,43.27,21.63,30.86,24.21,39.41,20.64
15,Gain (Loss) on Sale of Assets,-0.6,0.19,-0.11,0.53,-0,0.02,-0.02,-,-0.07,0.01,-0.01,-,-0,-,-,-
16,Other Unusual Items,-,-7.51,6.6,0.91,0.46,-5.72,5.72,-,5.1,-0.58,0.58,-,-2,-0.14,-0.26,0.39
17,Pretax Income,-28.57,2.16,-11.79,3.9,-9.04,12.96,15.55,26.99,11.34,29.98,43.85,21.63,28.86,24.07,39.15,21.04
18,Income Tax Expense,-10.21,-0.55,-2.91,0.63,-0.85,1.07,0.83,3.58,-3.37,3.88,6.14,2.75,4.35,3.21,5.57,2.93
19,Earnings From Continuing Operations,-18.36,2.71,-8.88,3.28,-8.18,11.89,14.72,23.41,14.71,26.1,37.71,18.88,24.51,20.86,33.58,18.11
20,Minority Interest in Earnings,-2.23,0.58,0.36,1.3,0.93,-0.48,0.81,-,-,-,-,-,-,-,-,-
21,Net Income,-20.59,3.29,-8.53,4.57,-7.25,11.41,15.53,23.41,14.71,26.1,37.71,18.88,24.51,20.86,33.58,18.11
22,Net Income to Common,-20.59,3.29,-8.53,4.57,-7.25,11.41,15.53,23.41,14.71,26.1,37.71,18.88,24.51,20.86,33.58,18.11
23,Net Income Growth,-,-71.14%,-,-80.47%,-,-56.28%,-58.82%,24.02%,-39.99%,25.11%,12.28%,4.27%,-,-,-,-
24,Shares Outstanding (Basic),206,1,106,91,99,102,98,102,101,90,75,76,77,75,74,75
25,Shares Outstanding (Diluted),206,1,106,91,99,102,98,102,101,90,75,76,77,75,74,75
26,Shares Change (YoY),108.93%,-99.37%,8.61%,-10.18%,-2.09%,13.88%,29.88%,34.81%,31.76%,20.62%,1.34%,0.10%,-,-,-,-
27,EPS (Basic),-0.10,5.07,-0.08,0.05,-0.07,0.11,0.16,0.23,0.15,0.29,0.50,0.25,0.32,0.28,0.45,0.24
28,EPS (Diluted),-0.10,5.07,-0.08,0.05,-0.07,0.11,0.16,0.23,0.15,0.29,0.50,0.25,0.32,0.28,0.45,0.24
29,EPS Growth,-,4449.14%,-,-78.26%,-,-61.61%,-68.29%,-8.00%,-54.45%,3.72%,10.79%,4.17%,-,-,-,-
30,Free Cash Flow,-,-18.64,-10.91,-58.74,3.74,-46.14,-55.71,-15.11,-22.55,-46.22,-4.26,-19.29,23.84,2.05,7.92,-25.77
31,Free Cash Flow Per Share,-,-28.69,-0.10,-0.64,0.04,-0.45,-0.57,-0.15,-0.22,-0.51,-0.06,-0.26,0.31,0.03,0.11,-0.34
32,Dividend Per Share,-,-,-,-,0.310,-,-,-,-,-,-,-,-,-,-,-
33,Gross Margin,232.20%,45.20%,38.05%,39.25%,39.13%,54.66%,49.60%,61.72%,52.34%,69.78%,73.69%,70.29%,72.59%,69.21%,79.17%,76.83%
34,Operating Margin,-39.22%,15.26%,-81.15%,-5.25%,-34.70%,23.39%,11.62%,33.85%,3.02%,42.42%,55.23%,42.59%,51.41%,45.04%,58.14%,50.88%
35,Profit Margin,-46.92%,7.54%,-31.67%,15.95%,-19.22%,24.39%,33.21%,36.74%,35.23%,36.75%,47.52%,37.24%,40.00%,41.14%,48.99%,43.59%
36,Free Cash Flow Margin,-,-42.70%,-40.52%,-204.87%,9.91%,-98.62%,-119.16%,-23.72%,-54.00%,-65.08%,-5.37%,-38.05%,38.91%,4.04%,11.55%,-62.05%
37,EBITDA,-10.01,13.87,-12.19,5.7,-5.9,15.83,11.99,26.46,6.15,34.6,48.31,25.82,35.12,26.24,43.24,24.21
38,EBITDA Margin,-22.82%,31.76%,-45.27%,19.87%,-15.62%,33.84%,25.64%,41.52%,14.73%,48.72%,60.87%,50.94%,57.31%,51.74%,63.09%,58.29%
39,D&A For EBITDA,7.2,7.2,9.66,7.2,7.2,4.89,6.55,4.89,4.89,4.48,4.48,4.23,3.62,3.39,3.39,3.08
40,EBIT,-17.21,6.66,-21.85,-1.51,-13.1,10.94,5.43,21.57,1.26,30.13,43.83,21.59,31.5,22.84,39.85,21.13
41,EBIT Margin,-39.22%,15.26%,-81.15%,-5.25%,-34.70%,23.39%,11.62%,33.85%,3.02%,42.42%,55.23%,42.59%,51.41%,45.04%,58.14%,50.88%
42,Effective Tax Rate,-,-,-,16.08%,-,8.29%,5.31%,13.25%,-,12.95%,14.00%,12.71%,15.07%,13.33%,14.22%,13.94%
43,Revenue as Reported,-,43.66,26.92,28.67,37.75,46.78,46.75,63.72,41.75,71.02,79.36,50.69,61.27,50.71,110.08,-
