,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
24,Total Current Liabilities,-,53.5,56.38,54.83,56.42,47.47,50.43,40.64,51.87,63.6,81.95,73.97,83.4,-,-,-
25,Long-Term Leases,-,38.49,38.55,39.61,41.6,40.55,40.78,5.32,6.04,3.34,3.54,4.17,5.36,-,-,-
26,Long-Term Unearned Revenue,-,0.13,0.16,0.26,0.31,0.41,-,-,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,-,15.21,15.83,15.96,16.7,6.51,6.7,6.97,8.61,2.28,2.28,2.28,2.28,-,-,-
28,Total Liabilities,-,107.33,110.92,110.66,115.02,94.94,97.91,52.93,66.52,69.21,87.77,80.43,91.05,-,-,-
29,Common Stock,-,100,100,100,100,100,100,100,100,100,75,75,75,-,-,-
30,Additional Paid-In Capital,-,1266,1266,1266,1266,1266,1266,1266,1266,1266,38.84,38.84,38.84,-,-,-
31,Retained Earnings,-,313.2,309.91,349.15,344.58,351.75,340.34,324.81,301.48,286.66,260.56,222.85,203.97,-,-,-
32,Treasury Stock,-,-49.99,-40.5,-38.01,-30,-17.21,-,-,-,-,-,-,-,-,-,-
33,Total Common Equity,1630,1630,1636,1677,1681,1701,1707,1691,1668,1653,374.4,336.7,317.82,-,-,221.24
34,Minority Interest,-,44.34,44.92,45.27,46.57,48.43,47.96,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,1674,1674,1681,1723,1727,1749,1755,1691,1668,1653,374.4,336.7,317.82,-,-,221.24
36,Total Liabilities & Equity,-,1781,1792,1833,1843,1844,1853,1744,1734,1722,462.17,417.12,408.87,-,-,-
37,Total Debt,48.19,48.19,49.68,49.29,52.99,48.93,50.29,9.95,15.76,21.48,45.32,46.62,45.96,-,-,34.91
38,Net Cash (Debt),161.87,161.87,864.75,189.07,975.31,550,1031,596,1152,1185,-21.32,-16.49,2.95,-,-,0.69
39,Net Cash Growth,-83.40%,-70.57%,-16.12%,-68.28%,-15.32%,-53.59%,-,-,38960.35%,-,-,-,-,-,-,-
40,Net Cash Per Share,0.78,249.09,8.13,2.07,9.87,5.37,10.53,5.85,11.41,13.18,-0.28,-0.22,0.04,-,-,0.01
41,Filing Date Shares Outstanding,206.42,98.58,99.07,99.18,99.07,99.66,100,100,100,100,75,75,75,74.56,74.38,75.44
42,Total Common Shares Outstanding,98.58,98.58,99.07,99.18,99.41,99.66,100,100,100,100,75,75,75,74.56,74.38,75.44
43,Working Capital,-,1126,1139,1212,1283,1338,1383,1424,1419,1437,210.08,180.26,172.68,-,-,-
44,Book Value Per Share,16.53,16.53,16.51,16.91,16.91,17.07,17.07,16.91,16.68,16.53,4.99,4.49,4.24,-,-,2.95
45,Tangible Book Value,1616,1616,1622,1663,1666,1686,1691,1683,1659,1644,365.93,327.94,308.74,-,-,216.63
46,Tangible Book Value Per Share,16.40,16.40,16.37,16.77,16.76,16.91,16.91,16.83,16.59,16.44,4.88,4.37,4.12,-,-,2.89
47,Buildings,-,-,10.83,-,10.83,-,10.83,-,10.83,-,10.83,10.83,10.83,-,-,-
48,Machinery,-,-,387.72,-,358.53,-,278.58,-,222.75,-,170.13,158.23,147.37,-,-,-
49,Construction In Progress,-,-,140.92,-,110.77,-,51.65,-,11.36,-,1.32,1.26,1.21,-,-,-
