,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,null null,Q2 2020,Q1 2020,Q1 2017
9,Goodwill,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,0.87,0.87,-,-,0.87,-,-,-,0.87
10,Other Intangible Assets,144.63,138.47,133.71,91.12,96.64,82.24,82.54,82.99,84.32,85.14,85.5,41.33,41.94,-,-,43.62,-,-,-,78.25
11,Long-Term Investments,10.65,10.33,11.92,11.85,10.85,10.03,11.49,11.93,10.56,9.73,11.24,10.86,12.51,-,-,12.79,-,-,-,11.24
12,Long-Term Deferred Tax Assets,13.71,15.14,14.67,11.32,15.27,14.4,14.42,4.73,11.34,11.23,11.27,10.73,13.68,-,-,15.07,-,-,-,6.41
13,Long-Term Deferred Charges,60.94,59.55,59.64,65.44,68.87,67.35,67.62,73.2,70.86,71.18,71.1,69.43,71.07,-,-,64.41,-,-,-,25.21
14,Other Long-Term Assets,5.99,5.63,53.39,62.73,53.44,54.01,53.99,55.91,57.96,7.51,7.94,20.57,6.62,-,-,13.83,-,-,-,6.98
15,Total Assets,1771,1703,1789,1971,1719,1628,1768,1956,1670,1636,1712,1817,1516,-,-,1117,-,-,-,734.09
16,Accounts Payable,153.13,137.55,159.7,156.67,112.63,96.88,120.02,132.36,96.74,101.27,132.54,108.85,99.58,-,-,100.61,-,-,-,92.66
17,Accrued Expenses,3.71,14.34,18.55,23.38,4.08,20.35,17.05,25.81,2.73,18.63,18.75,26.1,2.59,-,-,19.35,-,-,-,19.03
18,Short-Term Debt,-,-,-,-,18.67,15.46,27.48,21.6,9.9,-,-,0.9,-,-,-,15.02,-,-,-,17.49
19,Current Portion of Long-Term Debt,-,-,-,-,-,3,6.28,4.01,-,-,-,-,-,-,-,-,-,-,-,12
20,Current Unearned Revenue,133.24,46.64,49.93,381.17,108.41,29.26,19.82,332.75,121.39,22.76,19.51,315.69,102.2,-,-,300.22,-,-,-,43.69
21,Current Portion of Leases,0.42,0.47,0.54,0.61,0.25,0.28,-,0.28,-,1.07,1.07,1.07,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,0.64,0.03,30.79,1.46,5.68,0.53,25,2.08,8.69,0.26,25.96,5.38,6.02,-,-,1.83,-,-,-,18.19
23,Other Current Liabilities,14.66,15.87,12.59,11.61,10.22,13.83,0.62,3.79,24.01,74.95,24.69,2.84,2.6,-,-,3.04,-,-,-,3.58
24,Total Current Liabilities,305.79,214.89,272.1,574.91,259.95,179.6,216.26,522.68,263.46,218.95,222.51,460.83,212.99,-,-,440.07,-,-,-,206.63
25,Long-Term Debt,-,-,-,-,-,1.85,1.85,3.85,9.85,9.85,11.85,-,-,-,-,-,-,-,-,28.92
26,Long-Term Leases,2.01,2.16,2.32,1.58,2.11,0.1,0.12,0.19,-,0.01,0.21,0.5,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,15.65,15.6,15.7,18.15,19.67,19.81,28.92,25.76,29.7,29.12,29.69,38.85,45.84,-,-,56.05,-,-,-,91.36
28,Long-Term Deferred Tax Liabilities,7.22,7.36,7.48,7.8,32.74,26.21,26.15,20.5,24.88,24.75,24.13,17.05,16.79,-,-,15.64,-,-,-,-
29,Other Long-Term Liabilities,93.24,89.36,79.2,81.57,69.91,68.62,51.73,62.54,52.67,51.02,49.98,51.64,54.67,-,-,56.89,-,-,-,0.16
30,Total Liabilities,423.91,329.38,376.8,684.03,384.37,296.19,325.02,635.52,380.57,333.7,338.38,568.87,330.29,-,-,568.65,-,-,-,327.07
31,Common Stock,130.68,130.68,108.9,108.9,108.9,108.9,90.75,90.75,90.75,90.75,90.75,90.75,90.75,-,-,68.06,-,-,-,68.06
32,Additional Paid-In Capital,598.76,598.76,620.54,620.54,620.54,620.54,644.37,644.37,644.37,644.37,644.37,644.37,644.37,-,-,102.46,-,-,-,102.46
33,Retained Earnings,536,574.19,614.77,491.56,541.96,564.86,646.16,529.25,500.84,511.52,581.25,483.04,423.04,-,-,353.62,-,-,-,229.92
34,Total Common Equity,1265,1304,1344,1221,1271,1294,1381,1264,1236,1247,1316,1218,1158,-,524.14,524.14,-,-,436.79,400.44
35,Minority Interest,81.49,70.4,68.14,65.78,63.42,37.06,61.75,56.6,53.95,55.39,57.42,29.52,27.76,-,-,24.31,-,-,-,6.58
36,Shareholders' Equity,1347,1374,1412,1287,1335,1331,1443,1321,1290,1302,1374,1248,1186,-,548.45,548.45,-,-,454.29,407.02
37,Total Liabilities & Equity,1771,1703,1789,1971,1719,1628,1768,1956,1670,1636,1712,1817,1516,-,-,1117,-,-,-,734.09
38,Total Debt,2.43,2.63,2.85,2.19,21.03,20.69,35.73,29.93,19.75,10.93,13.13,2.47,-,-,15.02,15.02,-,-,1.77,58.41
39,Net Cash (Debt),638.68,626.93,679.57,855.09,654.27,675.51,791.4,958.91,758.97,779.47,791.84,1027,794.42,-,381.27,381.27,-,-,331.87,60.83
40,Net Cash Growth,-2.38%,-7.19%,-14.13%,-10.83%,-13.80%,-13.34%,-0.06%,-6.61%,-4.46%,-,107.68%,169.30%,-,-,14.89%,526.76%,-,-,-,-
41,Net Cash Per Share,4.89,4.75,5.19,5.92,5.08,5.22,6.06,7.24,5.95,5.93,6.05,7.86,6.65,-,3.90,3.88,-,-,-,0.62
42,Filing Date Shares Outstanding,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,98.42,97.87,98,-,-,-,98
43,Total Common Shares Outstanding,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,130.68,98.42,97.87,98,-,-,-,98
44,Working Capital,764.89,849.62,898.47,749.1,833.39,863.95,978.45,835.32,812.31,878.52,955.67,882.23,836.56,-,-,225.73,-,-,-,155.48
45,Book Value Per Share,9.68,9.98,10.29,9.34,9.73,9.90,10.57,9.68,9.46,9.54,10.07,9.32,8.86,-,5.35,5.35,-,-,4.46,4.09
46,Tangible Book Value,1110,1154,1200,1119,1164,1201,1288,1170,1141,1151,1220,1176,1115,-,479.65,479.65,-,-,371.81,321.32
47,Tangible Book Value Per Share,8.49,8.83,9.18,8.56,8.91,9.19,9.85,8.96,8.73,8.80,9.34,9.00,8.54,-,4.89,4.89,-,-,3.79,3.28
48,Buildings,-,19.64,-,19.64,-,18.86,-,18.95,-,20.71,-,6.27,-,-,-,6.27,-,-,-,4.91
49,Machinery,-,21.29,-,21.24,-,20.06,-,20.09,-,18.34,-,17.41,-,-,-,11,-,-,-,6.27
50,Construction In Progress,-,88.59,-,87.91,-,65.66,-,48.97,-,73.13,-,96.06,-,-,-,54.81,-,-,-,28.47
