,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
16,Gain (Loss) on Sale of Investments,0.99,0.48,0.49,0.1,0.05,-0,-0,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-0.01,-,0.12,-,0.06,0.03,-,-0.02,-,-0.02
18,Other Unusual Items,-0.05,-0.24,0.31,6.58,-1.88,1.77,0.11,0.97,0.04,-0.14,0.1
19,Pretax Income,1.82,12.93,3.95,61.44,1.41,22.96,4.46,61.92,5.05,21.03,4.5
20,Income Tax Expense,-0.08,1.73,0.59,7.94,-0.24,3.24,0.63,8.13,-0.43,3.79,0.75
21,Earnings From Continuing Operations,1.89,11.2,3.36,53.5,1.65,19.72,3.83,53.79,5.48,17.24,3.75
22,Minority Interest in Earnings,0.05,0.06,0.06,-0.7,0.06,-0.07,0.06,-0.56,-0.16,-0.07,0.07
23,Net Income,1.95,11.26,3.42,52.79,1.71,19.65,3.9,53.23,5.32,17.17,3.82
24,Net Income to Common,1.95,11.26,3.42,52.79,1.71,19.65,3.9,53.23,5.32,17.17,3.82
25,Net Income Growth,13.54%,-42.67%,-12.30%,-0.82%,-67.79%,14.42%,2.04%,-,-,-,-
26,Shares Outstanding (Basic),90,87,85,39,130,66,65,66,66,68,64
27,Shares Outstanding (Diluted),90,87,85,39,130,66,65,66,66,68,64
28,Shares Change (YoY),-31.16%,32.56%,31.55%,-40.69%,97.22%,-2.50%,2.04%,-,-,-,-
29,EPS (Basic),0.02,0.13,0.04,1.36,0.01,0.30,0.06,0.81,0.08,0.25,0.06
30,EPS (Diluted),0.02,0.13,0.04,1.36,0.01,0.30,0.06,0.81,0.08,0.25,0.06
31,EPS Growth,64.93%,-56.75%,-33.33%,67.23%,-83.67%,17.35%,0%,-,-,-,-
32,Free Cash Flow,-24.07,-22.13,-20.18,-1.2,-5.82,-20.46,-17.85,74.35,-25.91,-8.3,-16.6
33,Free Cash Flow Per Share,-0.27,-0.25,-0.24,-0.03,-0.04,-0.31,-0.27,1.13,-0.39,-0.12,-0.26
34,Dividend Per Share,-,0.040,-,0.400,-,0.400,-,-,-,-,-
35,Dividend Growth,-,-90.00%,-,-,-,-,-,-,-,-,-
36,Gross Margin,33.53%,49.72%,23.85%,57.10%,35.81%,45.31%,28.20%,51.72%,41.81%,44.10%,26.30%
37,Operating Margin,-2.67%,12.25%,-1.93%,29.99%,-1.18%,21.39%,4.73%,33.20%,5.12%,22.73%,5.09%
38,Profit Margin,3.41%,14.93%,6.03%,30.15%,2.84%,21.38%,6.15%,29.41%,7.02%,19.67%,6.35%
39,Free Cash Flow Margin,-42.13%,-29.34%,-35.59%,-0.69%,-9.64%,-22.27%,-28.15%,41.08%,-34.15%,-9.51%,-27.58%
40,EBITDA,-0.54,10.59,-0.1,53.5,0.46,20.8,4.17,61.27,4.92,21.04,4.1
41,EBITDA Margin,-0.94%,14.05%,-0.18%,30.55%,0.76%,22.63%,6.58%,33.85%,6.48%,24.10%,6.81%
42,D&A For EBITDA,0.99,1.35,0.99,0.99,1.17,1.15,1.17,1.17,1.04,1.2,1.04
43,EBIT,-1.53,9.24,-1.09,52.51,-0.71,19.65,3,60.1,3.88,19.84,3.06
44,EBIT Margin,-2.67%,12.25%,-1.93%,29.99%,-1.18%,21.39%,4.73%,33.20%,5.12%,22.73%,5.09%
45,Effective Tax Rate,-,13.39%,14.98%,12.93%,-,14.11%,14.04%,13.13%,-,18.01%,16.57%
46,Revenue as Reported,57.14,75.43,56.69,175.1,60.43,91.9,63.4,181,75.87,87.3,60.2
