,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
20,Current Ratio,4.44,4.44,4.74,6.64,6.04,4.44,5.54,6.26,6.52,6.88,5.81,6.25,6.43,7.07,5.40,-,5.52,-,-,-
21,Return on Equity (ROE),2.56%,3.95%,5.65%,0.81%,5.45%,4.29%,3.01%,-1.50%,3.77%,4.36%,2.58%,1.30%,3.30%,1.42%,3.43%,-,-,-,-,
22,Return on Assets (ROA),1.70%,2.71%,3.23%,0.33%,3.34%,2.66%,1.72%,-1.72%,2.55%,2.57%,1.63%,0.55%,1.65%,-,-,-,-,-,-,
23,Return on Capital (ROIC),1.87%,2.94%,3.46%,0.36%,3.67%,2.88%,1.85%,-1.84%,2.73%,2.76%,1.73%,0.58%,1.75%,1.31%,2.41%,-,-,-,-,
24,Return on Capital Employed (ROCE),3.37%,3.45%,4.18%,4.11%,3.49%,2.61%,2.24%,2.18%,-,3.10%,2.69%,2.05%,2.20%,2.21%,3.05%,-,2.89%,-,-,-
25,Earnings Yield,3.43%,3.15%,4.23%,4.20%,3.36%,2.68%,2.24%,2.22%,2.18%,2.89%,2.35%,1.59%,1.45%,1.09%,-,-,-,-,-,-
26,FCF Yield,-2.54%,-2.33%,3.59%,5.72%,3.18%,3.61%,0.24%,0.13%,0.81%,-0.90%,0.77%,0.11%,0.43%,3.08%,-,-,-,-,-,-
27,Dividend Yield,1.45%,-,-,-,1.40%,-,-,-,0.88%,-,-,-,0.40%,-,-,-,-,-,-,-
28,Payout Ratio,42.21%,-,138.26%,-,-,-,83.12%,-,-,-,52.26%,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,7.16%,19.53%,-21.60%,3.92%,18.43%,-20.86%,25.70%,-18.58%,-69.86%,7.39%,-0.45%,14.14%,23.98%,-42.62%,-22.02%,-8.61%,-,-,-,-
30,Total Shareholder Return,8.60%,19.53%,-21.60%,3.92%,19.84%,-20.86%,25.70%,-18.58%,-68.98%,7.39%,-0.45%,14.14%,24.38%,-42.62%,-22.02%,-8.61%,-,-,-,-
