,Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q1 2019,Q1 2018,Q1 2017,Q1 2016,Q4 2015,Q4 2014,Q4 2013,Q4 2012,Q4 2011
18,Income Tax Expense,-1412,-1607,27799,1394,-39411,-,-29349,29513,7249,-,-,-,-,-,-,-,-,-
19,Net Income,39614,-6428,65807,42494,-141875,-49003,-77355,78010,44865,2220,10.97,-204.14,13.79,25642,7236,2866,-4021,-33239
20,Net Income to Common,39614,-6428,65807,42494,-141875,-49003,-77355,78010,44865,2220,10.97,-204.14,13.79,25642,7236,2866,-4021,-33239
21,Net Income Growth,-,-,-,-45.53%,-,-,-,-,325351.32%,-91.34%,-99.85%,-,-,-,-,-,-,-
22,Shares Outstanding (Basic),149,149,146,147,130,146,146,146,73,16,-,16,16,-,-,-,-,-
23,Shares Outstanding (Diluted),149,149,146,147,130,146,146,146,73,16,-,16,16,-,-,-,-,-
24,Shares Change (YoY),14.95%,2.20%,-0.00%,0.12%,77.68%,839.59%,-,835.15%,361.68%,-,-,-,-,-,-,-,-,-
25,EPS (Basic),265.00,-43.00,449.79,290.00,-1091.00,-335.00,-528.72,533.00,613.00,142.61,-,-13.04,0.87,-,-,-,-,-
26,EPS (Diluted),265.00,-43.00,449.79,290.00,-1091.00,-335.00,-528.72,533.00,613.00,142.61,-,-13.04,0.87,-,-,-,-,-
27,EPS Growth,-,-,-,-45.59%,-,-,-,-,70392.18%,-,-,-,-,-,-,-,-,-
28,Free Cash Flow,129298,-71285,23.13,-157960,-,-,140874,-622270,-,-772.25,-15591,-114.2,-1170,-,-,-,-,-
29,Free Cash Flow Per Share,864.94,-476.83,0.16,-1077.99,-,-,962.87,-4251.63,-,-49.60,-,-7.30,-73.83,-,-,-,-,-
30,Operating Margin,90.44%,86.25%,92.13%,88.45%,-,73.75%,65.17%,92.79%,89.32%,60.39%,13.67%,-15.64%,0.84%,93.80%,525.10%,61.37%,-226.44%,-1547.82%
31,Profit Margin,58.47%,-17.40%,48.66%,87.98%,-,-135.79%,-287.98%,68.25%,76.98%,59.94%,0.59%,-15.64%,0.84%,94.07%,525.10%,61.37%,-243.01%,-1549.66%
32,Free Cash Flow Margin,190.85%,-192.90%,0.02%,-327.04%,-,-,524.45%,-544.39%,-,-20.85%,-832.88%,-8.75%,-71.37%,-,-,-,-,-
33,Effective Tax Rate,-,-,29.70%,3.18%,-,-,-,27.45%,13.91%,-,-,-,-,-,-,-,-,-
34,Revenue as Reported,69077,37963,136074,50179,3261,36086,28289,116851,58282,3704,1872,1305,1640,-,-,-,1654,2145
