,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,35.89,35.89,32.19,-,16.97,18.99,38.73,-,110.73,-,51.42,56.10,112.30,-,54.91,-,-,-,-,-
10,EV/Sales Ratio,2.19,1.69,1.63,1.50,2.22,2.33,2.28,2.28,1.71,1.66,2.11,2.57,3.08,2.96,4.70,-,-,-,-,-
11,EV/EBITDA Ratio,19.84,14.63,12.80,10.60,15.63,19.44,20.96,22.24,17.09,18.41,20.64,24.68,26.57,19.75,26.78,-,-,-,-,-
12,EV/EBIT Ratio,31.10,21.45,17.94,14.17,21.24,28.25,31.81,35.05,26.01,28.91,34.54,46.06,41.14,27.45,34.94,-,-,-,-,-
13,EV/FCF Ratio,-28.45,-22.04,-23.12,-,-,-227.63,-31.36,-,-,-,-,-,-49.84,-,153.83,-,-,-,-,-
14,Debt / Equity Ratio,0.37,0.37,0.36,0.39,0.39,0.37,0.10,0.10,0.07,0.05,0.06,0.02,0.04,0.05,0.06,0.11,0.08,-,0.12,0.44
15,Debt / EBITDA Ratio,3.80,4.18,4.55,4.32,2.53,2.94,0.79,1.58,0.79,0.65,0.61,0.30,0.79,0.43,0.58,0.46,0.24,-,0.36,2.87
16,Debt / FCF Ratio,-,-5.45,-5.84,-,-,-45.44,-1.73,-,-,-,-,-,-0.83,-,2.59,-,0.74,-,100.38,-
17,Asset Turnover,0.52,0.47,0.44,0.56,0.57,0.58,0.39,0.70,0.58,0.54,0.51,0.73,0.57,0.65,0.90,-,-,-,-,
18,Inventory Turnover,5.35,5.44,5.02,4.75,6.02,5.85,5.22,3.66,6.52,5.23,4.75,4.47,6.65,5.23,5.39,5.60,-,-,-,-
19,Quick Ratio,2.56,2.56,2.61,2.79,2.68,3.03,2.18,2.24,2.27,2.36,2.37,2.51,2.42,2.53,2.77,1.35,1.38,-,1.31,-
20,Current Ratio,2.89,2.89,2.93,3.10,2.96,3.35,2.48,2.57,2.55,2.68,2.68,2.87,2.73,2.87,3.08,1.64,1.64,-,1.61,-
21,Return on Equity (ROE),4.60%,5.10%,5.59%,10.21%,9.40%,8.74%,3.80%,8.77%,6.33%,7.47%,4.44%,7.35%,7.08%,7.83%,20.81%,-,-,17.70%,-,
22,Return on Assets (ROA),2.00%,1.39%,2.12%,4.33%,3.86%,3.95%,1.42%,2.21%,2.47%,2.97%,1.95%,1.00%,3.04%,2.69%,8.56%,-,-,-,-,
23,Return on Capital (ROIC),2.60%,1.77%,2.68%,5.50%,4.97%,5.21%,1.90%,3.00%,3.34%,4.04%,2.68%,1.37%,4.04%,3.82%,14.33%,-,-,10.54%,-,
24,Return on Capital Employed (ROCE),4.70%,5.27%,6.03%,6.79%,6.22%,4.92%,5.67%,4.93%,5.19%,4.59%,4.88%,4.46%,5.96%,8.31%,9.73%,24.47%,22.71%,-,9.01%,-
25,Earnings Yield,2.90%,3.59%,4.38%,4.91%,3.56%,3.33%,3.12%,2.98%,3.62%,3.44%,2.93%,2.32%,2.36%,3.02%,2.78%,-,-,-,-,-
26,FCF Yield,-3.02%,-3.74%,-3.55%,-4.07%,-0.27%,-0.37%,-2.67%,-5.14%,-4.94%,-2.46%,-3.05%,-1.63%,-1.65%,-1.22%,0.65%,-,-,-,-,-
27,Dividend Yield,1.88%,-,-,-,2.03%,-,-,-,1.79%,-,-,-,-,-,1.28%,-,-,-,-,-
28,Payout Ratio,70.31%,12.23%,332.68%,4.27%,2.35%,2.89%,145.70%,7.02%,1.93%,4.07%,1.89%,3.87%,232.01%,3.05%,3.79%,1.84%,1.20%,58.79%,3.83%,6.04%
29,Buyback Yield / Dilution,0.30%,-1.06%,6.36%,-0.72%,-3.39%,-3.76%,1.05%,1.09%,-1.57%,3.86%,-36.80%,-35.42%,-33.85%,-32.43%,2.57%,-2.03%,-,-,-,-
30,Total Shareholder Return,2.18%,-1.06%,6.36%,-0.72%,-1.36%,-3.76%,1.05%,1.09%,0.22%,3.86%,-36.80%,-35.42%,-33.85%,-32.43%,3.85%,-2.03%,-,-,-,-
