,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q1 2019,Q4 2018,Q1 2018
24,Long-Term Debt,561.65,561.65,631.86,-,3026,3026,3269,3785,3785,-,4271,4757,4757,4757,-,-,3400,4600,4600,-
25,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.31,-,-
26,Total Liabilities,135653,135653,103693,-,78439,65516,45167,46699,48163,-,52366,84826,73081,73081,-,-,65809,61164,56125,-
27,Common Stock,331400,331400,331400,-,331400,331400,331400,331400,331400,-,316400,316400,316400,316400,-,-,88000,88000,88000,-
28,Retained Earnings,4926,4926,3915,-,3108,2837,2359,1921,1474,-,8794,8540,8088,8088,-,-,22825,15087,13707,-
29,Treasury Stock,-0.04,-0.04,-0.04,-,-0.04,-0.04,-0.04,-0.04,-0.04,-,-0.04,-0.04,-0.04,-0.04,-,-,-,-,-,-
30,Comprehensive Income & Other,-418,-418,-418,-,-418,-418,-418,-418,-418,-,-330,-330,-330,-330,-,-,-,-,-,-
31,Total Common Equity,335908,335908,334897,334083,334090,333819,333340,332903,332456,-,324863,324609,324158,324158,-,-,110825,103087,101707,-
32,Minority Interest,22550,22550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Shareholders' Equity,358458,358458,334897,334083,334090,333819,333340,332903,332456,-,324863,324609,324158,324158,-,-,110825,103087,101707,-
34,Total Liabilities & Equity,494111,494111,438589,-,412530,399335,378508,379602,380618,-,377230,409435,397239,397239,-,-,176635,164251,157832,-
35,Total Debt,131824,131824,87638,68235,68320,38343,43390,43630,41662,-,44965,69166,70130,70130,-,-,54404,51711,46492,-
36,Net Cash (Debt),-131137,-131137,-80688,-68047,-68089,-38048,-43210,-42130,-41517,-,-41287,-61552,-56918,-56918,-,-,-52532,-49626,-44753,-
37,Net Cash Per Share,-3957.06,-3957.06,-,-,-,-1112.78,-1318.69,-1319.68,-1247.31,-,-1286.76,-1906.98,-1203.99,-1203.99,-,-,-,-,-,-
38,Filing Date Shares Outstanding,33.14,33.14,-,-,-,34.19,32.77,31.92,33.28,33.14,32.09,32.28,47.27,47.27,15.94,16.75,-,-,-,-
39,Total Common Shares Outstanding,33.14,33.14,-,-,-,34.19,32.77,31.92,33.28,33.14,32.09,32.28,47.27,47.27,15.94,16.75,-,-,-,-
40,Working Capital,159271,159271,156191,-,154457,240931,277966,276447,274468,-,263922,262397,260225,260225,-,-,47767,36836,34256,-
41,Book Value Per Share,10136.03,10136.03,-,-,-,9763.15,10173.07,10427.76,9988.19,-,10124.80,10056.93,6856.95,6856.96,-,-,-,-,-,-
42,Tangible Book Value,169148,169148,318119,317283,317290,317008,316517,316066,315605,-,307986,307719,307254,307254,-,-,93814,86083,84910,-
43,Tangible Book Value Per Share,5104.03,5104.03,-,-,-,9271.49,9659.64,9900.36,9481.95,-,9598.81,9533.64,6499.38,6499.39,-,-,-,-,-,-
44,Buildings,12581,12581,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Machinery,59325,59325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Construction In Progress,182.86,182.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,343.28,-
