,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
15,EBT Excluding Unusual Items,60.93,35.34,52.78,94.93,109.45,41.35,67.48,50.96,11.33,18.51,81.58,68.54,96.27,106.22,116.16,123.27,125.68,116.7,90.88,57.9
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-0.47,0.51,-,-0.04,0.51,0.51,0.94,-
17,Gain (Loss) on Sale of Assets,0.04,0.08,-0.03,0.07,0.22,0.05,0.1,0,-0.28,-0.05,0.04,-0,-0.09,0.07,-,-0,-0,0.01,0.07,-
18,Asset Writedown,-3.81,-1.41,1.64,-1.64,2,0.24,-0.33,0.33,1.31,-1.31,0.57,-0.57,2.46,-2.46,0.57,-0.57,1.75,-1.54,0.04,-
19,Other Unusual Items,0.11,-8.22,8.12,-,-,-,-,-,16.22,-8.96,8.96,-,17.48,-6.06,6.06,-,14.34,-4.36,4.36,-
20,Pretax Income,57.27,25.79,62.51,93.36,111.66,41.65,67.25,51.29,28.58,8.19,91.15,67.98,115.64,98.29,122.79,122.67,142.27,111.33,96.29,57.9
21,Income Tax Expense,6.16,3.96,10.66,16.7,4.42,9.82,12.75,12.36,0.79,1.05,18.54,14.92,20.87,19.73,24.88,24.86,23.35,24.57,19.39,14.88
22,Earnings From Continuing Operations,51.1,21.83,51.85,76.66,107.24,31.83,54.49,38.94,27.79,7.14,72.61,53.06,94.77,78.55,97.91,97.81,118.92,86.76,76.9,43.02
23,Minority Interest in Earnings,0,0.02,-0.04,-0.03,-0.03,-0,-0.09,0.01,-0.05,-0.01,0.07,-0.03,-0.13,-0.16,-0.19,-0.16,-0.2,-0.1,-0.06,-
24,Net Income,51.11,21.85,51.81,76.63,107.21,31.82,54.41,38.95,27.74,7.13,72.68,53.02,94.65,78.39,97.72,97.65,118.73,86.66,76.84,43.02
25,Net Income to Common,51.11,21.85,51.81,76.63,107.21,31.82,54.41,38.95,27.74,7.13,72.68,53.02,94.65,78.39,97.72,97.65,118.73,86.66,76.84,43.02
26,Net Income Growth,-52.33%,-31.35%,-4.78%,96.74%,286.45%,346.25%,-25.14%,-26.53%,-70.69%,-90.90%,-25.62%,-45.70%,-20.28%,-9.54%,27.17%,126.99%,-,-,-,-
27,Shares Outstanding (Basic),390,432,431,426,395,446,416,433,405,430,413,442,427,422,389,362,353,367,362,358
28,Shares Outstanding (Diluted),390,432,431,426,395,446,416,433,405,430,413,442,427,422,389,362,353,367,362,358
29,Shares Change (YoY),-1.28%,-3.22%,3.51%,-1.63%,-2.38%,3.74%,0.59%,-2.05%,-5.25%,1.85%,6.23%,22.17%,21.01%,15.10%,7.67%,0.88%,-,-,-,-
30,EPS (Basic),0.13,0.05,0.12,0.18,0.27,0.07,0.13,0.09,0.07,0.02,0.18,0.12,0.22,0.19,0.25,0.27,0.34,0.24,0.21,0.12
31,EPS (Diluted),0.13,0.05,0.12,0.18,0.27,0.07,0.13,0.09,0.07,0.02,0.17,0.12,0.22,0.19,0.25,0.27,0.33,0.24,0.21,0.12
32,EPS Growth,-51.71%,-29.07%,-8.01%,100.00%,295.87%,330.14%,-23.82%,-25.00%,-68.97%,-91.07%,-31.51%,-55.56%,-33.63%,-21.41%,19.60%,125.00%,-,-,-,-
33,Free Cash Flow,-2.21,-98.03,40.97,82.36,47.78,7.78,118.05,66.75,91.45,-59.38,3.34,53.12,28.56,13.81,55.89,5.01,184.44,164.88,-,-
34,Free Cash Flow Per Share,-0.01,-0.23,0.10,0.19,0.12,0.02,0.28,0.15,0.23,-0.14,0.01,0.12,0.07,0.03,0.14,0.01,0.52,0.45,-,-
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.300,-,-,-,0.330,-,0.260,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-,-9.09%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,23.31%,21.27%,24.98%,27.00%,27.36%,24.23%,23.32%,19.93%,16.28%,17.90%,25.12%,26.20%,21.04%,30.45%,38.32%,35.62%,40.09%,38.98%,-13.15%,100.00%
38,Operating Margin,5.39%,3.55%,5.48%,10.85%,12.52%,4.54%,7.02%,5.55%,0.10%,1.91%,9.33%,8.99%,11.33%,13.63%,16.27%,18.02%,17.28%,18.08%,16.85%,13.32%
39,Profit Margin,5.98%,2.96%,6.55%,9.89%,13.52%,4.37%,6.63%,5.25%,3.55%,1.09%,9.49%,8.03%,11.58%,11.31%,13.68%,15.08%,16.71%,13.77%,13.97%,9.94%
40,Free Cash Flow Margin,-0.26%,-13.27%,5.18%,10.63%,6.03%,1.07%,14.39%,9.00%,11.70%,-9.08%,0.44%,8.05%,3.49%,1.99%,7.82%,0.77%,25.97%,26.19%,-,-
41,EBITDA,72.5,50.21,69.07,108.05,123.9,56.62,82,64.72,24.31,37.38,98.77,84.25,117.55,118.26,143.48,140.49,146.56,-,116.18,-
42,EBITDA Margin,8.48%,6.79%,8.73%,13.95%,15.63%,7.78%,10.00%,8.73%,3.11%,5.72%,12.90%,12.76%,14.38%,17.06%,20.08%,21.69%,20.63%,-,21.13%,-
43,D&A For EBITDA,26.41,23.98,25.74,23.98,24.68,23.55,24.39,23.55,23.55,24.9,27.34,24.9,24.9,23.79,27.21,23.79,23.79,-,23.52,-
44,EBIT,46.09,26.23,43.33,84.07,99.22,33.07,57.61,41.17,0.76,12.48,71.43,59.34,92.64,94.47,116.27,116.7,122.78,113.83,92.66,57.65
45,EBIT Margin,5.39%,3.55%,5.48%,10.85%,12.52%,4.54%,7.02%,5.55%,0.10%,1.91%,9.33%,8.99%,11.33%,13.63%,16.27%,18.02%,17.28%,18.08%,16.85%,13.32%
46,Effective Tax Rate,10.76%,15.36%,17.05%,17.88%,3.96%,23.58%,18.97%,24.09%,2.78%,12.83%,20.34%,21.95%,18.05%,20.08%,20.26%,20.26%,16.41%,22.07%,20.14%,25.70%
47,Revenue as Reported,854.5,739,791.09,774.76,792.73,727.95,820.41,741.42,781.71,653.73,765.69,660.27,817.52,693.3,714.44,647.73,710.32,629.45,982.63,-
