,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
29,Additional Paid-In Capital,635.98,633.91,627.71,624.68,621.66,618.63,615.61,612.58,609.46,606.5,187.04,184.08,-,178.8,-
30,Retained Earnings,91.95,99.56,110.81,115.59,107.36,107.16,100.61,94.63,89.95,85.51,103.06,96.68,-,60.92,-
31,Treasury Stock,-25.7,-25.7,-25.7,-,-,-,-,-,-,-,-,-,-,-,-
32,Total Common Equity,810.24,815.78,820.83,848.28,837.03,833.81,824.23,815.22,807.42,800.01,371.1,361.76,-,320.72,-
33,Minority Interest,0.37,0.44,0.49,-0.31,-0.37,-0.37,-0.34,-0.3,-0.26,-0.22,-0.18,-0.12,-,-,-
34,Shareholders' Equity,810.61,816.22,821.32,847.98,836.66,833.44,823.89,814.92,807.16,799.79,370.93,361.64,-,320.72,-
35,Total Liabilities & Equity,904.07,915.2,931.02,961.32,921.29,917.61,918.14,921.85,869.17,853.27,426.3,428.39,-,367.31,-
36,Total Debt,11.81,9.97,22.66,15.67,29.44,30.35,27.89,29.19,23.09,18.29,18.53,23.02,-,12.12,-
37,Net Cash (Debt),504.33,506.72,520.08,549.04,540.92,548.83,551.21,584.04,595.69,576.49,168.03,181.74,-,194.38,-
38,Net Cash Growth,-6.76%,-7.67%,-5.65%,-5.99%,-9.19%,-4.80%,228.05%,221.36%,-,196.58%,-,-,-,-,-
39,Net Cash Per Share,4.74,4.76,4.86,4.68,5.01,5.08,5.11,4.53,5.14,7.13,2.08,2.28,-,2.40,-
40,Filing Date Shares Outstanding,106.33,106.33,106.33,108.01,108.01,108.01,108.01,108.01,108.01,108.01,81,108.01,80.98,81,81.03
41,Total Common Shares Outstanding,106.33,106.33,106.33,108.01,108.01,108.01,108.01,108.01,108.01,108.01,81,81,80.98,81,81.03
42,Working Capital,605.06,610.39,617.49,643.84,680.5,679.62,675.92,677.06,710.21,726.5,314.08,309.18,-,286.15,-
43,Book Value Per Share,7.62,7.67,7.72,7.85,7.75,7.72,7.63,7.55,7.48,7.41,4.58,4.47,-,3.96,-
44,Tangible Book Value,794.6,800.05,805.01,832.37,821.33,818.03,808.37,799.28,791.4,783.9,354.91,345.48,-,304.28,-
45,Tangible Book Value Per Share,7.47,7.52,7.57,7.71,7.60,7.57,7.48,7.40,7.33,7.26,4.38,4.27,-,3.76,-
46,Buildings,-,65.87,-,65.87,-,65.87,-,-,-,-,-,-,-,-,-
47,Machinery,-,9.02,-,8.93,-,7.42,-,5.44,-,5.26,-,5.2,-,4.83,-
48,Construction In Progress,-,108.25,-,105.77,-,54.63,-,108.02,-,38.84,-,6.73,-,2.28,-
