,Fiscal Quarter,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017
37,Minority Interest,25233,23278,23278,15733,31248,30336,35998,36148,24893,28259,-,-,-
38,Shareholders' Equity,1026731,1021217,1021217,1375152,1565846,1557742,1554691,386110,330431,332790,-,-,109640
39,Total Liabilities & Equity,1228354,1515496,1515496,1918291,2119101,1961755,2023041,941314,809968,657305,-,-,-
40,Total Debt,5043,232039,232039,281903,291997,128196,173971,200284,170220,97612,-,-,104965
41,Net Cash (Debt),321417,385326,385326,240495,608053,984881,1071270,-138713,-125454,-8703,-,-,-65862
42,Net Cash Growth,-47.14%,-60.88%,-64.03%,-,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,6326.03,7577.04,7577.04,4468.64,11288.65,16858.33,19712.69,-2943.13,-2661.81,-328.34,-,-,-3824.06
44,Filing Date Shares Outstanding,50.81,50.81,50.81,52.4,53.86,53.86,53.86,47.13,40.98,40.98,26.54,35.79,17.22
45,Total Common Shares Outstanding,50.81,50.81,50.81,52.4,53.86,53.86,53.86,47.13,40.98,40.98,26.54,35.79,17.22
46,Working Capital,644090,661908,661908,1032246,1321951,1295761,1364059,136362,135011,151475,-,-,-
47,Book Value Per Share,19711.16,19641.10,19641.10,25942.36,28490.19,28356.64,28194.90,7425.27,7455.12,7430.57,-,-,5898.68
48,Tangible Book Value,785092,789103,789103,1232050,1403723,1376822,1400924,136047,192345,188492,-,-,94861
49,Tangible Book Value Per Share,15451.92,15530.86,15530.86,23511.72,26060.46,25561.03,26008.49,2886.56,4693.22,4599.21,-,-,5508.74
50,Machinery,18689,18889,18889,17653,17622,17622,14602,14790,14297,14297,-,-,-
51,Construction In Progress,14271,11778,11778,-,-,160.35,189.95,115.48,115.48,115.48,-,-,-
