,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
10,EV/Sales Ratio,1.39,1.38,1.03,1.33,1.52,1.41,1.44,1.65,1.48,1.78,1.53,1.32,1.83,1.29,1.37,2.07,2.45,-,-,-,-
11,EV/EBITDA Ratio,13.08,13.96,8.01,10.29,10.93,10.46,11.90,12.76,11.19,14.72,11.50,9.83,14.43,9.95,10.01,14.99,17.18,-,-,-,-
12,EV/EBIT Ratio,20.40,18.20,9.87,12.65,13.21,12.78,14.90,15.84,13.66,18.40,14.27,12.17,18.25,12.34,12.06,17.86,20.64,-,-,-,-
13,EV/FCF Ratio,-89.29,-39.43,-,-,-24.19,-,-834.94,-,14.88,15.81,14.09,18.30,19.39,10.16,-,13.29,16.39,-,-,-,-
14,Debt / Equity Ratio,0.22,0.22,0.15,0.02,0.02,-,0.03,0.03,0.03,0.03,0.07,0.07,0.08,0.04,0.04,0.03,-,-,-,0.13,0.13
15,Debt / EBITDA Ratio,2.18,4.36,0.97,0.25,0.18,-,0.20,0.26,0.25,0.25,0.37,0.46,0.72,0.31,0.27,0.22,-,-,-,0.64,0.63
16,Debt / FCF Ratio,-,-6.82,-,-,-0.41,-,-17.90,-,0.36,0.33,0.74,1.22,1.02,0.32,-,0.18,-,-,-,6.69,-
17,Asset Turnover,0.62,0.66,-,0.68,-,0.61,0.54,0.69,0.71,0.53,0.63,0.66,0.57,0.58,0.64,1.04,1.16,-,-,-,
18,Inventory Turnover,-,7.23,9.93,-,-,-,17.12,13.91,19.44,20.71,15.91,20.94,24.90,18.63,19.90,22.56,-,-,-,-,-
19,Quick Ratio,1.79,1.79,1.82,2.51,2.28,-,2.41,2.57,2.35,2.35,2.50,2.48,2.29,2.95,2.76,2.67,2.70,-,1.62,-,1.39
20,Current Ratio,2.07,2.07,2.06,2.74,2.45,-,2.54,2.72,2.49,2.49,2.65,2.60,2.39,3.09,2.89,2.77,2.82,1.80,1.74,-,1.49
21,Return on Equity (ROE),2.54%,6.91%,-,10.25%,-,8.35%,9.32%,10.15%,10.42%,9.54%,11.00%,8.15%,8.85%,10.64%,8.84%,10.56%,23.95%,23.34%,10.72%,-,
22,Return on Assets (ROA),1.11%,3.88%,-,4.26%,-,3.65%,4.48%,3.58%,3.68%,4.34%,5.81%,1.32%,4.43%,4.95%,4.90%,3.70%,11.11%,-,-,-,
23,Return on Capital (ROIC),1.63%,5.45%,-,6.22%,-,4.95%,6.14%,5.02%,5.06%,5.87%,8.00%,1.80%,5.93%,6.82%,6.86%,5.52%,18.31%,16.46%,8.95%,-,
24,Return on Capital Employed (ROCE),5.62%,6.07%,8.31%,8.62%,9.61%,-,8.62%,8.74%,9.62%,8.27%,8.64%,8.60%,7.97%,9.36%,11.09%,11.68%,11.52%,20.42%,14.13%,-,4.10%
25,Earnings Yield,3.54%,3.61%,5.85%,5.11%,4.84%,5.00%,4.60%,4.27%,4.52%,3.81%,4.35%,4.94%,3.80%,4.65%,4.66%,4.53%,3.83%,-,-,-,-
26,FCF Yield,-0.99%,-2.09%,-3.83%,-1.63%,-3.01%,-2.19%,-0.09%,0.45%,4.83%,4.75%,5.02%,3.61%,3.74%,6.57%,7.00%,7.68%,6.22%,-,-,-,-
27,Dividend Yield,1.67%,-,-,-,-,-,-,-,-,-,-,-,1.50%,-,-,-,1.47%,-,-,-,-
28,Payout Ratio,51.56%,26.82%,199.15%,-,-,64.99%,60.87%,-,25.03%,25.03%,58.83%,79.24%,50.41%,-,123.57%,2.66%,-,7.25%,13.90%,-,-
29,Buyback Yield / Dilution,-1.21%,-8.92%,4.88%,-1.01%,-1.23%,2.88%,-8.06%,1.07%,-0.95%,-1.08%,3.40%,0.79%,-24.58%,-30.79%,-35.48%,-36.61%,-6.29%,-,-,-,-
30,Total Shareholder Return,0.46%,-8.92%,4.88%,-1.01%,-1.23%,2.88%,-8.06%,1.07%,-0.95%,-1.08%,3.40%,0.79%,-23.08%,-30.79%,-35.48%,-36.61%,-4.81%,-,-,-,-
