,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
38,Treasury Stock,-62.89,-11.96,-11.79,-11.79,-,-16.03,-16.6,-16.6,-16.6,-13.28,-,-,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,18.83,18.83,18.83,18.83,-,32.16,18.71,18.38,18.38,17.95,17.64,17.3,17.08,16.68,16.27,15.87,-,15.06,-,14.2
40,Total Common Equity,1347,1391,1410,1384,-,1309,1321,1288,1288,1222,1234,1204,1181,1156,1163,1139,638.43,600.88,551.47,551.47
41,Minority Interest,136.3,107.78,83.73,80.74,-,73,84.17,86.99,86.99,81.9,83.03,76.92,51.95,49.95,58.3,55.13,53.92,53.45,-,51.31
42,Shareholders' Equity,1483,1499,1493,1465,-,1382,1405,1375,1375,1304,1317,1281,1233,1206,1222,1194,692.35,654.33,602.78,602.78
43,Total Liabilities & Equity,2673,2509,2046,2104,-,1950,1941,1988,1988,1878,1919,1937,1690,1704,1758,1675,1139,1081,-,1115
44,Total Debt,333.04,224.26,30.45,31.74,-,38.52,44.5,44.78,44.78,88.15,96.29,103.52,46.74,50.34,35.21,-,-,-,80,80
45,Net Cash (Debt),399.72,514.98,709.55,771.89,-,771.94,750.26,866.61,866.61,786.75,775.94,784.01,795.42,779.12,844.51,840.78,-,233.52,195.46,195.46
46,Net Cash Growth,-,-33.29%,-5.43%,-10.93%,-,-1.88%,-3.31%,10.54%,8.95%,0.98%,-8.12%,-6.75%,-,233.65%,332.07%,330.16%,-,-,-,-
47,Net Cash Per Share,2.83,3.89,5.26,5.70,-,5.54,5.62,6.48,6.48,6.10,5.75,5.92,6.01,5.84,6.21,7.91,-,2.37,1.96,1.95
48,Filing Date Shares Outstanding,131.45,135.32,135.32,135.32,129.82,135.34,135.34,135.34,135.34,134.94,133.34,133.34,133.34,133.34,133.34,133.34,100,100,99.61,100
49,Total Common Shares Outstanding,131.45,135.32,135.32,135.32,129.82,135.34,135.34,135.34,135.34,134.94,133.34,133.34,133.34,133.34,133.34,133.34,100,100,99.61,100
50,Working Capital,999.85,910.63,929.57,897.65,-,846.67,878.82,873.17,873.17,856.4,861.21,817.64,879.68,869.95,871.4,856.98,351.6,309,-,249.89
51,Book Value Per Share,10.25,10.28,10.42,10.23,-,9.67,9.76,9.51,9.51,9.06,9.26,9.03,8.86,8.67,8.73,8.54,6.38,6.01,5.51,5.51
52,Tangible Book Value,1022,1067,1142,1120,-,1042,1053,1019,1019,990.14,1001,970.28,1019,1011,1017,991.26,638.43,451.66,400.35,400.35
53,Tangible Book Value Per Share,7.77,7.88,8.44,8.28,-,7.70,7.78,7.53,7.53,7.34,7.51,7.28,7.64,7.58,7.63,7.43,6.38,4.52,4.00,4.00
54,Buildings,-,368.85,-,347.62,-,218.93,-,219.68,219.68,219.68,-,219.68,-,216.61,-,-,-,216.63,-,216.56
55,Machinery,-,299.61,-,119.52,-,117.58,-,124.52,124.52,119.64,-,118.53,-,97.17,-,-,-,97.2,-,111.75
56,Construction In Progress,-,6.94,-,6.74,-,97.86,-,55.29,55.29,9.55,-,3.89,-,7.79,-,-,-,4.02,-,2.5
