,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Pretax Income,59.68,-91.09,-131.04,-83.18,-42.71,-73.51,-49.88,-117.87,-98.48,-159.76,-105.37,-119.88,-91.16,-99.56,-100.29,-66.9
18,Net Income,59.68,-91.09,-131.04,-83.18,-42.71,-73.51,-49.88,-117.87,-98.48,-159.76,-105.37,-119.88,-91.16,-99.56,-100.29,-66.9
19,Net Income to Common,59.68,-91.09,-131.04,-83.18,-42.71,-73.51,-49.88,-117.87,-98.48,-159.76,-105.37,-119.88,-91.16,-99.56,-100.29,-66.9
20,Shares Outstanding (Basic),557,570,564,594,595,566,568,589,574,543,458,461,456,460,-,460
21,Shares Outstanding (Diluted),557,570,564,594,595,566,568,589,574,543,458,461,456,460,-,460
22,Shares Change (YoY),-6.41%,0.67%,-0.66%,0.81%,3.69%,4.38%,23.83%,27.82%,25.89%,17.99%,-,0.23%,-,-,-,-
23,EPS (Basic),0.11,-0.16,-0.23,-0.14,-0.07,-0.13,-0.09,-0.20,-0.17,-0.29,-0.23,-0.26,-0.20,-0.22,-,-0.15
24,EPS (Diluted),0.11,-0.16,-0.23,-0.14,-0.07,-0.13,-0.09,-0.20,-0.17,-0.29,-0.23,-0.26,-0.20,-0.22,-,-0.15
25,Free Cash Flow,-,-101.76,-99.83,-90.57,-74.4,-33.39,-122.61,-83.63,-149.49,-143.81,-89.3,-101.98,-64.26,-68.55,-76.05,-69.73
26,Free Cash Flow Per Share,-,-0.18,-0.18,-0.15,-0.13,-0.06,-0.22,-0.14,-0.26,-0.27,-0.19,-0.22,-0.14,-0.15,-,-0.15
27,Gross Margin,104.69%,83.33%,63.74%,53.00%,100.00%,100.00%,100.00%,-,-,-,-,-,-,-,-,-
28,Operating Margin,57.31%,-2387.51%,-2201.70%,-1061.03%,-111.09%,-165.02%,-77.24%,-,-,-,-,-,-,-,-,-
29,Profit Margin,39.80%,-2126.70%,-2090.91%,-966.50%,-73.19%,-155.85%,-62.35%,-,-,-,-,-,-,-,-,-
30,Free Cash Flow Margin,-,-2375.91%,-1592.87%,-1052.38%,-127.50%,-70.79%,-153.27%,-,-,-,-,-,-,-,-,-
31,EBITDA,87.27,-100.92,-136.58,-89.98,-63.49,-76.67,-60.43,-121.87,-102.26,-174.07,-120.77,-118.35,-91,-101.92,-95.82,-72.56
32,EBITDA Margin,58.20%,-,-,-,-108.80%,-162.54%,-75.54%,-,-,-,-,-,-,-,-,-
33,D&A For EBITDA,1.34,1.34,1.41,1.34,1.34,1.17,1.36,1.17,1.17,0.66,1.09,1.07,0.66,0.24,0.3,0.3
34,EBIT,85.93,-102.26,-137.98,-91.31,-64.83,-77.84,-61.79,-123.04,-103.43,-174.73,-121.86,-119.42,-91.66,-102.16,-96.11,-72.86
35,EBIT Margin,57.31%,-,-,-,-111.09%,-165.02%,-77.24%,-,-,-,-,-,-,-,-,-
36,Revenue as Reported,-,4.28,6.27,8.61,58.36,47.17,80,-,-,-,-,-,-,-,-,-
