,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
12,EBT Excluding Unusual Items,6.85,-27.09,-18.7,18.17,-10.84,52.94,10.16,57.47,4.51,50.74,11.17,70.76,-3.13,20.61,20.61
13,Gain (Loss) on Sale of Investments,0.25,-,-,-,-,-,2.29,0.31,0.47,0.06,0.12,0.68,-,0.33,0.33
14,Gain (Loss) on Sale of Assets,-0.14,-,-,-0.04,-,-,-,-,-,-,-,-,-0.01,-,-
15,Asset Writedown,-3.95,1.39,-1.53,-0.5,0.15,-0.03,0.03,0.26,-0.26,-0.04,0.04,-0.01,0.01,-0.01,-0.01
16,Other Unusual Items,-14.25,12.58,1.7,7.5,-4.09,4.09,-,17.38,0.65,-0.65,-,44.43,-0.09,0.04,0.04
17,Pretax Income,-11.25,-13.12,-18.53,25.13,-14.78,57.01,12.48,75.42,5.37,50.12,11.32,115.86,-3.22,20.97,20.97
18,Income Tax Expense,-4,-3.74,-3.63,-2.19,-2.55,4.59,0.27,2.93,0.72,5.09,0.73,-1.19,0,-2.1,-2.1
19,Net Income,-7.25,-9.38,-14.9,27.32,-12.23,52.41,12.21,72.49,4.65,45.03,10.58,117.04,-3.22,23.07,23.07
20,Net Income to Common,-7.25,-9.38,-14.9,27.32,-12.23,52.41,12.21,72.49,4.65,45.03,10.58,117.04,-3.22,23.07,23.07
21,Net Income Growth,-,-,-,-62.31%,-,16.39%,15.36%,-38.07%,-,95.16%,-54.14%,-,-,-,-
22,Shares Outstanding (Basic),203,203,204,204,204,204,203,203,203,170,153,153,153,153,153
23,Shares Outstanding (Diluted),203,203,204,204,204,204,203,203,203,170,153,153,153,153,153
24,Shares Change (YoY),-0.16%,-0.06%,0.08%,0.05%,0.04%,20.10%,33.24%,33.33%,33.31%,11.08%,0.05%,-,-,-,-
25,EPS (Basic),-0.04,-0.05,-0.07,0.13,-0.06,0.26,0.06,0.36,0.02,0.27,0.07,0.77,-0.02,0.15,0.15
26,EPS (Diluted),-0.04,-0.05,-0.07,0.13,-0.06,0.26,0.06,0.36,0.02,0.27,0.07,0.77,-0.02,0.15,0.15
27,EPS Growth,-,-,-,-62.33%,-,-3.09%,-13.42%,-53.55%,-,75.69%,-54.17%,-,-,-,-
28,Free Cash Flow,-103.44,-29.02,-115.02,17.78,-120.94,53.26,-81.21,18.55,-49.69,12.24,-61.76,24.06,-39.41,6.81,6.81
29,Free Cash Flow Per Share,-0.51,-0.14,-0.56,0.09,-0.59,0.26,-0.40,0.09,-0.24,0.07,-0.40,0.16,-0.26,0.04,0.04
30,Dividend Per Share,-,-,-,0.154,-,-,-,0.198,-,-,-,-,-,-,-
31,Dividend Growth,-,-,-,-22.24%,-,-,-,-,-,-,-,-,-,-,-
32,Gross Margin,78.68%,42.52%,38.51%,64.87%,74.13%,56.21%,72.01%,73.77%,79.38%,64.09%,75.77%,78.34%,73.45%,74.70%,74.70%
33,Operating Margin,20.34%,-54.80%,-103.34%,13.48%,-184.90%,40.65%,20.66%,37.42%,29.01%,51.32%,50.36%,55.65%,-190.81%,47.65%,47.65%
34,Profit Margin,-25.34%,-18.02%,-75.36%,23.45%,-219.30%,41.88%,30.42%,47.81%,39.53%,47.81%,52.31%,91.25%,-131.39%,57.53%,57.53%
35,Free Cash Flow Margin,-361.51%,-55.76%,-581.62%,15.26%,-2168.65%,42.56%,-202.37%,12.23%,-422.72%,12.99%,-305.36%,18.76%,-1609.00%,16.99%,16.99%
36,EBITDA,9.61,-22.66,-16.65,19.49,-8.19,53.98,10.42,58.85,5.34,50.48,12.12,73.32,-2.81,20.97,20.97
37,EBITDA Margin,33.57%,-43.55%,-84.19%,16.73%,-146.78%,43.13%,25.96%,38.82%,45.45%,53.59%,59.92%,57.16%,-114.83%,52.29%,52.29%
38,D&A For EBITDA,3.79,5.86,3.79,3.79,2.13,3.11,2.13,2.13,1.93,2.14,1.93,1.93,1.86,1.86,1.86
39,EBIT,5.82,-28.52,-20.44,15.7,-10.31,50.87,8.29,56.73,3.41,48.34,10.19,71.39,-4.67,19.11,19.11
40,EBIT Margin,20.34%,-54.80%,-103.34%,13.48%,-184.90%,40.65%,20.66%,37.42%,29.01%,51.32%,50.36%,55.65%,-190.81%,47.65%,47.65%
41,Effective Tax Rate,-,-,-,-,-,8.06%,2.18%,3.89%,13.46%,10.15%,6.49%,-,-,-,-
42,Revenue as Reported,28.61,52.04,19.78,116.5,5.58,125.15,40.13,151.6,11.76,94.2,20.23,128.27,2.45,40.11,40.11
