,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Total Assets,1470,1478,1441,1481,1432,1455,1411,1418,1305,1315,-,750.56,-,-,-
17,Accounts Payable,7.68,17.95,20.93,36.75,21.15,24.99,8.49,13.32,9.46,7.5,-,2.41,-,-,-
18,Accrued Expenses,3.7,3.61,3.39,10.34,3.06,3.06,2.7,15.42,2.39,12.08,-,17.75,-,-,-
19,Current Portion of Leases,-,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.67,-,-,0.02,-,-,-
20,Current Income Taxes Payable,0.46,-,0.3,-,0.36,5.12,1.87,1.88,0.27,4.63,-,-,-,-,-
21,Current Unearned Revenue,0.46,1.02,0.29,0.01,6.61,6.61,6.4,6.61,13.55,15,-,14.72,-,-,-
22,Other Current Liabilities,75.85,77.74,1.4,2.85,1.61,1.97,0.86,1.62,0.77,0.74,-,0.98,-,-,-
23,Total Current Liabilities,88.15,100.68,26.66,50.3,33.14,42.08,20.66,39.18,27.11,39.95,-,35.88,-,-,-
24,Long-Term Leases,-,-,-,-,-,0.36,0.35,0.35,-,-,-,-,-,-,-
25,Long-Term Unearned Revenue,15.51,16.22,16.88,17.54,18.38,19.23,9.19,9.71,10.66,12.8,-,17.07,-,-,-
26,Long-Term Deferred Tax Liabilities,4.4,4.45,4.5,4.54,4.14,4.18,4.39,4.29,0.08,0.04,-,0.1,-,-,-
27,Total Liabilities,108.07,121.35,48.04,72.39,55.66,65.85,34.59,53.53,37.85,52.79,-,53.05,-,-,-
28,Common Stock,207.27,207.27,156.54,156.54,156.54,156.54,111.81,111.81,111.81,111.81,-,83.86,-,-,-
29,Additional Paid-In Capital,880.84,868.51,840.64,840.64,840.64,840.64,885.36,885.36,885.36,885.36,-,404.21,-,-,-
30,Retained Earnings,318.48,325.73,366.42,381.32,354,366.23,354.07,341.86,269.38,264.73,-,209.12,-,-,-
31,Treasury Stock,-74.5,-74.5,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,29.69,29.69,29.69,29.69,25.29,25.29,25.29,25.29,0.32,0.32,-,0.32,-,-,-
33,Shareholders' Equity,1362,1357,1393,1408,1376,1389,1377,1364,1267,1262,697.5,697.5,-,-,537.21
34,Total Liabilities & Equity,1470,1478,1441,1481,1432,1455,1411,1418,1305,1315,-,750.56,-,-,-
35,Total Debt,-,0.36,0.35,0.35,0.34,0.7,0.69,0.68,0.67,-,0.02,0.02,-,-,-
36,Net Cash (Debt),303.29,406.36,392.09,507.12,489.41,610.36,596.66,687.91,671.21,720.44,257.29,257.29,-,-,255.03
37,Net Cash Growth,-38.03%,-33.42%,-34.29%,-26.28%,-27.09%,-15.28%,131.90%,167.36%,-,-,0.89%,-,-,-,-
38,Net Cash Per Share,1.49,2.00,1.93,2.49,2.40,3.00,2.93,3.38,3.30,4.25,1.69,1.69,-,-,1.67
39,Filing Date Shares Outstanding,207.27,207.27,203.5,203.5,203.5,203.5,203.5,203.5,203.5,203.5,152.69,152.62,152.63,152.61,152.61
40,Total Common Shares Outstanding,207.27,207.27,203.5,203.5,203.5,203.5,203.5,203.5,203.5,203.5,152.69,152.62,152.63,152.61,152.61
41,Working Capital,956.37,1013,1066,1117,1100,1175,1162,1167,1108,1146,-,597.27,-,-,-
42,Book Value Per Share,6.57,6.55,6.85,6.92,6.76,6.82,6.76,6.70,6.23,6.20,4.57,4.57,-,-,3.52
43,Tangible Book Value,1356,1350,1386,1401,1368,1380,1368,1355,1258,1252,686.6,686.6,-,-,524.16
44,Tangible Book Value Per Share,6.54,6.51,6.81,6.88,6.72,6.78,6.72,6.66,6.18,6.15,4.50,4.50,-,-,3.43
45,Machinery,-,205.76,-,156.88,-,133.66,-,80.6,-,61.37,-,48.28,-,-,-
46,Construction In Progress,-,31.61,-,43.94,-,7.25,-,5.82,-,3.66,-,12.63,-,-,-
