,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
14,Gain (Loss) on Sale of Assets,0.01,-0.01,-,-0.02,0,-0,-,-0,0,-0,-,-,-0,-,-,-
15,Asset Writedown,-1.57,0.17,-0.17,-,-,-,-,-,-,-,-,-0,-,-,-,-0
16,Other Unusual Items,-0.77,0.66,0.11,0.77,-0.42,0.42,-,3.22,1.02,-1.02,-,1.88,-,-,-,0.93
17,Pretax Income,13.67,-3.42,-3.59,-1.17,-4.48,17.63,2,24.76,24.59,62.45,25.84,59.74,33.37,24.17,24.17,4.19
18,Income Tax Expense,1.9,-8.84,-0.18,-11.54,0.11,0.04,0.79,0.81,-2.46,9.12,3.68,6.77,0.03,3.45,3.45,0.36
19,Earnings From Continuing Operations,11.77,5.42,-3.42,10.37,-4.59,17.59,1.22,23.95,27.05,53.33,22.16,52.97,33.34,20.73,20.73,3.83
20,Minority Interest in Earnings,0.63,0.68,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Net Income,12.4,6.1,-3.32,10.37,-4.59,17.59,1.22,23.95,27.05,53.33,22.16,52.97,33.34,20.73,20.73,3.83
22,Net Income to Common,12.4,6.1,-3.32,10.37,-4.59,17.59,1.22,23.95,27.05,53.33,22.16,52.97,33.34,20.73,20.73,3.83
23,Net Income Growth,-,-65.33%,-,-56.69%,-,-67.01%,-94.51%,-54.79%,-18.87%,157.29%,6.92%,1282.79%,-,-,-,-
24,Shares Outstanding (Basic),68,73,66,68,74,79,61,69,87,18,52,52,52,-,-,52
25,Shares Outstanding (Diluted),68,73,66,68,74,79,61,69,87,18,52,52,52,-,-,52
26,Shares Change (YoY),-8.10%,-7.20%,9.07%,-2.45%,-14.92%,345.15%,17.07%,32.74%,66.41%,-,-,0.23%,-,-,-,-
27,EPS (Basic),0.18,0.08,-0.05,0.15,-0.06,0.22,0.02,0.34,0.31,3.02,0.43,1.01,0.64,-,-,0.07
28,EPS (Diluted),0.18,0.08,-0.05,0.15,-0.06,0.22,0.02,0.34,0.31,3.02,0.43,1.01,0.64,-,-,0.07
29,EPS Growth,-,-62.64%,-,-55.61%,-,-92.59%,-95.31%,-65.94%,-51.25%,-,-,1281.10%,-,-,-,-
30,Free Cash Flow,-26.37,-20.28,-28.3,-3.14,-8.04,-3.8,-17.05,14.34,53.98,44.43,19.48,40.92,-,-,-,-18.28
31,Free Cash Flow Per Share,-0.39,-0.28,-0.43,-0.05,-0.11,-0.05,-0.28,0.21,0.62,2.52,0.38,0.78,-,-,-,-0.35
32,Dividend Per Share,-,-,-,0.180,-,-,-,2.167,-,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,-91.69%,-,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,62.10%,56.18%,60.54%,49.33%,64.61%,66.49%,66.91%,64.61%,63.41%,67.06%,65.44%,67.15%,15.50%,100.00%,100.00%,65.34%
35,Operating Margin,11.40%,-12.28%,-15.71%,-12.59%,-19.52%,14.25%,-13.50%,21.35%,26.48%,46.63%,35.51%,45.33%,37.56%,36.32%,36.32%,7.21%
36,Profit Margin,14.01%,7.74%,-5.75%,15.21%,-8.51%,24.52%,2.86%,30.11%,35.47%,42.02%,32.87%,41.94%,39.26%,31.33%,31.33%,13.42%
37,Free Cash Flow Margin,-29.79%,-25.75%,-49.11%,-4.61%,-14.88%,-5.30%,-40.04%,18.03%,70.78%,35.01%,28.90%,32.40%,-,-,-,-64.06%
38,EBITDA,11.56,-7.55,-7.59,-7.11,-9.44,10.38,-4.65,18.08,21.06,59.69,24.8,58.12,32.58,24.7,24.7,2.72
39,EBITDA Margin,13.05%,-9.58%,-13.16%,-10.43%,-17.48%,14.47%,-10.91%,22.73%,27.61%,47.04%,36.79%,46.02%,38.36%,37.34%,37.34%,9.54%
40,D&A For EBITDA,1.47,2.13,1.47,1.47,1.1,0.16,1.1,1.1,0.87,0.52,0.87,0.87,0.68,0.68,0.68,0.67
41,EBIT,10.09,-9.67,-9.06,-8.58,-10.54,10.22,-5.75,16.98,20.19,59.17,23.94,57.25,31.9,24.02,24.02,2.06
42,EBIT Margin,11.40%,-12.28%,-15.71%,-12.59%,-19.52%,14.25%,-13.50%,21.35%,26.48%,46.63%,35.51%,45.33%,37.56%,36.32%,36.32%,7.21%
43,Effective Tax Rate,13.91%,-,-,-,-,0.22%,39.34%,3.28%,-,14.61%,14.23%,11.34%,0.09%,14.25%,14.25%,8.53%
44,Revenue as Reported,88.52,78.77,57.64,68.16,54.01,71.75,42.59,79.53,76.26,126.9,67.41,126.3,217.22,-,-,28.54
45,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02
