,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2021,Q1 2021,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,+3 Quarters
11,Interest Expense,-0.27,-0.86,-,-,-0.55,-0.27,-1.15,-0.45,-0.45,-0.57,-0.57,-,-,-0.15,-0.15,-,-,-0.33,-0.33,-0.05,Upgrade
12,Interest & Investment Income,4.76,0.81,0.5,-,0.27,0.58,-,0.02,0.02,0.01,0.01,0.13,-,0.01,0.01,0.12,0.12,0.05,0.05,0,Upgrade
13,Currency Exchange Gain (Loss),0.72,-0.72,-,-,-2.21,2.21,-,-0.31,-0.31,0.04,0.04,-0.51,-,-0.48,-0.48,0.76,0.76,0.32,0.32,0.94,Upgrade
14,Other Non Operating Income (Expenses),-5.28,3.51,0.68,-,3.74,0.36,-0.05,0.05,0.05,-0.01,-0.01,-0.64,-1.22,0.09,0.09,-0.18,-0.18,-0.1,-0.1,-0.34,Upgrade
15,EBT Excluding Unusual Items,4.72,4.1,7.41,-,19.35,19.05,12.26,18.59,18.59,7.82,7.82,1.84,2.64,7.25,7.25,6.08,6.08,3.79,3.79,3.63,Upgrade
16,Gain (Loss) on Sale of Investments,-,-,-0,-,-1.48,-1.06,0.36,0.44,0.44,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Assets,-,-0,-,-,0.04,-0.04,-,-,-,0,0,0.02,-0.04,-,-,-,-,-,-,-0.05,Upgrade
18,Asset Writedown,-1.64,0.27,-0.27,-,-3.18,2.75,-2.75,-0,-0,-,-,-,-0.37,-,-,-,-,-,-,-,Upgrade
19,Other Unusual Items,0.63,-0.09,-0.02,-,0.1,-0.1,-,-0.42,-0.42,0.39,0.39,0.37,-,-,-,-0.19,-0.19,0.19,0.19,-0.01,Upgrade
20,Pretax Income,3.71,4.27,7.11,-,14.83,20.59,9.87,18.61,18.61,8.21,8.21,2.22,2.22,7.25,7.25,5.9,5.9,3.98,3.98,3.56,Upgrade
21,Income Tax Expense,-0.03,-0.4,0.41,-,1.46,2.27,1.09,2.47,2.47,1.25,1.25,0.52,0.52,1.09,1.09,0.77,0.77,0.6,0.6,0.64,Upgrade
22,Net Income,3.74,4.67,6.71,-,13.37,18.32,8.78,16.14,16.14,6.96,6.96,1.7,1.7,6.16,6.16,5.13,5.13,3.38,3.38,2.92,Upgrade
23,Net Income to Common,3.74,4.67,6.71,-,13.37,18.32,8.78,16.14,16.14,6.96,6.96,1.7,1.7,6.16,6.16,5.13,5.13,3.38,3.38,2.92,Upgrade
24,Net Income Growth,-72.02%,-74.51%,-23.66%,-,-17.17%,163.10%,26.16%,850.59%,850.59%,13.07%,13.07%,-66.91%,-66.91%,82.37%,82.37%,75.61%,75.61%,70.49%,70.49%,-,Upgrade
25,Shares Outstanding (Basic),45,45,39,-,33,32,34,33,33,28,28,28,28,28,28,28,28,20,20,8,Upgrade
26,Shares Outstanding (Diluted),45,45,39,-,33,32,34,33,33,28,28,28,28,28,28,28,28,20,20,8,Upgrade
27,Shares Change (YoY),35.59%,38.67%,16.76%,-,0.42%,16.05%,21.30%,18.32%,18.32%,-0.50%,-0.50%,0.21%,0.21%,40.92%,40.92%,238.10%,238.10%,832.66%,832.66%,-,Upgrade
28,EPS (Basic),0.08,0.10,0.17,-,0.40,0.57,0.26,0.48,0.48,0.25,0.25,0.06,0.06,0.22,0.22,0.18,0.18,0.17,0.17,0.35,Upgrade
29,EPS (Diluted),0.08,0.10,0.17,-,0.40,0.57,0.26,0.48,0.48,0.25,0.25,0.06,0.06,0.22,0.22,0.18,0.18,0.17,0.17,0.35,Upgrade
30,EPS Growth,-79.36%,-81.62%,-34.62%,-,-17.51%,126.72%,4.00%,703.45%,703.45%,13.64%,13.64%,-66.98%,-66.98%,29.41%,29.41%,-48.06%,-48.06%,-81.72%,-81.72%,-,Upgrade
31,Free Cash Flow,-0.99,0.8,-10,-,-2.47,-13.07,-21.38,-8.24,-8.24,-4.04,-4.04,-2.09,-2.09,0.9,0.9,0.42,0.42,0.57,0.57,-2.66,Upgrade
32,Free Cash Flow Per Share,-0.02,0.02,-0.25,-,-0.07,-0.40,-0.63,-0.25,-0.25,-0.15,-0.15,-0.07,-0.07,0.03,0.03,0.01,0.01,0.03,0.03,-0.32,Upgrade
33,Gross Margin,20.34%,19.48%,21.14%,-,31.05%,23.96%,28.63%,28.80%,28.80%,23.07%,23.07%,18.67%,18.73%,26.32%,26.32%,26.37%,26.37%,19.85%,19.85%,18.40%,Upgrade
34,Operating Margin,4.64%,1.45%,5.90%,-,18.67%,12.40%,13.69%,17.33%,17.33%,13.28%,13.28%,4.70%,6.33%,17.00%,17.00%,11.70%,11.70%,9.21%,9.21%,8.18%,Upgrade
35,Profit Margin,3.63%,4.98%,6.35%,-,13.78%,14.05%,8.94%,14.51%,14.51%,11.06%,11.06%,2.79%,2.79%,13.47%,13.47%,11.15%,11.15%,8.08%,8.08%,7.77%,Upgrade
36,Free Cash Flow Margin,-0.96%,0.85%,-9.48%,-,-2.55%,-10.02%,-21.75%,-7.41%,-7.41%,-6.41%,-6.41%,-3.43%,-3.43%,1.96%,1.96%,0.91%,0.91%,1.37%,1.37%,-7.08%,Upgrade
37,EBITDA,8.34,5.35,-,-,21.33,19.76,-,20.85,20.85,8.98,8.98,3.42,4.42,8.02,8.02,5.69,5.69,4.03,4.03,3.24,Upgrade
38,EBITDA Margin,8.10%,5.70%,-,-,22.00%,15.15%,-,18.75%,18.75%,14.27%,14.27%,5.62%,7.25%,17.54%,17.54%,12.38%,12.38%,9.64%,9.64%,8.63%,Upgrade
39,D&A For EBITDA,3.56,3.99,-,-,3.22,3.59,-,1.58,1.58,0.62,0.62,0.56,0.56,0.25,0.25,0.31,0.31,0.18,0.18,0.17,Upgrade
40,EBIT,4.78,1.36,6.23,-,18.11,16.17,13.46,19.27,19.27,8.36,8.36,2.86,3.86,7.77,7.77,5.38,5.38,3.85,3.85,3.08,Upgrade
41,EBIT Margin,4.64%,1.45%,5.90%,-,18.67%,12.40%,13.69%,17.33%,17.33%,13.28%,13.28%,4.70%,6.33%,17.00%,17.00%,11.70%,11.70%,9.21%,9.21%,8.18%,Upgrade
42,Effective Tax Rate,-,-,5.73%,-,9.87%,11.04%,11.04%,13.30%,13.30%,15.18%,15.18%,23.58%,23.58%,15.04%,15.04%,13.00%,13.00%,15.10%,15.10%,17.95%,Upgrade
43,Revenue as Reported,103.06,93.87,105.56,-,96.97,130.44,98.31,-,-,62.97,62.97,60.94,60.94,45.7,45.7,46,46,41.77,41.77,37.6,Upgrade
