,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2021,Q1 2021,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,+3 Quarters
18,Quick Ratio,3.06,3.06,3.45,2.99,-,-,1.27,-,1.24,1.24,0.87,0.87,0.92,0.94,1.10,1.10,1.07,1.07,1.20,1.20,0.92,Upgrade
19,Current Ratio,3.71,3.71,4.10,3.46,-,-,1.82,-,1.78,1.78,1.67,1.67,1.56,1.56,1.81,1.81,1.57,1.57,1.50,1.50,1.23,Upgrade
20,Return on Equity (ROE),2.01%,2.47%,-,-,-,-,-,23.68%,-,34.50%,37.76%,10.16%,10.79%,41.68%,46.53%,43.86%,49.26%,36.98%,47.52%,57.48%,Upgrade,
21,Return on Assets (ROA),1.16%,0.32%,-,-,-,-,-,9.33%,-,11.45%,11.95%,4.28%,6.64%,15.80%,16.07%,11.33%,12.37%,9.73%,10.03%,8.28%,Upgrade,
22,Return on Capital (ROIC),1.38%,0.38%,-,-,-,-,-,14.09%,-,23.62%,26.92%,10.72%,15.32%,32.87%,34.56%,25.24%,26.96%,20.67%,25.69%,27.16%,Upgrade,
23,Return on Capital Employed (ROCE),3.00%,1.46%,2.98%,4.59%,-,-,13.68%,-,16.97%,11.93%,29.02%,28.29%,33.30%,37.06%,44.47%,37.84%,39.41%,34.49%,37.85%,33.22%,51.30%,Upgrade
24,Earnings Yield,1.12%,0.58%,0.66%,1.54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
25,FCF Yield,-0.65%,-0.39%,-0.31%,-1.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Payout Ratio,126.26%,-,792.59%,-,-,7.21%,4.51%,9.02%,1.01%,1.01%,1.05%,1.05%,-,-,-,-,-,-,-,-,-,Upgrade
27,Buyback Yield / Dilution,-22.77%,-35.59%,-38.67%,-16.76%,-,-0.42%,-16.05%,-21.30%,-18.32%,-18.32%,0.50%,0.50%,-0.21%,-0.21%,-40.92%,-40.92%,-238.10%,-238.10%,-832.66%,-832.66%,-,Upgrade
28,Total Shareholder Return,-21.44%,-35.59%,-38.67%,-16.76%,-,-0.42%,-16.05%,-21.30%,-18.32%,-18.32%,0.50%,0.50%,-0.21%,-0.21%,-40.92%,-40.92%,-238.10%,-238.10%,-832.66%,-832.66%,-,Upgrade
