,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
17,Debt / FCF Ratio,-,-,-,6.32,-,-3.00,-,-,-,-,-3.20,-,-,-1.28,-,-,-,2.28,-,-,27.89
18,Asset Turnover,-,0.29,0.42,0.39,0.33,0.44,0.28,0.58,0.29,0.58,0.48,0.58,0.68,0.56,-,-,-,-,-,-,
19,Inventory Turnover,-,-,0.63,1.22,1.05,1.21,1.33,0.91,1.46,0.93,0.97,0.93,1.02,1.27,0.87,-,-,-,-,-,-
20,Quick Ratio,-,-,0.81,0.87,0.97,1.02,1.18,1.18,1.18,1.24,1.24,1.10,1.11,1.02,0.99,1.14,-,0.98,-,-,-
21,Current Ratio,-,-,1.52,1.49,1.60,1.67,1.73,1.76,1.71,1.87,1.87,1.79,1.86,1.78,1.78,1.89,-,1.61,-,-,-
22,Return on Equity (ROE),-6.08%,0.53%,9.97%,7.75%,0.75%,3.05%,-4.51%,16.61%,-1.15%,25.40%,15.21%,21.88%,24.59%,19.87%,28.80%,26.80%,-,-,-,-,
23,Return on Assets (ROA),-,2.61%,3.42%,3.95%,-2.39%,3.30%,-1.21%,7.57%,-5.73%,14.94%,3.84%,9.59%,4.99%,9.99%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-9.49%,3.47%,4.44%,4.91%,-2.90%,3.93%,-1.42%,9.03%,-7.29%,20.51%,5.62%,15.14%,8.29%,16.84%,16.68%,19.12%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,5.55%,5.95%,2.61%,-,2.73%,-,14.33%,-,23.11%,19.79%,21.56%,19.78%,19.50%,16.32%,-,18.34%,-,-,-
26,Earnings Yield,0.89%,0.94%,1.25%,1.56%,0.44%,0.57%,0.63%,0.90%,1.42%,2.11%,2.40%,2.19%,2.78%,1.88%,1.37%,1.14%,-,-,-,-,-
27,FCF Yield,-,1.51%,2.24%,-0.62%,-2.28%,-4.78%,-2.49%,-3.14%,-3.37%,-1.29%,-2.46%,-2.97%,-1.32%,-1.16%,-0.32%,-,-,-,-,-,
28,Dividend Yield,0.41%,-,-,-,-,0.19%,-,-,-,0.32%,-,-,-,0.42%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,583.62%,16.93%,21.44%,159.40%,305.83%,-,9.98%,-,64.02%,6.63%,3.06%,3.42%,1.89%,2.42%,4.15%,4.79%,7.21%,7.55%,7.55%
30,Buyback Yield / Dilution,-0.26%,-0.96%,-1.22%,2.09%,-0.99%,-1.51%,1.61%,-1.94%,0.42%,1.15%,-0.81%,-8.50%,-33.33%,-32.85%,-34.73%,-20.23%,0.27%,-,-,-,-
31,Total Shareholder Return,0.15%,-0.96%,-1.22%,2.09%,-0.99%,-1.32%,1.61%,-1.94%,0.42%,1.47%,-0.81%,-8.50%,-33.33%,-32.43%,-34.73%,-20.23%,0.27%,-,-,-,-
