,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
11,Total Current Assets,783.63,742.08,571.55,638.9,684.15,765.98,768.28,844.42,1066,1081,641.47,720.67,-,-,-
12,"Property, Plant & Equipment",121.59,92.4,89.68,92.08,94.09,87.06,87.37,83.96,76.6,38.28,18.85,17.88,-,-,-
13,Long-Term Investments,-,-,-,281.8,-,-,-,235.29,-,-,-,-,-,-,-
14,Goodwill,-,-,-,-,1.79,1.79,1.79,1.79,1.79,1.79,-,-,-,-,-
15,Other Intangible Assets,11.55,11.62,11.69,11.75,11.82,11.88,11.88,12.04,12.1,12.17,12.24,12.3,-,-,-
16,Long-Term Accounts Receivable,-,-,-,208.62,180.63,366.29,170.37,180.27,149.83,188.99,150.93,151.46,-,-,-
17,Long-Term Deferred Tax Assets,32.96,32.63,27.73,26.47,21.9,20.67,14.01,19.91,11.17,10.48,8.58,8.64,-,-,-
18,Long-Term Deferred Charges,7.26,5.45,5.54,5.77,5.92,6.12,6.15,6.34,3.4,-,-,-,-,-,-
19,Other Long-Term Assets,543.81,557.68,682.99,178.93,470.01,236.8,444.31,170.89,122.35,-,-,-,-,-,-
20,Total Assets,1501,1442,1389,1444,1470,1497,1504,1555,1443,1333,832.06,910.95,-,-,-
21,Accounts Payable,299.98,277.47,269.78,330.66,333.87,394.16,400.77,427.05,369.34,316.58,267.43,392.22,-,-,-
22,Accrued Expenses,2.34,2.37,2.02,5.7,2.28,2.24,2.29,7.4,2.74,3.76,3.09,12.77,-,-,-
23,Short-Term Debt,10,-,-,-,-,-,-,20,-,-,19.48,5,-,-,-
24,Current Portion of Long-Term Debt,21.46,9.27,14.17,9.35,12.44,7.09,11,6.8,9.29,6,6,6,-,-,-
25,Current Portion of Leases,-,5.05,-,4.76,-,4.7,-,3.74,-,-,-,-,-,-,-
26,Current Income Taxes Payable,0.88,0.5,0.29,-,0.08,-,9.14,12.99,10.05,5.04,9.54,8.21,-,-,-
27,Current Unearned Revenue,30.27,39.28,6.91,4.24,1.81,1.46,1.72,1.17,1.39,1.3,1.59,1.59,-,-,-
28,Other Current Liabilities,53.38,54.09,54.11,63.33,63.23,61.11,62.97,64.71,75.78,46.58,73.51,44.75,-,-,-
29,Total Current Liabilities,418.3,388.03,347.28,418.04,413.71,470.77,487.88,543.87,468.59,379.26,380.63,470.53,-,-,-
30,Long-Term Debt,210.4,167.8,132,112,116.92,77.51,61.2,61.2,62,62,65,65,-,-,-
31,Long-Term Leases,23.83,30.42,29.07,29.96,30.93,31.67,32.41,33.09,32.25,-,-,-,-,-,-
32,Long-Term Unearned Revenue,0.05,0.05,0.11,0.11,0.11,1.11,1.11,1.11,1.05,1.05,1,1,-,-,-
33,Long-Term Deferred Tax Liabilities,5.45,6.3,7.38,7.06,7.04,6.6,1.44,6.59,-,-,-,-,-,-,-
34,Total Liabilities,658.03,592.6,515.85,567.17,568.72,587.67,584.05,645.85,563.89,442.31,446.63,536.53,-,-,-
35,Common Stock,156,156,156,156,156,156,120,120,120,120,90,90,-,-,-
36,Additional Paid-In Capital,437.66,437.66,437.66,437.66,440.6,440.6,476.6,476.6,476.6,476.6,15.01,15.01,-,-,-
37,Retained Earnings,233.54,239.9,263.14,267.07,291.75,297.66,308.89,298.23,269.18,281.65,271.64,260.27,-,-,-
38,Comprehensive Income & Other,4.57,4.62,5.28,5.24,5.35,6.63,6.29,5.95,5.07,4.14,3.26,3.76,-,-,-
39,Total Common Equity,831.77,838.18,862.08,865.98,893.7,900.89,911.78,900.78,870.85,882.39,379.92,369.04,-,-,297.98
40,Minority Interest,11.01,11.09,11.24,11.17,7.88,8.03,8.33,8.28,8.37,8.33,5.51,5.38,-,-,-
41,Shareholders' Equity,842.78,849.27,873.32,877.15,901.58,908.93,920.1,909.05,879.21,890.72,385.43,374.42,-,-,302.98
42,Total Liabilities & Equity,1501,1442,1389,1444,1470,1497,1504,1555,1443,1333,832.06,910.95,-,-,-
43,Total Debt,265.69,212.54,175.24,156.07,160.29,120.98,104.6,124.83,103.54,68,90.48,76,-,-,-
44,Net Cash (Debt),-73.43,49.74,-15.88,38.59,-28.61,18.69,45.74,64.02,313.57,390.75,-57.62,67.77,-,-,93.82
45,Net Cash Growth,-,166.16%,-,-39.72%,-,-95.22%,-,-5.53%,-,-,-,-,-,-,-
46,Net Cash Per Share,-0.47,0.32,-0.10,0.25,-0.23,0.15,0.29,0.41,2.01,2.73,-0.49,0.58,-,-,0.80
47,Filing Date Shares Outstanding,156,156,156,156,156,156,156,156,156,156,156,117,117.01,116.99,117
48,Total Common Shares Outstanding,156,156,156,156,156,156,156,156,156,156,117,117,117.01,116.99,117
49,Working Capital,365.33,354.05,224.27,220.86,270.44,295.21,280.4,300.55,597.27,702.07,260.84,250.14,-,-,-
50,Book Value Per Share,5.33,5.37,5.53,5.55,5.73,5.77,5.84,5.77,5.58,5.66,3.25,3.15,-,-,2.55
51,Tangible Book Value,820.22,826.56,850.39,854.22,880.1,887.22,898.11,886.95,856.96,868.43,367.68,356.74,-,-,285.41
52,Tangible Book Value Per Share,5.26,5.30,5.45,5.48,5.64,5.69,5.76,5.69,5.49,5.57,3.14,3.05,-,-,2.44
53,Buildings,-,43.72,-,43.82,-,36.73,-,34.71,-,19.94,16.76,-,-,-,-
54,Machinery,-,26.06,-,21.88,-,12.6,-,11.99,-,10.53,5.88,5.88,-,-,-
55,Construction In Progress,-,1.35,-,1.22,-,11.38,-,6.25,-,12.54,-,15.56,-,-,-
