,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
15,Other Long-Term Assets,36.17,33.24,26.09,-,-,7.13,-,-,-,0.78,0.78,0.16,0.16,0.74,0.74,-,-
16,Total Assets,1411,1347,1365,-,-,676.03,-,135.12,135.12,123.74,123.74,83.81,83.81,70.19,70.19,-,-
17,Accounts Payable,75.86,53.3,69.22,-,-,28.11,-,16.88,16.88,7.54,7.54,8.45,8.45,5.15,5.15,-,-
18,Accrued Expenses,20.83,18.06,17.12,-,-,11.48,-,8.59,8.59,7.91,7.91,2.09,2.09,4.96,4.96,-,-
19,Short-Term Debt,-,-,22.5,-,-,10.5,-,6.9,6.9,6,6,-,-,-,-,-,-
20,Current Portion of Leases,9.19,10.1,5.51,-,-,9.25,-,-,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,10.74,5.84,15.89,-,-,4.26,-,3.57,3.57,4.25,4.25,1.53,1.53,2.4,2.4,-,-
22,Current Unearned Revenue,2.87,3.54,3.23,-,-,3.88,-,0.46,0.46,0.46,0.46,-,-,0.4,0.4,-,-
23,Other Current Liabilities,24.46,11.73,31.68,-,-,38.62,-,2.85,2.85,0.73,0.73,2.51,2.51,2.71,2.71,-,-
24,Total Current Liabilities,143.94,102.58,165.16,-,-,106.11,-,39.25,39.25,26.89,26.89,14.58,14.58,15.62,15.62,-,-
25,Long-Term Debt,-,-,14.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,42.09,45.36,2.43,-,-,5.25,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,1.81,2.03,2.25,-,-,0.97,-,3.32,3.32,3.44,3.44,1.04,1.04,0.9,0.9,-,-
28,Long-Term Deferred Tax Liabilities,15.09,12.12,3.07,-,-,4.76,-,-,-,-,-,-,-,-,-,-,-
29,Total Liabilities,202.94,162.09,187.74,-,-,117.08,-,42.57,42.57,30.32,30.32,15.62,15.62,16.52,16.52,-,-
30,Common Stock,56,56,40,-,-,30,-,21.18,21.18,21.18,21.18,20,20,20,20,-,-
31,Additional Paid-In Capital,515.9,515.78,531.68,-,-,57.27,-,29.35,29.35,29.35,29.35,20.78,20.78,20.78,20.78,-,-
32,Retained Earnings,636.56,612.65,605.89,-,-,471.68,-,42.02,42.02,42.88,42.88,27.41,27.41,12.88,12.88,-,-
33,Shareholders' Equity,1208,1184,1178,-,-,558.94,507.66,92.55,92.55,93.41,93.41,68.19,68.19,53.66,53.66,-,26.87
34,Total Liabilities & Equity,1411,1347,1365,-,-,676.03,-,135.12,135.12,123.74,123.74,83.81,83.81,70.19,70.19,-,-
35,Total Debt,51.28,55.47,45.28,-,-,25.01,18.25,6.9,6.9,6,6,-,-,-,-,-,-
36,Net Cash (Debt),392.77,424.68,583.67,-,-,56.39,35.02,18.64,18.64,34.05,34.05,19.73,19.73,16.1,16.1,-,10.12
37,Net Cash Growth,-,653.16%,1566.56%,-,-,65.61%,2.86%,-5.52%,-5.52%,111.43%,111.43%,-,94.89%,-,-,-,-
38,Net Cash Per Share,7.01,7.08,13.90,-,-,1.34,0.83,0.63,0.63,1.20,1.20,0.71,0.71,0.79,0.79,-,0.36
39,Filing Date Shares Outstanding,56,56,56,-,42,42,42,29.65,29.65,29.65,29.65,28,28,20.51,20.51,28.41,28.41
40,Total Common Shares Outstanding,56,56,56,-,42,42,42,29.65,29.65,29.65,29.65,28,28,20.51,20.51,28.41,28.41
41,Working Capital,798.64,827.4,861.26,-,-,288.29,-,79.82,79.82,83.33,83.33,58.17,58.17,44.69,44.69,-,-
42,Book Value Per Share,21.58,21.15,21.03,-,-,13.31,12.09,3.12,3.12,3.15,3.15,2.44,2.44,2.62,2.62,-,0.96
43,Tangible Book Value,1159,1166,1160,-,-,541.34,490.12,92.38,92.38,93.3,93.3,67.99,67.99,53.41,53.41,-,26.57
44,Tangible Book Value Per Share,20.69,20.82,20.72,-,-,12.89,11.67,3.12,3.12,3.15,3.15,2.43,2.43,2.60,2.60,-,0.95
45,Buildings,-,109.53,-,-,-,109.53,-,-,-,-,-,-,-,-,-,-,-
46,Machinery,-,158.84,-,-,-,137.8,-,23.65,23.65,19.35,19.35,16.26,16.26,14.34,14.34,-,-
47,Construction In Progress,-,116.59,-,-,-,50.28,-,-,-,-,-,-,-,-,-,-,-
