,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
19,Return on Assets (ROA),12.10%,7.46%,-,7.03%,7.62%,3.64%,1.66%,3.05%,4.33%,7.77%,7.03%,8.19%,9.97%,7.06%,2.98%,7.57%,8.84%,-,-,-,
20,Return on Capital (ROIC),13.87%,8.56%,-,8.38%,8.96%,4.25%,1.95%,3.61%,5.11%,9.20%,8.39%,9.68%,11.46%,7.93%,3.38%,8.98%,11.21%,18.46%,3.33%,-,
21,Return on Capital Employed (ROCE),9.45%,12.66%,11.09%,9.20%,9.72%,7.71%,6.16%,7.83%,10.44%,12.57%,15.02%,13.94%,12.40%,11.41%,9.50%,9.38%,8.82%,19.15%,15.34%,-,7.52%
22,Earnings Yield,5.36%,7.34%,7.78%,5.65%,4.78%,4.04%,3.18%,3.88%,5.13%,5.83%,7.53%,6.73%,5.72%,3.76%,4.69%,3.52%,3.06%,-,-,-,-
23,Earnings Yield,5.36%,7.34%,7.78%,5.65%,4.78%,4.04%,3.18%,3.88%,5.13%,5.83%,7.53%,6.73%,5.72%,3.76%,4.69%,3.52%,3.06%,-,-,-,-
24,FCF Yield,3.12%,3.66%,2.86%,1.72%,2.79%,0.60%,-2.26%,-3.50%,-3.14%,-4.45%,-4.05%,-2.55%,-2.69%,-0.47%,-1.66%,-0.41%,0.54%,-,-,-,-
25,Dividend Yield,2.00%,-,-,-,-,-,-,-,-,-,-,-,3.20%,-,-,-,2.64%,-,-,-,-
26,Payout Ratio,43.47%,-,96.12%,134.00%,1.10%,-,206.50%,17.56%,65.47%,6.83%,167.17%,3.07%,3.38%,2.10%,215.17%,4.02%,4.39%,3.17%,3.82%,16.70%,43.04%
27,Buyback Yield / Dilution,-0.01%,0.90%,0.07%,0.20%,-0.04%,0.02%,-2.50%,0.05%,0.02%,-0.06%,0.02%,0.03%,-9.08%,-33.41%,-33.31%,-33.31%,-24.17%,-,-,-,-
28,Total Shareholder Return,1.99%,0.90%,0.07%,0.20%,-0.04%,0.02%,-2.50%,0.05%,0.02%,-0.06%,0.02%,0.03%,-5.87%,-33.41%,-33.31%,-33.31%,-21.54%,-,-,-,-
