,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
9,Operating Expenses,21.35,21.31,20.79,24.31,21.28,23.35,19.14,25.1,21.3,16.41,13.53,17.42,15.14,28.7,-,19.13,19.13,-
10,Operating Income,28.41,-12.33,-0.2,-12.37,8.94,15.75,12.07,7.22,13.01,17.16,36.6,23.8,23.64,29.29,13.37,20.27,20.27,19.04
11,Interest Expense,-0.65,-0.3,-0.29,-0.34,-0.32,-0.23,-0.17,-0.38,-0.34,-0.04,-0.04,-0.59,-0.05,-0.11,-,-0.06,-0.06,-
12,Interest & Investment Income,3.07,4.43,1.93,2.06,3.84,2.99,4.87,2.14,1.84,1.34,1.02,-,0.69,3.81,-,0.73,0.73,-
13,Currency Exchange Gain (Loss),11.84,-11.84,-,-8.35,8.54,-8.54,-,-1.73,5.23,-5.23,-,-0.25,0.88,-0.88,-,1.2,1.2,-
14,Other Non Operating Income (Expenses),-3.86,6.05,-6.18,12.43,-10.6,12.17,-1.2,4.48,-5.59,0.86,-0.56,-1.38,-0.68,-0.1,1.36,-0.52,-0.52,0.04
15,EBT Excluding Unusual Items,38.8,-13.99,-4.75,-6.56,10.41,22.15,15.57,11.74,14.15,14.09,37.01,21.57,24.48,32,14.73,21.63,21.63,19.08
16,Gain (Loss) on Sale of Investments,3.29,-1.88,-1.34,1.52,0.03,1.84,4.63,0.18,3.16,0.1,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.96,-0.93,-,0.01,0.17,-0.03,-0,-,0.18,-0.18,-,-,0.13,3.45,-,-0,-0,-
18,Asset Writedown,-10.14,0.34,-0.34,-1.62,0.36,0.04,-0.04,0.55,-1.06,0.35,-0.35,-14.7,14.57,-,-,-0,-0,-
19,Other Unusual Items,-0.59,0.92,-0.33,-3.86,-1,1,-,3.63,0.85,-0.85,-,2.42,-,-,-,1.4,1.4,-
20,Pretax Income,32.31,-15.53,-6.76,-10.51,9.95,25.03,20.16,16.19,17.28,13.51,36.66,9.29,39.18,35.46,14.73,23.04,23.04,19.08
21,Income Tax Expense,8.4,-1.45,1.28,-7.09,2.79,7.39,2.18,-0.76,3.77,1.35,12.78,2.09,4.15,7.05,3.27,7.13,7.13,5.36
22,Earnings From Continuing Operations,23.91,-14.08,-8.03,-3.43,7.16,17.64,17.97,16.95,13.51,12.16,23.88,7.21,35.03,28.41,11.46,15.91,15.91,13.72
23,Minority Interest in Earnings,2.31,3.52,0.98,2.94,0.3,0.1,-0.28,-0.16,-0.12,-0.08,-1.08,-0,-0.89,-0.48,-0.06,-0.34,-0.34,-0.39
24,Net Income,26.22,-10.55,-7.05,-0.48,7.47,17.74,17.69,16.79,13.39,12.08,22.8,7.21,34.14,27.93,11.4,15.56,15.56,13.33
25,Net Income to Common,26.22,-10.55,-7.05,-0.48,7.47,17.74,17.69,16.79,13.39,12.08,22.8,7.21,34.14,27.93,11.4,15.56,15.56,13.33
26,Net Income Growth,251.19%,-,-,-,-44.24%,46.85%,-22.41%,133.03%,-60.77%,-56.75%,100.04%,-53.70%,119.35%,109.56%,-,-,-,-
27,Shares Outstanding (Basic),103,103,118,116,109,111,111,115,107,85,81,82,84,83,83,83,83,-
28,Shares Outstanding (Diluted),103,103,118,116,109,111,111,115,107,85,81,82,84,83,83,83,83,-
29,Shares Change (YoY),-5.11%,-7.48%,6.26%,1.12%,1.30%,30.94%,35.79%,41.12%,27.89%,2.37%,-1.52%,-1.29%,1.30%,-,-,-,-,-
30,EPS (Basic),0.25,-0.10,-0.06,-0.00,0.07,0.16,0.16,0.15,0.12,0.14,0.28,0.09,0.41,0.34,0.14,0.19,0.19,-
31,EPS (Diluted),0.25,-0.10,-0.06,-0.00,0.07,0.16,0.16,0.15,0.12,0.14,0.28,0.09,0.41,0.34,0.14,0.19,0.19,-
32,EPS Growth,270.11%,-,-,-,-44.96%,12.16%,-42.86%,65.14%,-69.33%,-57.75%,103.14%,-53.10%,116.54%,-,-,-,-,-
33,Free Cash Flow,-10.42,19.3,-51.27,14.9,-29.62,8.07,-21.83,35.23,-35.76,-18.77,-37.28,-10.74,16.81,-,-,42.25,42.25,-
34,Free Cash Flow Per Share,-0.10,0.19,-0.44,0.13,-0.27,0.07,-0.20,0.31,-0.33,-0.22,-0.46,-0.13,0.20,-,-,0.51,0.51,-
35,Dividend Per Share,-,-,-,0.120,-,-,-,0.180,-,0.363,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,18.22%,10.40%,27.82%,9.35%,28.47%,28.63%,24.43%,23.45%,28.81%,28.54%,28.59%,39.92%,27.78%,31.73%,14.60%,23.25%,23.25%,18.56%
38,Operating Margin,10.40%,-14.27%,-0.27%,-9.69%,8.42%,11.53%,9.45%,5.24%,10.92%,14.58%,20.88%,23.05%,16.94%,16.02%,14.60%,11.96%,11.96%,18.56%
39,Profit Margin,9.60%,-12.22%,-9.53%,-0.38%,7.03%,12.98%,13.85%,12.18%,11.25%,10.27%,13.01%,6.98%,24.46%,15.28%,12.45%,9.18%,9.18%,12.99%
40,Free Cash Flow Margin,-3.82%,22.34%,-69.29%,11.66%,-27.90%,5.91%,-17.09%,25.56%,-30.03%,-15.96%,-21.26%,-10.40%,12.05%,-,-,24.94%,24.94%,-
41,EBITDA,31.2,-7.27,2.6,-9.57,10.46,18.23,13.58,8.73,14.6,18.58,38.19,25.39,25.27,30.93,14.99,21.85,21.85,20.6
42,EBITDA Margin,11.43%,-8.41%,3.51%,-7.50%,9.85%,13.35%,10.64%,6.33%,12.26%,15.79%,21.78%,24.59%,18.10%,16.92%,16.38%,12.89%,12.89%,20.08%
43,D&A For EBITDA,2.8,5.06,2.8,2.8,1.51,2.48,1.51,1.51,1.59,1.42,1.59,1.59,1.62,1.64,1.62,1.57,1.57,1.56
44,EBIT,28.41,-12.33,-0.2,-12.37,8.94,15.75,12.07,7.22,13.01,17.16,36.6,23.8,23.64,29.29,13.37,20.27,20.27,19.04
45,EBIT Margin,10.40%,-14.27%,-0.27%,-9.69%,8.42%,11.53%,9.45%,5.24%,10.92%,14.58%,20.88%,23.05%,16.94%,16.02%,14.60%,11.96%,11.96%,18.56%
46,Effective Tax Rate,25.99%,-,-,-,28.04%,29.52%,10.83%,-,21.80%,10.00%,34.86%,22.46%,10.58%,19.88%,22.21%,30.95%,30.95%,28.09%
47,Revenue as Reported,273.06,86.4,74,127.72,106.15,136.6,127.72,137.8,119.07,117.63,175.33,103.26,139.58,274.31,-,-,-,-
