,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
10,EV/Sales Ratio,4.45,3.36,4.29,4.40,5.11,5.27,6.18,6.15,4.64,4.80,10.64,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,128.40,111.35,-,89.97,-,52.54,58.45,55.66,31.84,25.58,53.09,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,704.41,538.60,-,-,-,60.93,67.09,62.45,34.47,27.33,56.36,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-90.75,-,-36.21,-,-89.34,-,-225.60,-,-45.07,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,0.02,0.02,0.03,0.01,0.03,0.01,0.04,0.03,0.02,0.02,-,0.03,0.02,0.02,0.02,0.06
15,Debt / EBITDA Ratio,3.18,0.49,-,2.82,-,0.93,0.21,0.60,0.39,0.74,0.55,0.08,0.11,-,0.11,0.18,0.12,0.12,0.29
16,Debt / FCF Ratio,-,-,-1.26,-,-0.99,-,-1.09,-,-0.27,-,-,-,-,-,-,-,0.13,0.26,-
17,Asset Turnover,0.68,0.21,0.18,0.31,0.26,0.33,0.31,0.34,0.31,-,-,-,-,-,-,0.85,-,-,
18,Inventory Turnover,1.42,2.59,0.79,0.56,1.23,0.82,1.08,1.07,1.29,1.18,-,-,-,-,-,-,2.20,-,-
19,Quick Ratio,2.55,2.55,2.16,2.42,2.46,2.46,2.33,2.19,2.37,2.80,3.28,-,0.98,-,1.26,-,1.32,1.32,-
20,Current Ratio,4.28,4.28,3.18,3.70,3.49,3.55,3.33,3.12,3.36,3.73,4.24,-,1.88,-,2.21,-,2.09,2.09,-
21,Return on Equity (ROE),7.81%,-4.62%,-2.58%,-1.10%,2.31%,5.72%,5.88%,5.64%,4.50%,5.65%,18.74%,-,-,24.52%,10.19%,14.14%,-,-,
22,Return on Assets (ROA),4.42%,-1.90%,-0.03%,-1.88%,1.36%,2.36%,1.81%,1.12%,2.09%,-,-,-,-,-,-,6.35%,-,-,
23,Return on Capital (ROIC),5.53%,-2.44%,-0.04%,-2.42%,1.77%,3.13%,2.42%,1.46%,2.61%,4.83%,17.55%,-,-,15.39%,7.25%,11.00%,-,-,
24,Return on Capital Employed (ROCE),0.21%,0.27%,-,-,-,3.47%,3.83%,3.97%,6.01%,7.52%,8.25%,-,17.14%,-,16.78%,-,12.75%,8.41%,-
25,Earnings Yield,0.27%,0.31%,-0.44%,0.65%,1.28%,1.71%,1.63%,1.51%,1.90%,1.63%,1.27%,-,-,-,-,-,-,-,-
26,FCF Yield,-0.90%,-1.04%,-1.95%,-2.13%,-0.86%,-0.23%,-0.35%,-1.04%,-1.65%,-3.02%,-0.83%,-,-,-,-,-,-,-,-
27,Dividend Yield,0.42%,-,-,-,0.40%,-,-,-,1.77%,-,0.68%,-,-,-,-,-,-,-,-
28,Payout Ratio,172.93%,1.68%,-,-,-,22.67%,104.15%,0.75%,163.11%,100.54%,-,0.03%,0.16%,0.03%,-,-,0.23%,0.23%,-
29,Buyback Yield / Dilution,1.26%,5.11%,7.48%,-6.26%,-1.12%,-1.30%,-30.94%,-35.79%,-41.12%,-27.89%,-2.37%,1.52%,1.29%,-1.30%,-,-,-,-,-
30,Total Shareholder Return,1.68%,5.11%,7.48%,-6.26%,-0.72%,-1.30%,-30.94%,-35.79%,-39.35%,-27.89%,-1.69%,1.52%,1.29%,-1.30%,-,-,-,-,-
