,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
17,Long-Term Deferred Charges,2.56,2.88,3.38,3.14,1.87,1.51,1.06,1.18,4.68,3.41,-,3.46,-,3.51,-,3.56,3.56,-
18,Other Long-Term Assets,11.6,8.04,8.12,8.49,72.57,76.72,71.54,20.78,4.6,9.95,-,6.45,-,0.59,-,3.92,3.92,-
19,Total Assets,1565,1645,1607,1662,1631,1651,1685,1643,1571,1543,-,901.32,-,799.99,-,797.94,797.94,-
20,Accounts Payable,77.99,79.5,56.99,60.11,52.49,67.66,72.89,81.36,61.98,62.97,-,75.54,-,87.43,-,44.75,44.75,-
21,Accrued Expenses,18.03,20.55,12.08,25.03,15.32,22.03,7.6,27.43,13.79,31.05,-,26.82,-,20.41,-,28.72,28.72,-
22,Short-Term Debt,31.37,31.51,4.86,4.86,17.96,7.23,24.87,6.98,34.97,33.05,-,-,-,-,-,-,-,-
23,Current Portion of Long-Term Debt,9.82,4.47,-,-,1.98,0.25,1.44,1.05,2.25,1.47,-,1.66,-,1.75,-,1.9,1.9,-
24,Current Portion of Leases,-,3.57,8.2,2.34,-,1.46,-,0.94,-,0.92,-,1.08,-,1.16,-,0.58,0.58,-
25,Current Income Taxes Payable,17.22,12.47,15.93,15.08,21.74,15.72,19.24,20.34,25.96,18.16,-,25.66,-,20.2,-,25.97,25.97,-
26,Current Unearned Revenue,115.77,233.66,218.15,253.36,236.08,256.61,298.65,250.95,189.86,156.69,-,206.37,-,158.18,-,216.37,216.37,-
27,Other Current Liabilities,18.77,29.62,29.4,19.4,17.29,25.57,15.95,22.26,37.52,12.89,-,38.46,-,14.99,-,12.17,12.17,-
28,Total Current Liabilities,288.96,415.35,345.61,380.18,362.86,396.52,440.64,411.3,366.33,317.19,-,375.59,-,304.12,-,330.46,330.46,-
29,Long-Term Debt,0.46,-,-,5.02,4.84,-,-,-,-,0.25,-,1.11,-,2.04,-,3.16,3.16,-
30,Long-Term Leases,20.08,19.27,16.19,16.02,14.01,6.61,6.39,6.56,6.25,6.42,-,7.68,-,8.61,-,5.28,5.28,-
31,Long-Term Unearned Revenue,0.44,0.46,0.53,0.59,0.65,0.71,0.77,0.84,0.9,0.96,-,1.08,-,1.16,-,1.25,1.25,-
32,Long-Term Deferred Tax Liabilities,3.93,2.54,2.77,2.95,3.92,4.43,2.65,3.28,2.38,2.16,-,1.03,-,1.55,-,1.63,1.63,-
33,Other Long-Term Liabilities,-,-,-,-,-,-,5.09,-,4.67,4.66,-,-,-,5.64,-,6.27,6.27,-
34,Total Liabilities,318.78,441.91,370.21,409.86,391.34,413.44,455.54,426.97,380.52,331.64,-,391.58,-,323.13,-,348.05,348.05,-
35,Common Stock,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,-,82.7,-,82.7,-,82.7,82.7,-
36,Additional Paid-In Capital,719.71,719.31,719.23,718.7,715.23,715.23,715.23,715.23,715.23,715.23,-,63.88,-,63.88,-,63.88,63.88,-
37,Retained Earnings,432.82,403.03,426.82,435.04,434.35,426.89,429,411.31,394.52,421.12,-,386.24,-,344.9,-,305.57,305.57,-
38,Comprehensive Income & Other,-36.79,-47.49,-41.66,-35.41,-40.37,-34.64,-34.54,-30.88,-38.45,-44,-,-31.9,-,-22.99,-,-11.17,-11.17,-
39,Total Common Equity,1226,1185,1215,1229,1219,1218,1220,1206,1182,1203,500.92,500.92,-,468.48,440.97,440.97,440.97,379.19
40,Minority Interest,20.3,18.25,22.24,23.81,19.8,20.06,9.96,9.8,9.08,8.92,-,8.82,-,8.37,-,8.92,8.92,-
41,Shareholders' Equity,1246,1203,1237,1252,1239,1238,1230,1216,1191,1212,509.74,509.74,-,476.86,449.89,449.89,449.89,387.57
42,Total Liabilities & Equity,1565,1645,1607,1662,1631,1651,1685,1643,1571,1543,-,901.32,-,799.99,-,797.94,797.94,-
43,Total Debt,61.73,58.82,29.25,28.24,38.8,15.54,32.7,15.52,43.46,42.11,11.53,11.53,-,13.57,10.92,10.92,10.92,24.12
44,Net Cash (Debt),580.91,763.25,722.98,820.49,779.89,822.54,823.29,884.65,887.04,933.6,312.73,312.73,-,311.92,375.63,375.63,375.63,282.73
45,Net Cash Growth,-25.51%,-7.21%,-12.18%,-7.25%,-12.08%,-11.90%,163.26%,182.88%,-,199.31%,-16.74%,-16.74%,-,10.32%,-,-,-,-
46,Net Cash Per Share,5.64,7.44,6.15,7.04,7.19,7.42,7.44,7.68,8.28,11.03,3.84,3.83,-,3.77,4.54,4.54,4.54,-
47,Filing Date Shares Outstanding,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,82.7,82.7,83.77,82.7,82.7,82.7,82.7,-
48,Total Common Shares Outstanding,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,110.27,82.7,82.7,83.77,82.7,82.7,82.7,82.7,-
49,Working Capital,947.57,906.71,933.94,948.13,926.67,922.55,934.02,969.81,1002,1027,-,330.42,-,366.55,-,360.32,360.32,-
50,Book Value Per Share,11.12,10.75,11.02,11.14,11.06,11.04,11.06,10.94,10.72,10.91,6.06,6.06,-,5.66,5.33,5.33,5.33,4.59
51,Tangible Book Value,1176,1135,1164,1177,1183,1185,1187,1173,1168,1189,486.18,486.18,-,452.86,424.4,424.4,424.4,360.73
52,Tangible Book Value Per Share,10.67,10.29,10.56,10.68,10.73,10.75,10.77,10.63,10.59,10.78,5.88,5.88,-,5.48,5.13,5.13,5.13,4.36
53,Land,-,19.09,-,18.95,-,15.66,-,18.87,-,18.06,-,17.3,-,17.61,-,17.83,17.83,-
54,Buildings,-,139.79,-,143.41,-,48.49,-,43.97,-,43.02,-,42.5,-,42.57,-,46.09,46.09,-
55,Machinery,-,94.21,-,96.45,-,75.31,-,62.71,-,47.97,-,50.81,-,52.19,-,54.04,54.04,-
56,Construction In Progress,-,2.83,-,2.82,-,120.1,-,111.89,-,94.55,-,84.84,-,28.93,-,0.67,0.67,-
57,Order Backlog,-,-,-,-,-,-,-,-,-,-,-,-,-,-,581.12,-,-,-
