,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
16,Gain (Loss) on Sale of Investments,0.2,-0.2,-,-0.1,0.17,-0.08,-0.36,-0.05,0.04,-1.06,-
17,Gain (Loss) on Sale of Assets,0,0.02,-,0.01,-,-,-,-,-,-,-
18,Asset Writedown,-1.08,0.3,-0.3,1.3,-1.36,0.18,-0.19,1.15,-1.84,0.82,-0.82
19,Other Unusual Items,-6.11,5.84,0.21,18.47,-1.45,1.45,-,12.14,0.22,-0.22,-
20,Pretax Income,15.43,44.08,16.57,16.56,25,55.35,19.21,44.28,28.99,52.58,16.05
21,Income Tax Expense,1.23,4.11,1.13,0.96,3.11,6.24,3.89,5.54,3.25,5.88,1.7
22,Earnings From Continuing Operations,14.2,39.97,15.44,15.6,21.89,49.11,15.33,38.74,25.74,46.7,14.35
23,Minority Interest in Earnings,-1.69,-2.22,-1.54,-1.41,-1.67,-1.62,-0.58,-1.59,-1.08,-1.51,-0.61
24,Net Income,12.51,37.76,13.9,14.19,20.22,47.49,14.75,37.15,24.66,45.19,13.75
25,Net Income to Common,12.51,37.76,13.9,14.19,20.22,47.49,14.75,37.15,24.66,45.19,13.75
26,Net Income Growth,-38.16%,-20.49%,-5.75%,-61.79%,-17.99%,5.07%,7.30%,-,-,-,-
27,Shares Outstanding (Basic),186,199,199,194,213,189,147,155,154,150,153
28,Shares Outstanding (Diluted),186,199,232,194,213,189,164,155,154,150,153
29,Shares Change (YoY),-12.83%,5.22%,41.37%,24.69%,38.76%,26.34%,7.30%,-,-,-,-
30,EPS (Basic),0.07,0.19,0.07,0.07,0.09,0.25,0.10,0.24,0.16,0.30,0.09
31,EPS (Diluted),0.07,0.19,0.06,0.07,0.09,0.25,0.09,0.24,0.16,0.30,0.09
32,EPS Growth,-29.05%,-24.44%,-33.33%,-69.36%,-40.90%,-16.84%,0%,-,-,-,-
33,Free Cash Flow,-36.38,-13.45,-58.62,28,-122.95,-49.34,-49.66,47.53,40.47,17.11,-24.52
34,Free Cash Flow Per Share,-0.20,-0.07,-0.25,0.14,-0.58,-0.26,-0.30,0.31,0.26,0.11,-0.16
35,Dividend Per Share,-,-,-,0.225,-,-,-,-,-,-,-
36,Gross Margin,32.21%,33.94%,33.31%,28.84%,33.55%,31.91%,37.90%,29.10%,36.46%,37.18%,40.45%
37,Operating Margin,11.13%,15.11%,8.70%,-3.02%,12.90%,17.65%,13.40%,11.27%,14.84%,21.04%,12.55%
38,Profit Margin,6.76%,17.10%,7.02%,5.98%,9.24%,15.69%,9.23%,12.84%,12.29%,18.71%,10.41%
39,Free Cash Flow Margin,-19.65%,-6.09%,-29.59%,11.79%,-56.16%,-16.31%,-31.08%,16.42%,20.17%,7.08%,-18.57%
40,EBITDA,24.53,37.2,21.16,-3.24,32.14,57.38,25.31,36.51,33.27,54.62,20.07
41,EBITDA Margin,13.25%,16.85%,10.68%,-1.37%,14.68%,18.96%,15.84%,12.62%,16.59%,22.61%,15.20%
42,D&A For EBITDA,3.92,3.84,3.92,3.92,3.9,3.98,3.9,3.9,3.5,3.77,3.5
43,EBIT,20.6,33.36,17.24,-7.17,28.24,53.41,21.41,32.61,29.78,50.84,16.58
44,EBIT Margin,11.13%,15.11%,8.70%,-3.02%,12.90%,17.65%,13.40%,11.27%,14.84%,21.04%,12.55%
45,Effective Tax Rate,7.97%,9.32%,6.82%,5.79%,12.44%,11.28%,20.23%,12.52%,11.22%,11.18%,10.60%
46,Revenue as Reported,185.11,220.77,198.14,237.47,218.91,302.59,159.76,289.39,200.62,241.59,132.06
