,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
38,Minority Interest,23.4,21.71,16.49,14.96,13.55,11.88,10.25,9.68,-,-,-
39,Shareholders' Equity,1414,1397,1414,1409,1379,1354,587.27,569.4,-,-,434.06
40,Total Liabilities & Equity,2076,1991,2012,2042,2014,2098,1331,1334,-,-,-
41,Total Debt,74.63,32.48,35.46,31.81,41.83,39.3,38.31,35.79,-,-,89.84
42,Net Cash (Debt),467.93,567.32,628.87,706.16,697.72,846.1,126.11,175.29,-,-,60.28
43,Net Cash Growth,-32.93%,-32.95%,398.68%,302.85%,-,-,109.19%,-,-,-,-
44,Net Cash Per Share,2.52,2.85,2.71,3.64,3.27,4.48,0.77,1.13,-,-,0.39
45,Filing Date Shares Outstanding,201.72,201.72,198.58,204,204,204,153,153,153.72,149.53,152.73
46,Total Common Shares Outstanding,201.72,201.72,198.58,204,204,204,153,153,153.72,149.53,152.73
47,Working Capital,897.97,971.07,1059,1085,1106,1127,378.6,373.11,-,-,-
48,Book Value Per Share,6.89,6.82,7.04,6.84,6.69,6.58,3.77,3.66,-,-,2.80
49,Tangible Book Value,1346,1326,1352,1345,1320,1297,532.16,512.35,-,-,417.63
50,Tangible Book Value Per Share,6.67,6.58,6.81,6.59,6.47,6.36,3.48,3.35,-,-,2.73
51,Buildings,-,110.18,-,110.18,-,110.18,-,110.18,-,-,-
52,Machinery,-,102.21,-,103.31,-,100.22,-,100.06,-,-,-
53,Construction In Progress,-,211.09,-,107.65,-,44.8,-,6.19,-,-,-
