,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
25,Long-Term Unearned Revenue,-,0.44,1.28,1.99,2.1,2.44,2.64,2.76,2.77,2.04,-,-,5.01,-,-,-
26,Long-Term Deferred Tax Liabilities,-,0.92,1.03,1.2,1.37,0.43,0.32,0.35,0.11,-,-,-,0.06,-,-,-
27,Other Long-Term Liabilities,-,39.05,0.26,39.61,40.03,38.06,38.43,38.65,39.08,-,-,-,40.29,-,0.23,0.23
28,Total Liabilities,-,491.49,453.12,507.05,621.51,401.91,412.09,397.85,513.53,305.07,-,-,561.61,-,292.37,292.37
29,Common Stock,-,480,480,480,480,480,480,480,480,480,-,-,360,-,360,360
30,Additional Paid-In Capital,-,2226,2226,2226,2226,2226,2226,2226,2226,2287,-,-,1199,-,887.4,887.4
31,Retained Earnings,-,629.25,600.4,630.5,626.88,545.63,517.06,553.71,554.56,439.38,-,-,439.25,-,308.3,308.3
32,Comprehensive Income & Other,-,-3.87,-3.82,-3.81,-3.91,-1.71,-1.65,-1.74,-1.76,-0.49,-,-,-1.71,-,-0.49,-0.49
33,Total Common Equity,3332,3332,3303,3333,3329,3250,3222,3258,3259,3206,-,1996,1996,-,1555,1555
34,Minority Interest,-,105.47,103.96,102.39,102.22,97.76,97.49,96.08,96.99,53.94,-,-,88.33,-,47.25,47.25
35,Shareholders' Equity,3437,3437,3407,3435,3432,3348,3319,3354,3356,3260,-,2085,2085,-,1602,1602
36,Total Liabilities & Equity,-,3929,3860,3942,4053,3750,3731,3752,3870,3565,-,-,2646,-,1895,1895
37,Total Debt,3.82,3.82,3.73,3.99,4.24,0.81,0.79,0.79,1.81,0.77,-,1.26,1.26,-,1.04,1.04
38,Net Cash (Debt),2428,2428,2476,2503,2541,2497,2480,2465,2497,2441,-,1267,1267,-,933.57,933.57
39,Net Cash Growth,-4.45%,-2.76%,-0.15%,1.53%,1.76%,2.28%,-,94.58%,97.13%,-,-,35.69%,-,-,-,-
40,Net Cash Per Share,5.07,5.06,5.12,5.24,5.30,5.02,5.27,5.22,5.18,6.81,-,3.52,2.75,-,3.38,3.38
41,Filing Date Shares Outstanding,478.99,480,480,480,480,480,480,480,480,480,360,360.22,360,259.25,360,360
42,Total Common Shares Outstanding,478.99,480,480,480,480,480,480,480,480,480,360,360.22,360,259.25,360,360
43,Working Capital,-,2998,3025,3074,3080,3064,3035,3067,3064,2937,-,-,1794,-,1369,1369
44,Book Value Per Share,6.94,6.94,6.88,6.94,6.94,6.77,6.71,6.79,6.79,6.68,-,5.55,5.55,-,4.32,4.32
45,Tangible Book Value,3272,3272,3255,3285,3281,3202,3173,3209,3209,3159,-,1945,1945,-,1536,1536
46,Tangible Book Value Per Share,6.82,6.82,6.78,6.84,6.83,6.67,6.61,6.69,6.69,6.58,-,5.40,5.40,-,4.27,4.27
47,Buildings,-,-,252.39,-,252.39,-,251.32,-,249.14,-,-,-,249.06,-,188.1,188.1
48,Machinery,-,-,202.13,-,202.34,-,191.11,-,191.18,-,-,-,184.64,-,37.58,37.58
49,Construction In Progress,-,-,49.07,-,18.38,-,0.28,-,3.03,-,-,-,1.96,-,6.32,6.32
