,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Earnings From Equity Investments,-2.18,0.91,0.6,0.68,2.18,1.13,1.03,0.92,1.36,0.88,1.03,0.11,0.38,0.72,-,-
14,Currency Exchange Gain (Loss),-,0.05,-0.05,-,0.11,-0.07,0.07,-,0.35,-0.16,0.16,-,-0.42,-,-,-
15,Other Non Operating Income (Expenses),-1.26,0.46,-0.53,-0.21,-1.1,-0.13,0.1,-0.28,-1.37,0.18,-0.18,0,-1.44,-0.49,-0.32,-0.32
16,EBT Excluding Unusual Items,83.99,36.38,20.62,6.45,87.1,34.47,4.16,-0.6,115.46,10.31,14.78,-20.88,134.45,-4.95,-7.8,-7.8
17,Gain (Loss) on Sale of Assets,-,0.02,-0.02,-,-0.08,-,-,-,-0.06,0.01,0,-,0.1,-,-,-
18,Asset Writedown,-0.8,0.8,-0.41,0.41,-0.44,0.44,-0.57,0.57,0.77,-0.77,0.41,-0.41,-0.33,0.33,0,0
19,Other Unusual Items,0.05,-0.81,0.76,0,4.91,-,-,-,21.89,-0.01,0.01,-,5.46,-1.64,0.82,0.82
20,Pretax Income,83.24,36.4,20.95,6.86,91.48,34.91,3.6,-0.03,138.07,9.55,15.2,-21.3,139.68,-6.27,-6.98,-6.98
21,Income Tax Expense,11.26,6.02,1.48,3.09,5.77,6.04,0.47,1.74,11.4,1.87,3.68,0.65,13.81,3.46,0.59,0.59
22,Earnings From Continuing Operations,71.98,30.38,19.47,3.77,85.72,28.87,3.13,-1.77,126.67,7.68,11.53,-21.95,125.88,-9.73,-7.57,-7.57
23,Minority Interest in Earnings,3.24,-1.53,-1.57,-0.14,-4.47,-0.3,-1.38,0.92,-6.19,-1.84,-0.38,-0.24,-11.72,1.32,-1.79,-1.79
24,Net Income,75.22,28.85,17.9,3.63,81.24,28.57,1.74,-0.85,120.48,5.84,11.14,-22.19,114.15,-8.41,-9.35,-9.35
25,Net Income to Common,75.22,28.85,17.9,3.63,81.24,28.57,1.74,-0.85,120.48,5.84,11.14,-22.19,114.15,-8.41,-9.35,-9.35
26,Net Income Growth,-7.42%,0.96%,925.73%,-,-32.56%,389.60%,-84.34%,-,5.54%,-,-,-,-,-,-,-
27,Shares Outstanding (Basic),479,480,484,477,480,498,470,472,482,358,359,360,461,259,276,276
28,Shares Outstanding (Diluted),479,480,484,477,480,498,470,472,482,358,359,360,461,259,276,276
29,Shares Change (YoY),-0.15%,-3.62%,2.86%,1.13%,-0.42%,38.88%,30.79%,31.06%,4.51%,38.23%,30.28%,30.57%,-,-,-,-
30,EPS (Basic),0.16,0.06,0.04,0.01,0.17,0.06,0.00,-0.00,0.25,0.02,0.03,-0.06,0.25,-0.03,-0.03,-0.03
31,EPS (Diluted),0.16,0.06,0.04,0.01,0.17,0.06,0.00,-0.00,0.25,0.02,0.03,-0.06,0.25,-0.03,-0.03,-0.03
32,EPS Growth,-7.27%,4.75%,897.36%,-,-32.28%,252.56%,-88.03%,-,0.99%,-,-,-,-,-,-,-
33,Free Cash Flow,-,-48.49,22.35,-38.82,78.99,-6.84,53.21,-22.66,104.89,-30.27,3.68,5.44,108.92,-57.57,-26.85,-26.85
34,Free Cash Flow Per Share,-,-0.10,0.05,-0.08,0.16,-0.01,0.11,-0.05,0.22,-0.08,0.01,0.02,0.24,-0.22,-0.10,-0.10
35,Dividend Per Share,-,-,-,-,0.100,-,-,-,0.080,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,25.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,147.78%,40.63%,36.34%,45.10%,34.61%,43.47%,37.77%,47.28%,38.47%,36.84%,40.14%,37.33%,33.99%,41.03%,36.22%,36.22%
38,Operating Margin,19.70%,11.21%,5.42%,-5.89%,13.26%,4.01%,-0.45%,-4.50%,19.59%,3.90%,6.28%,-33.99%,17.81%,-4.43%,-9.45%,-9.45%
39,Profit Margin,12.22%,13.27%,10.40%,3.60%,14.38%,18.85%,1.09%,-0.91%,24.01%,3.32%,6.88%,-32.04%,15.98%,-6.64%,-10.92%,-10.92%
40,Free Cash Flow Margin,-,-22.31%,12.98%,-38.47%,13.98%,-4.51%,33.31%,-24.37%,20.90%,-17.20%,2.27%,7.85%,15.25%,-45.45%,-31.35%,-31.35%
41,EBITDA,125.8,28.93,14.04,-1.39,79.47,11.12,3.96,0.85,103.35,12.21,14.55,-18.2,132.57,-4.27,-6.76,-6.76
42,EBITDA Margin,20.44%,13.31%,8.16%,-1.37%,14.07%,7.33%,2.48%,0.91%,20.60%,6.94%,8.99%,-26.27%,18.56%,-3.37%,-7.89%,-7.89%
43,D&A For EBITDA,4.56,4.56,4.71,4.56,4.56,5.03,4.69,5.03,5.03,5.34,4.39,5.34,5.34,1.34,1.34,1.34
44,EBIT,121.24,24.37,9.33,-5.95,74.91,6.08,-0.73,-4.19,98.32,6.87,10.16,-23.54,127.23,-5.61,-8.1,-8.1
45,EBIT Margin,19.70%,11.21%,5.42%,-5.89%,13.26%,4.01%,-0.45%,-4.50%,19.59%,3.90%,6.28%,-33.99%,17.81%,-4.43%,-9.45%,-9.45%
46,Effective Tax Rate,13.53%,16.55%,7.07%,45.01%,6.30%,17.30%,13.11%,-,8.26%,19.60%,24.19%,-,9.88%,-,-,-
47,Revenue as Reported,-,217.35,172.14,100.91,565,151.59,159.76,92.99,501.77,176,161.9,69.25,714.42,126.66,85.66,85.66
