,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
38,Shareholders' Equity,835.06,835.06,870.01,902.48,940.39,879.86,373.63,374.8,374.8,-,-,300.08
39,Total Liabilities & Equity,-,2165,1988,1959,1850,1841,1264,-,1321,-,-,-
40,Total Debt,266.81,266.81,263.41,198.17,191.4,224.97,211.9,214.63,214.63,-,-,179.42
41,Net Cash (Debt),-36.71,-36.71,-7.1,176.92,263.78,325.47,-127.04,-45.9,-45.9,-,-,75.11
42,Net Cash Per Share,-0.38,-0.38,-0.07,1.80,2.33,3.73,-2.58,-0.62,-0.63,-,-,-
43,Filing Date Shares Outstanding,95.55,96.32,96.83,97.29,97.75,97.75,97.75,74.56,73.32,73.53,-,-
44,Total Common Shares Outstanding,95.55,96.32,96.83,97.29,97.75,97.75,73.32,74.56,73.32,73.53,-,-
45,Working Capital,-,444.54,518.86,571.17,651.54,623.64,144.4,-,167.86,-,-,-
46,Book Value Per Share,8.59,8.59,8.90,9.24,9.58,8.96,5.04,5.05,5.05,-,-,4.12
47,Tangible Book Value,791.35,791.35,827.84,872.24,909.53,848.75,342.19,342.74,342.74,-,-,274.78
48,Tangible Book Value Per Share,8.22,8.22,8.55,8.97,9.30,8.68,4.67,4.67,4.67,-,-,3.75
49,Buildings,-,-,265.57,-,258.64,-,-,-,127.6,-,-,-
50,Machinery,-,-,45.3,-,40.64,-,-,-,33.88,-,-,-
51,Construction In Progress,-,-,106.14,-,54.12,-,-,-,151.44,-,-,-
