,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
24,Net Income to Common,59.24,77.57,102.31,100.45,111.11,95.21,124.74,93.44,122.99,85.77,102.4,85.49
25,Net Income Growth,-46.68%,-18.53%,-17.98%,7.50%,-9.66%,11.01%,21.83%,9.30%,-,-,-,-
26,Shares Outstanding (Basic),448,431,426,437,440,431,356,359,362,358,366,356
27,Shares Outstanding (Diluted),448,431,426,437,440,431,356,359,362,358,366,356
28,Shares Change (YoY),1.64%,-0.04%,19.70%,21.52%,21.61%,20.59%,-2.85%,0.90%,-,-,-,-
29,EPS (Basic),0.13,0.18,0.24,0.23,0.25,0.22,0.35,0.26,0.34,0.24,0.28,0.24
30,EPS (Diluted),0.13,0.18,0.24,0.23,0.25,0.22,0.35,0.26,0.34,0.24,0.28,0.24
31,EPS Growth,-47.54%,-18.49%,-31.48%,-11.54%,-25.71%,-7.95%,25.40%,8.33%,-,-,-,-
32,Free Cash Flow,-,184.63,29.22,-103.37,381.17,-29.57,-91.89,-28.96,292.77,-40.88,46.6,-26.9
33,Free Cash Flow Per Share,-,0.43,0.07,-0.24,0.87,-0.07,-0.26,-0.08,0.81,-0.11,0.13,-0.08
34,Dividend Per Share,-,-,-,-,0.400,-,-,-,-,-,-,-
35,Gross Margin,198.42%,46.56%,49.67%,47.09%,42.16%,49.47%,45.98%,49.43%,46.97%,45.39%,47.54%,48.28%
36,Operating Margin,12.49%,21.79%,24.09%,21.37%,14.52%,23.41%,22.46%,23.47%,19.46%,21.15%,26.74%,23.79%
37,Profit Margin,9.17%,20.02%,28.53%,21.42%,16.73%,21.73%,19.59%,19.99%,21.63%,18.04%,20.42%,20.22%
38,Free Cash Flow Margin,-,47.66%,8.15%,-22.04%,57.41%,-6.75%,-14.43%,-6.19%,51.49%,-8.60%,9.29%,-6.36%
39,EBITDA,87,90.78,92.9,106.57,102.77,107.66,148.1,114.58,115.68,104.45,137.96,104.51
40,EBITDA Margin,13.47%,23.43%,25.91%,22.72%,15.48%,24.58%,23.26%,24.51%,20.35%,21.97%,27.51%,24.72%
41,D&A For EBITDA,6.36,6.36,6.51,6.36,6.36,5.1,5.1,4.86,5.02,3.89,3.89,3.96
42,EBIT,80.64,84.42,86.39,100.21,96.41,102.56,143,109.72,110.66,100.56,134.08,100.55
43,EBIT Margin,12.49%,21.79%,24.09%,21.37%,14.52%,23.41%,22.46%,23.47%,19.46%,21.15%,26.74%,23.79%
44,Effective Tax Rate,-,16.02%,14.84%,16.36%,-,15.58%,14.39%,17.09%,3.45%,14.74%,15.94%,16.74%
45,Revenue as Reported,-,387.41,358.56,469,663.96,438.06,636.66,467.51,568.57,475.51,501.49,422.72
46,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,0.6
