,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
14,Debt / Equity Ratio,0.05,0.05,0.05,0.04,0.04,0.06,0.06,0.07,0.04,0.05,0.05,0.09,0.12,-,0.05,0.07,0.07,0.07,0.05,0.05
15,Debt / EBITDA Ratio,0.89,1.65,0.71,0.59,0.49,0.94,1.05,0.66,0.83,1.01,0.70,0.52,0.65,-,0.22,0.41,0.30,0.30,0.20,0.20
16,Debt / FCF Ratio,1.41,1.41,-,0.99,-1.10,-0.57,-,-,-,-,-,-,-,-,304.13,-,-,-,0.70,1.40
17,Asset Turnover,0.54,0.50,0.40,0.43,0.46,0.53,0.54,0.60,0.65,0.63,0.81,-,-,-,-,0.97,0.97,0.80,-,
18,Inventory Turnover,2.61,3.25,2.81,2.22,2.42,2.47,2.72,2.88,3.51,4.01,3.44,3.95,-,-,-,-,4.90,4.86,3.86,-
19,Quick Ratio,2.23,2.23,2.19,2.98,2.52,2.42,1.87,1.76,1.88,2.58,2.76,1.22,1.34,-,1.53,-,1.58,1.58,1.44,1.44
20,Current Ratio,3.22,3.22,3.25,4.28,3.62,3.35,2.80,2.53,2.57,3.46,3.55,1.86,1.87,-,2.13,-,2.13,2.13,1.92,1.92
21,Return on Equity (ROE),0.16%,2.90%,3.80%,4.49%,2.79%,4.36%,6.14%,5.24%,3.04%,6.38%,10.26%,-,-,12.52%,11.25%,14.24%,14.72%,15.54%,-,
22,Return on Assets (ROA),-0.08%,1.47%,1.65%,1.96%,1.45%,1.01%,3.14%,0.90%,1.01%,2.35%,5.22%,-,-,-,-,7.45%,7.48%,6.56%,-,
23,Return on Capital (ROIC),-0.09%,1.66%,1.87%,2.27%,1.73%,1.27%,4.08%,1.14%,1.23%,3.00%,7.26%,-,-,9.71%,6.56%,10.23%,10.69%,9.77%,-,
24,Return on Capital Employed (ROCE),2.25%,-,3.10%,2.90%,3.81%,3.38%,3.19%,3.61%,3.68%,4.95%,5.77%,12.26%,11.82%,-,14.58%,-,15.96%,11.70%,7.92%,3.96%
25,Earnings Yield,1.65%,1.78%,2.34%,2.48%,2.21%,2.13%,1.99%,2.22%,2.38%,2.24%,1.97%,-,-,-,-,-,-,-,-,-
26,FCF Yield,2.21%,2.38%,4.81%,2.51%,-1.65%,-4.54%,-9.35%,-9.27%,-8.58%,-6.82%,-2.74%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.06%,-,-,-,0.93%,-,-,-,0.97%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,74.60%,299.87%,241.02%,20.87%,3.98%,0.52%,161.43%,4.26%,1.12%,10.18%,4.36%,2.83%,5.14%,0.58%,0.72%,3.16%,1.94%,1.94%,16.71%,16.71%
29,Buyback Yield / Dilution,-16.39%,-0.04%,0.04%,-0.03%,-128.93%,36.22%,-9.67%,-33.32%,41.79%,-107.67%,-24.79%,1.83%,-1.49%,-2.15%,3.24%,-1.10%,-,-,-,-
30,Total Shareholder Return,-15.33%,-0.04%,0.04%,-0.03%,-128.00%,36.22%,-9.67%,-33.32%,42.76%,-107.67%,-24.79%,1.83%,-1.49%,-2.15%,3.24%,-1.10%,-,-,-,-
