,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
40,Total Liabilities & Equity,-,4217,4268,4281,4422,4463,4369,4505,4539,4252,1588,1579,1549,-,-,-
41,Total Debt,162.88,162.88,138.06,128.36,128.6,118.18,116.27,94.18,77.13,42.5,67.01,66.03,135.53,-,-,126
42,Net Cash (Debt),1742,1742,1820,1863,1995,2188,2166,2490,2765,2834,320.41,228.73,99.03,-,-,-67.86
43,Net Cash Growth,-12.69%,-20.36%,-15.99%,-25.16%,-27.84%,-22.81%,576.06%,988.61%,2692.08%,-,-,-,-,-,-,-
44,Net Cash Per Share,10.89,11.34,11.21,11.64,12.72,14.28,12.71,15.84,17.19,19.65,2.68,1.93,0.83,-,-,-0.57
45,Filing Date Shares Outstanding,159.99,158.35,158.35,160.04,159.17,159.24,159.5,159.5,159.5,159.5,118.9,118.9,118.9,118.79,117.9,120.03
46,Total Common Shares Outstanding,158.35,158.35,158.35,160.04,159.17,159.24,159.5,159.5,159.5,159.5,118.9,118.9,118.9,118.79,117.9,120.03
47,Working Capital,-,1973,2003,2146,2192,2346,2370,2599,2731,2952,467.22,520.21,399.42,-,-,-
48,Book Value Per Share,22.58,22.58,22.95,23.11,23.43,23.74,23.72,24.35,24.28,24.05,10.42,9.98,8.65,-,-,5.17
49,Tangible Book Value,3369,3369,3432,3520,3549,3600,3601,3702,3723,3686,1089,1094,946.09,-,-,558.01
50,Tangible Book Value Per Share,21.28,21.28,21.68,22.00,22.30,22.61,22.58,23.21,23.34,23.11,9.16,9.20,7.96,-,-,4.69
51,Buildings,-,-,536.33,-,536.33,-,212.6,-,212.6,-,212.6,212.6,212.6,-,-,-
52,Machinery,-,-,1099,-,964.02,-,516.21,-,513.73,-,503.67,502.29,498.96,-,-,-
53,Construction In Progress,-,-,379.3,-,420.69,-,1022,-,690.81,-,62.06,18.61,9.65,-,-,-
