,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
11,Other Intangible Assets,-,224.97,225.67,227.3,228.6,230.5,231.04,232.94,233.54,-,227.23,-,26.82,-,26.34,26.34
12,Long-Term Deferred Tax Assets,-,129.65,124.54,125.99,128.98,98.52,91.65,93.79,98.83,-,75.83,-,64.18,-,25.93,25.93
13,Long-Term Deferred Charges,-,4.79,5.9,4.73,5.65,6.52,6.03,8.37,7.44,-,4.73,-,4.82,-,2.79,2.79
14,Other Long-Term Assets,-,2.2,5.11,3.6,4.52,5.95,4.51,21.18,3.73,-,7.36,-,205.4,-,1.65,1.65
15,Total Assets,-,8157,7983,7938,8193,7661,7405,7138,7184,-,3568,-,3731,-,3093,3093
16,Accounts Payable,-,1331,1014,1236,1278,1062,860.16,883.55,897.04,-,786.56,-,1004,-,1275,1275
17,Accrued Expenses,-,273.54,390.62,184.64,427.69,320.24,351.71,152.89,352.14,-,264.96,-,280.2,-,203.73,203.73
18,Short-Term Debt,-,-,-,-,-,200.15,200.15,200.17,200.17,-,270.24,-,350.36,-,-,-
19,Current Portion of Long-Term Debt,-,-,1.32,34.24,1.36,35.88,1.28,-,1.26,-,32.25,-,-,-,-,-
20,Current Portion of Leases,-,9.6,13.5,-,43.85,-,38.84,-,51.02,-,-,-,31.91,-,29.94,29.94
21,Current Income Taxes Payable,-,41.22,7.63,46.25,19.93,-,0.02,53.24,25.69,-,7.04,-,61.75,-,0.06,0.06
22,Current Unearned Revenue,-,371.38,352.89,333.04,345.59,315.8,279.86,279.44,259.54,-,266.34,-,263.45,-,263.68,263.68
23,Other Current Liabilities,-,167.73,354.44,142.48,251.2,117.64,211,150.22,61.63,-,26.22,-,78.64,-,92.55,92.55
24,Total Current Liabilities,-,2195,2134,1976,2367,2051,1943,1720,1848,-,1654,-,2071,-,1865,1865
25,Long-Term Debt,-,330.05,330.05,330.55,319.34,287.23,280.14,230.44,227.81,-,105.64,-,-,-,-,-
26,Long-Term Leases,-,13.26,12.19,12.89,13.96,19.73,25.48,30.09,44.1,-,36.71,-,51.92,-,47.34,47.34
27,Long-Term Unearned Revenue,-,229.86,212.6,214.49,214.42,193.66,195.03,168.44,194.29,-,193.48,-,190.53,-,30.31,30.31
28,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,0.82,-,1,1
29,Other Long-Term Liabilities,-,23.12,23.92,10.6,12.43,8.75,9.65,34.45,7.85,-,7.99,-,8.22,-,10.6,10.6
30,Total Liabilities,-,2791,2713,2545,2928,2561,2453,2183,2323,-,1997,-,2322,-,1955,1955
31,Common Stock,-,787.5,787.5,562.5,562.5,562.5,562.5,562.5,562.5,-,450,-,450,-,450,450
32,Additional Paid-In Capital,-,3128,3127,3350,3347,3345,3339,3338,3336,-,338.44,-,325.12,-,305.58,305.58
33,Retained Earnings,-,1453,1359,1484,1359,1198,1055,1056,964.85,-,781.92,-,629.95,-,379.11,379.11
34,Comprehensive Income & Other,-,-2.28,-3.93,-3.68,-3.13,-4.85,-4.95,-1.44,-2.6,-,-0.09,-,4.08,-,3.59,3.59
35,Shareholders' Equity,5366,5366,5270,5394,5265,5100,4951,4955,4861,-,1570,1409,1409,1138,1138,1138
36,Total Liabilities & Equity,-,8157,7983,7938,8193,7661,7405,7138,7184,-,3568,-,3731,-,3093,3093
37,Total Debt,352.91,352.91,357.06,377.68,378.5,542.99,545.89,460.69,524.35,-,444.85,434.19,434.19,77.28,77.28,77.28
38,Net Cash (Debt),3748,3748,3772,4012,4277,4038,4005,4260,4282,-,837.06,797.9,797.9,1025,1025,1025
39,Net Cash Growth,-12.37%,-7.18%,-5.81%,-5.83%,-0.11%,-,378.45%,433.91%,436.66%,-,-18.35%,-22.17%,-,-,-,-
40,Net Cash Per Share,4.64,4.82,4.91,5.03,5.50,5.08,5.20,5.34,6.63,-,1.36,1.25,1.27,-,1.63,1.63
41,Filing Date Shares Outstanding,807.19,787.5,787.5,787.5,787.5,787.5,787.5,787.5,787.5,787.5,630,636.7,630,-,630,630
42,Total Common Shares Outstanding,787.5,787.5,787.5,787.5,787.5,787.5,787.5,787.5,787.5,630,630,636.7,630,-,630,630
43,Working Capital,-,3738,3747,4018,4017,4002,4028,4362,4367,-,1159,-,1004,-,878.14,878.14
44,Book Value Per Share,6.81,6.81,6.69,6.85,6.69,6.48,6.29,6.29,6.17,-,2.49,2.24,2.24,1.81,1.81,1.81
45,Tangible Book Value,5141,5141,5044,5166,5036,4869,4720,4722,4627,-,1343,1382,1382,1112,1112,1112
46,Tangible Book Value Per Share,6.53,6.53,6.41,6.56,6.40,6.18,5.99,6.00,5.88,-,2.13,2.19,2.19,1.76,1.76,1.76
47,Buildings,-,-,668.02,-,-,-,-,-,-,-,-,-,-,-,-,-
48,Machinery,-,-,338.07,-,296.98,-,267.01,-,247.68,-,235.24,-,207.7,-,104.63,104.63
49,Construction In Progress,-,-,861.65,-,1218,-,874.62,-,367.89,-,197.16,-,107.01,-,142.42,142.42
