,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
15,Debt / Equity Ratio,0.18,0.18,0.19,0.19,0.16,0.15,0.18,0.26,0.27,0.29,0.32,0.27,0.29,0.27,0.37,0.43,0.43,0.35,0.34,0.34
16,Debt / EBITDA Ratio,4.03,2.56,7.82,4.31,4.40,2.16,2.13,2.81,1.63,2.04,2.43,3.80,3.42,2.77,1.41,1.93,1.43,0.79,1.03,1.61
17,Debt / FCF Ratio,-,-,-,-4.22,-,-3.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,0.64,0.58,0.53,0.55,0.49,0.75,0.71,0.88,0.90,0.79,0.65,0.78,0.69,-,-,0.95,-,-,-,
19,Inventory Turnover,2.81,3.03,3.03,2.84,2.82,2.27,3.17,2.67,3.47,3.37,2.79,2.49,3.33,2.75,-,-,3.47,-,-,-
20,Quick Ratio,1.36,1.36,1.37,1.67,1.78,1.89,1.88,1.22,1.36,1.46,1.35,1.51,1.56,1.70,1.14,-,1.08,1.07,-,0.99
21,Current Ratio,1.96,1.96,1.96,2.24,2.42,2.54,2.50,1.92,1.97,2.00,1.97,2.20,2.17,2.25,1.73,-,1.62,1.47,-,1.45
22,Return on Equity (ROE),1.83%,2.36%,1.83%,-1.03%,5.51%,8.07%,5.05%,9.36%,13.52%,11.28%,3.67%,9.47%,7.02%,18.94%,20.68%,20.76%,29.88%,24.23%,-,
23,Return on Assets (ROA),1.88%,-0.52%,0.82%,0.06%,2.28%,2.92%,2.52%,4.56%,4.25%,3.51%,1.73%,1.89%,3.14%,-,-,7.75%,-,-,-,
24,Return on Capital (ROIC),2.44%,-0.66%,1.02%,0.07%,2.87%,3.74%,3.33%,6.14%,5.79%,4.74%,2.31%,2.52%,4.31%,10.28%,7.95%,11.94%,19.65%,13.29%,-,
25,Return on Capital Employed (ROCE),1.27%,1.35%,-,3.34%,3.94%,5.94%,6.54%,9.69%,9.22%,7.28%,6.27%,7.18%,8.51%,10.93%,22.79%,-,23.98%,19.89%,-,4.20%
26,Earnings Yield,0.85%,1.10%,2.25%,2.93%,2.35%,3.10%,4.04%,3.80%,3.20%,4.79%,2.99%,2.70%,2.65%,2.56%,-,-,-,-,-,-
27,FCF Yield,-7.34%,-9.52%,-6.84%,-4.00%,-6.01%,-2.46%,-3.58%,-5.81%,-5.40%,-9.23%,-8.53%,-5.66%,-2.97%,-3.96%,-,-,-,-,-,-
28,Dividend Yield,0.80%,-,-,-,0.67%,-,-,-,0.45%,-,-,-,0.39%,-,-,-,-,-,-,-
29,Payout Ratio,139.88%,136.99%,124.88%,45.22%,-,17.44%,57.27%,13.65%,9.86%,45.28%,7.45%,32.75%,9.27%,17.48%,8.81%,8.21%,8.71%,6.61%,6.17%,7.54%
30,Buyback Yield / Dilution,-18.35%,3.77%,-38.02%,-17.37%,-27.51%,-23.21%,0.37%,0.32%,0.57%,-34.75%,-139.94%,7.15%,-34.40%,2.80%,44.70%,-46.06%,-,-,-,-
31,Total Shareholder Return,-17.55%,3.77%,-38.02%,-17.37%,-26.84%,-23.21%,0.37%,0.32%,1.02%,-34.75%,-139.94%,7.15%,-34.00%,2.80%,44.70%,-46.06%,-,-,-,-
