,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
24,Net Income,98.49,83.65,42.69,-,69.22,90.23,51.73,50.29,148.51,89.16,47.26,20.7,46.64,59.33,54.66,25.33,102.07,76.4,28.7,38.07,Upgrade
25,Net Income to Common,98.49,83.65,42.69,-,69.22,90.23,51.73,50.29,148.51,89.16,47.26,20.7,46.64,59.33,54.66,25.33,102.07,76.4,28.7,38.07,Upgrade
26,Net Income Growth,42.29%,-7.30%,-17.47%,-,-53.39%,1.21%,9.46%,142.99%,218.40%,50.28%,-13.55%,-18.28%,-54.31%,-22.34%,90.46%,-33.47%,95.67%,45.30%,-25.48%,26.86%,Upgrade
27,Shares Outstanding (Basic),327,337,328,-,328,300,304,308,293,311,295,300,309,296,304,307,300,314,287,313,Upgrade
28,Shares Outstanding (Diluted),327,337,328,-,328,300,304,308,293,311,295,300,309,296,304,307,300,314,287,313,Upgrade
29,Shares Change (YoY),-0.19%,12.25%,7.93%,-,11.63%,-3.58%,3.02%,2.87%,-5.12%,4.95%,-2.75%,-2.42%,3.03%,-5.51%,5.81%,-2.06%,-2.18%,0.82%,-3.13%,-5.98%,Upgrade
30,EPS (Basic),0.30,0.25,0.13,-,0.21,0.30,0.17,0.16,0.51,0.29,0.16,0.07,0.15,0.20,0.18,0.08,0.34,0.24,0.10,0.12,Upgrade
31,EPS (Diluted),0.30,0.25,0.13,-,0.21,0.30,0.17,0.16,0.51,0.29,0.16,0.07,0.15,0.20,0.18,0.08,0.34,0.24,0.10,0.12,Upgrade
32,EPS Growth,42.56%,-17.42%,-23.53%,-,-58.25%,4.96%,6.25%,136.21%,235.57%,43.19%,-11.11%,-16.26%,-55.65%,-17.81%,80.00%,-32.08%,100.02%,44.13%,-23.08%,34.93%,Upgrade
33,Free Cash Flow,-24.79,-25.56,-107.03,-,26.3,113.38,-36.79,106.29,231.57,198.07,-3.44,-58.22,-9.67,-19.65,-108.55,-282.88,-78.11,90.01,-15.96,-40.02,Upgrade
34,Free Cash Flow Per Share,-0.08,-0.08,-0.33,-,0.08,0.38,-0.12,0.34,0.79,0.64,-0.01,-0.19,-0.03,-0.07,-0.36,-0.92,-0.26,0.29,-0.06,-0.13,Upgrade
35,Dividend Per Share,-,0.160,-,-,-,-,-,0.350,-,-,-,0.220,-,-,-,0.250,-,-,-,0.200,Upgrade
36,Dividend Growth,-,-,-,-,-,-,-,59.09%,-,-,-,-12.00%,-,-,-,25.00%,-,-,-,0%,Upgrade
37,Gross Margin,22.59%,23.20%,22.11%,-,23.54%,23.06%,22.45%,19.74%,21.92%,18.06%,16.65%,13.93%,15.66%,13.73%,14.96%,9.41%,24.09%,23.71%,21.27%,21.35%,Upgrade
38,Operating Margin,9.05%,7.14%,5.08%,-,9.90%,7.56%,8.51%,3.56%,9.92%,7.65%,5.81%,0.15%,4.70%,5.43%,5.88%,1.35%,14.15%,11.46%,7.10%,3.54%,Upgrade
39,Profit Margin,7.36%,7.00%,4.98%,-,7.18%,10.75%,7.42%,5.80%,15.20%,7.42%,4.69%,1.72%,4.44%,4.44%,5.13%,2.28%,9.27%,9.65%,6.68%,5.61%,Upgrade
40,Free Cash Flow Margin,-1.85%,-2.14%,-12.49%,-,2.73%,13.50%,-5.28%,12.26%,23.69%,16.47%,-0.34%,-4.84%,-0.92%,-1.47%,-10.18%,-25.46%,-7.09%,11.37%,-3.71%,-5.89%,Upgrade
41,EBITDA,145.3,110.84,67.73,-,117.53,88.06,81.46,52.98,114.56,112.95,77.19,20.36,63.58,90.87,76.95,29.23,166.48,104.89,41.11,34.61,Upgrade
42,EBITDA Margin,10.86%,9.27%,7.91%,-,12.19%,10.49%,11.69%,6.11%,11.72%,9.39%,7.66%,1.69%,6.05%,6.79%,7.22%,2.63%,15.12%,13.25%,9.57%,5.10%,Upgrade
43,D&A For EBITDA,24.18,25.51,24.18,-,22.13,24.59,22.13,22.13,17.58,21,18.57,18.57,14.2,18.3,14.2,14.2,10.59,14.15,10.59,10.59,Upgrade
44,EBIT,121.11,85.32,43.55,-,95.39,63.48,59.32,30.84,96.98,91.95,58.62,1.78,49.38,72.57,62.76,15.03,155.89,90.74,30.51,24.02,Upgrade
45,EBIT Margin,9.05%,7.14%,5.08%,-,9.90%,7.56%,8.51%,3.56%,9.92%,7.65%,5.81%,0.15%,4.70%,5.43%,5.88%,1.35%,14.15%,11.46%,7.10%,3.54%,Upgrade
46,Effective Tax Rate,1.85%,9.54%,4.01%,-,9.71%,14.12%,10.91%,1.84%,16.61%,15.36%,10.10%,-,4.60%,2.76%,11.69%,-,12.93%,13.72%,11.51%,13.18%,Upgrade
47,Revenue as Reported,1338,1195,856.69,-,963.85,839.68,696.71,867.27,977.34,1202,1008,1203,1052,1338,1066,1111,1101,791.61,429.58,678.94,Upgrade
