,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
16,Gain (Loss) on Sale of Investments,-,2.15,-2.15,-,-,1.41,-1.41,-60.5,3.18,-6.3,-3.38,2.12,-4.18,0.17,-5.9,-
17,Gain (Loss) on Sale of Assets,0.06,-0,-0,0.17,0.03,-0.33,0.63,0,0.92,-,-0,-3.01,-,0.07,-,0.01
18,Asset Writedown,-19.62,-0.13,0.06,9.7,-9.79,1.58,-1.79,20.95,-21.09,7.34,-7.35,10,-9.99,-0.01,0.01,-0.73
19,Legal Settlements,-,-,-,-0.48,-,-,-,-0.61,-,-,-,-,-,-,-,-
20,Other Unusual Items,-13.95,14.06,-0.11,40.94,-5.37,5.37,-,-20.54,4.52,-4.52,-,21.24,1.66,-1.66,-,13.18
21,Pretax Income,60.27,84.85,67.01,-29.62,67.47,46.1,53.48,34.28,48.1,194.45,206.49,288.42,215.07,181.51,108.82,56.03
22,Income Tax Expense,0.61,4.91,3.64,-5.97,2.53,3.24,1.96,1.21,0.69,25.32,24.09,41.17,26.71,13.01,14.55,6.32
23,Earnings From Continuing Operations,59.66,79.94,63.37,-23.65,64.94,42.87,51.52,33.06,47.41,169.14,182.4,247.25,188.37,168.5,94.27,49.71
24,Minority Interest in Earnings,0.15,-0.32,0.23,-0.23,-0.95,0.22,0.84,1.42,0.34,0.53,0.39,0.24,0.03,0.29,-0.05,-0.42
25,Net Income,59.81,79.62,63.6,-23.88,63.99,43.08,52.35,34.48,47.74,169.67,182.79,247.49,188.4,168.79,94.22,49.29
26,Net Income to Common,59.81,79.62,63.6,-23.88,63.99,43.08,52.35,34.48,47.74,169.67,182.79,247.49,188.4,168.79,94.22,49.29
27,Net Income Growth,-6.54%,84.80%,21.49%,-,34.04%,-74.61%,-71.36%,-86.07%,-74.66%,0.52%,94.01%,402.06%,-,-,-,-
28,Shares Outstanding (Basic),426,418,424,436,429,394,436,418,427,421,389,373,387,375,377,378
29,Shares Outstanding (Diluted),426,418,424,436,429,394,436,418,427,421,389,373,387,375,377,378
30,Shares Change (YoY),-0.54%,6.31%,-2.81%,4.17%,0.30%,-6.58%,12.17%,12.08%,10.59%,12.48%,3.20%,-1.29%,-,-,-,-
31,EPS (Basic),0.14,0.19,0.15,-0.05,0.15,0.11,0.12,0.08,0.11,0.40,0.47,0.66,0.49,0.45,0.25,0.13
32,EPS (Diluted),0.14,0.19,0.15,-0.05,0.15,0.11,0.12,0.08,0.11,0.40,0.47,0.66,0.49,0.45,0.25,0.13
33,EPS Growth,-6.03%,73.82%,25.00%,-,33.64%,-72.82%,-74.47%,-87.57%,-77.09%,-10.63%,88.00%,408.62%,-,-,-,-
34,Free Cash Flow,-27.19,-151.98,-106.94,53.4,28.11,154.06,-61.22,500.91,-96.87,224.13,-116.65,-35.43,-109.81,-110.46,-92.67,19.5
35,Free Cash Flow Per Share,-0.06,-0.36,-0.25,0.12,0.07,0.39,-0.14,1.20,-0.23,0.53,-0.30,-0.09,-0.28,-0.29,-0.25,0.05
36,Dividend Per Share,-,-,-,-,-,-,-,2.000,-,-,-,0.400,-,-,-,-
37,Dividend Growth,-,-,-,-,-,-,-,400.00%,-,-,-,-,-,-,-,-
38,Gross Margin,28.12%,29.23%,26.51%,23.44%,33.85%,33.79%,36.42%,34.09%,37.48%,36.84%,37.40%,37.24%,39.68%,30.54%,38.08%,29.93%
39,Operating Margin,11.90%,8.53%,8.99%,-15.95%,20.99%,1.91%,15.69%,13.58%,12.19%,23.99%,23.44%,21.23%,23.50%,15.31%,15.18%,-43.20%
40,Profit Margin,7.68%,9.78%,8.47%,-4.83%,17.34%,9.17%,17.37%,5.39%,11.32%,21.22%,19.76%,20.40%,19.56%,13.96%,13.56%,8.64%
41,Free Cash Flow Margin,-3.49%,-18.67%,-14.25%,10.81%,7.62%,32.80%,-20.32%,78.29%,-22.97%,28.04%,-12.61%,-2.92%,-11.40%,-9.13%,-13.34%,3.42%
42,EBITDA,96.71,73.8,71.46,-74.81,82.19,13.54,51.98,91.6,56.34,197.22,221.8,262.42,229.63,189.48,108.67,-243.31
43,EBITDA Margin,12.41%,9.07%,9.52%,-15.14%,22.27%,2.88%,17.25%,14.32%,13.36%,24.67%,23.97%,21.63%,23.84%,15.67%,15.64%,-42.64%
44,D&A For EBITDA,3.99,4.41,3.99,3.99,4.69,4.55,4.69,4.69,4.91,5.47,4.91,4.91,3.21,4.29,3.21,3.21
45,EBIT,92.72,69.39,67.46,-78.8,77.5,8.99,47.29,86.91,51.43,191.75,216.89,257.51,226.42,185.18,105.46,-246.52
46,EBIT Margin,11.90%,8.53%,8.99%,-15.95%,20.99%,1.91%,15.69%,13.58%,12.19%,23.99%,23.44%,21.23%,23.50%,15.31%,15.18%,-43.20%
47,Effective Tax Rate,1.01%,5.79%,5.44%,-,3.75%,7.03%,3.67%,3.53%,1.44%,13.02%,11.67%,14.27%,12.42%,7.17%,13.37%,11.28%
48,Revenue as Reported,779.22,813.84,750.52,494.13,369.14,469.73,301.32,639.79,421.74,799.41,925.21,1213,963.34,1209,694.72,2210
