,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
23,Income Tax Expense,51.42,36.97,74.2,65.03,79.91,81.83,103.38,71.8,80.94,94.43,84.78,121.7,6.6,65.69,29.24,45.62
24,Earnings From Continuing Operations,217.35,159.43,261.34,282.05,321.44,278.01,318.85,314.27,298.92,291.51,274.45,351.28,289.23,323.99,183.34,232.01
25,Minority Interest in Earnings,-44.05,-39.19,-21.89,-52.26,-30.44,-48.1,-10.67,-35.77,-17.15,-31.25,-32.76,-37.17,-17.55,-50.78,-32.19,-44.05
26,Net Income,173.3,120.24,239.44,229.79,291.01,229.91,308.18,278.5,281.77,260.26,241.69,314.11,271.68,273.22,151.16,187.95
27,Net Income to Common,173.3,120.24,239.44,229.79,291.01,229.91,308.18,278.5,281.77,260.26,241.69,314.11,271.68,273.22,151.16,187.95
28,Net Income Growth,-40.45%,-47.70%,-22.31%,-17.49%,3.28%,-11.66%,27.51%,-11.34%,3.71%,-4.74%,59.89%,67.12%,-,-,-,-
29,Shares Outstanding (Basic),542,567,557,560,548,561,560,557,564,553,562,455,461,455,458,458
30,Shares Outstanding (Diluted),542,567,557,560,548,561,560,557,564,553,562,455,461,455,458,458
31,Shares Change (YoY),-1.23%,1.15%,-0.62%,0.55%,-2.78%,1.32%,-0.31%,22.51%,22.29%,21.73%,22.71%,-0.65%,-,-,-,-
32,EPS (Basic),0.32,0.21,0.43,0.41,0.53,0.41,0.55,0.50,0.50,0.47,0.43,0.69,0.59,0.60,0.33,0.41
33,EPS (Diluted),0.32,0.21,0.43,0.41,0.53,0.41,0.55,0.50,0.50,0.47,0.43,0.69,0.59,0.60,0.33,0.41
34,EPS Growth,-39.71%,-48.30%,-21.82%,-17.94%,6.23%,-12.81%,27.91%,-27.62%,-15.19%,-21.75%,30.30%,68.21%,-,-,-,-
35,Free Cash Flow,675.25,-88.36,-1039,198.96,233.36,-592.56,842.91,-529.85,564.93,1660,-2089,1362,1643,-580.38,-988.84,-430.11
36,Free Cash Flow Per Share,1.25,-0.16,-1.87,0.36,0.43,-1.06,1.50,-0.95,1.00,3.00,-3.72,3.00,3.56,-1.28,-2.16,-0.94
37,Dividend Per Share,-,-,-,0.700,-,-,-,0.800,-,-,-,0.600,-,-,-,-
38,Dividend Growth,-,-,-,-12.50%,-,-,-,33.33%,-,-,-,-,-,-,-,-
39,Gross Margin,6.24%,0.02%,6.94%,2.18%,7.35%,1.63%,6.74%,5.55%,5.70%,0.37%,7.07%,2.27%,4.16%,3.30%,4.66%,6.23%
40,Operating Margin,5.91%,-1.14%,5.57%,0.38%,6.42%,0.65%,5.71%,3.68%,4.87%,-0.31%,6.26%,0.96%,3.51%,2.62%,3.56%,4.19%
41,Profit Margin,1.57%,1.27%,2.29%,1.99%,2.69%,2.30%,2.58%,2.16%,1.97%,1.68%,1.94%,1.59%,1.54%,2.21%,1.50%,2.78%
42,Free Cash Flow Margin,6.12%,-0.93%,-9.93%,1.72%,2.15%,-5.93%,7.07%,-4.11%,3.94%,10.71%,-16.72%,6.90%,9.29%,-4.69%,-9.82%,-6.36%
43,EBITDA,752.23,5.87,683.42,144.64,787.2,160.22,773.35,566.33,784.58,41.45,867.92,276.76,706.96,411.52,444.79,601.81
44,EBITDA Margin,6.82%,0.06%,6.53%,1.25%,7.26%,1.60%,6.48%,4.39%,5.48%,0.27%,6.95%,1.40%,4.00%,3.33%,4.42%,8.90%
45,D&A For EBITDA,100.97,114.08,100.97,100.97,91.76,95.73,91.76,91.76,86.62,88.79,86.62,86.28,85.66,87.09,86.3,318.64
46,EBIT,651.27,-108.21,582.46,43.68,695.44,64.49,681.59,474.58,697.96,-47.34,781.3,190.48,621.29,324.43,358.49,283.17
47,EBIT Margin,5.91%,-1.14%,5.57%,0.38%,6.42%,0.65%,5.71%,3.68%,4.87%,-0.31%,6.26%,0.96%,3.51%,2.62%,3.56%,4.19%
48,Effective Tax Rate,19.13%,18.83%,22.11%,18.74%,19.91%,22.74%,24.48%,18.60%,21.31%,24.47%,23.60%,25.73%,2.23%,16.86%,13.76%,16.43%
49,Revenue as Reported,11025,9467,10462,44327,10838,9998,11927,55200,-,15494,12489,19749,17695,12368,10069,30064
