,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
11,EV/Sales Ratio,0.21,0.22,0.21,0.21,0.22,0.22,0.19,0.16,0.16,0.15,0.18,0.21,0.27,-,-,-,-
12,EV/EBITDA Ratio,5.57,6.03,5.37,5.03,5.17,4.35,4.11,4.04,3.80,4.83,6.18,5.73,8.81,-,-,-,-
13,EV/EBIT Ratio,7.62,8.17,-,6.45,6.49,5.19,4.89,4.84,4.51,5.87,-,6.77,10.85,-,-,-,-
14,EV/FCF Ratio,-35.18,-37.73,-,-,14.13,-215.45,-,3.45,-,6.36,4.54,-,11.29,-,-,-,-
15,Debt / Equity Ratio,0.30,0.30,0.35,0.28,0.09,0.16,0.17,0.03,0.09,0.19,0.14,0.30,0.04,1.21,1.90,0.61,0.61
16,Debt / EBITDA Ratio,1.20,0.64,90.12,0.65,0.97,0.30,1.46,0.06,0.22,0.31,4.13,0.43,0.19,1.19,2.92,0.88,0.65
17,Debt / FCF Ratio,-,-7.57,-,-,0.82,-20.64,-,0.07,-,0.65,0.27,-,0.14,-9.49,-,-,-
18,Asset Turnover,3.54,3.21,3.79,4.29,3.89,3.75,4.40,4.30,4.90,5.45,4.14,6.02,5.27,-,-,-,
19,Inventory Turnover,12.33,11.31,12.50,15.08,17.55,14.68,16.06,14.68,13.29,16.91,16.97,11.22,17.09,14.45,-,-,-
20,Quick Ratio,0.39,0.39,0.42,0.53,0.43,0.41,0.39,0.55,0.27,0.53,0.48,0.31,0.41,0.32,0.30,-,0.27
21,Current Ratio,1.28,1.28,1.28,1.36,1.37,1.26,1.18,1.29,1.15,1.09,1.07,1.09,1.04,0.91,0.88,-,0.87
22,Return on Equity (ROE),14.01%,10.20%,16.65%,18.79%,22.53%,19.69%,22.83%,23.95%,24.26%,24.14%,23.14%,37.92%,43.44%,50.85%,28.49%,-,
23,Return on Assets (ROA),13.08%,-2.30%,13.20%,1.01%,15.60%,1.51%,15.71%,9.91%,14.91%,-1.04%,16.20%,3.63%,11.57%,-,-,-,
24,Return on Capital (ROIC),19.80%,-3.30%,19.56%,1.61%,26.14%,2.60%,28.75%,19.81%,30.29%,-2.00%,34.96%,8.66%,22.99%,14.14%,21.62%,-,
25,Return on Capital Employed (ROCE),18.05%,18.05%,-,21.16%,23.62%,31.81%,33.64%,30.61%,34.19%,31.03%,-,37.99%,31.35%,50.54%,33.89%,-,9.17%
26,Earnings Yield,10.76%,10.58%,12.59%,12.74%,12.49%,12.88%,11.87%,12.28%,11.77%,11.75%,10.75%,10.14%,7.17%,-,-,-,-
27,FCF Yield,-3.58%,-3.51%,-9.94%,-15.43%,8.05%,-0.54%,3.08%,27.61%,-4.36%,16.04%,25.46%,3.10%,10.19%,-,-,-,-
28,Dividend Yield,5.59%,-,-,-,4.83%,-,-,-,5.43%,-,-,-,2.70%,-,-,-,-
29,Payout Ratio,60.90%,8.15%,356.14%,1.46%,8.15%,1.66%,195.41%,1.11%,2.15%,13.22%,117.53%,2.67%,-,15.92%,177.21%,14.80%,-
30,Buyback Yield / Dilution,0.03%,1.23%,-1.15%,0.62%,-0.55%,2.78%,-1.32%,0.31%,-22.51%,-22.29%,-21.73%,-22.71%,0.65%,-,-,-,-
31,Total Shareholder Return,5.62%,1.23%,-1.15%,0.62%,4.28%,2.78%,-1.32%,0.31%,-17.07%,-22.29%,-21.73%,-22.71%,3.35%,-,-,-,-
