,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
9,P/FCF Ratio,-,-4865.85,-,-,53.13,42.32,28.95,-,41.73,62.98,-87.51,-,-,-,-,-,51.62,-,-,-,-
10,P/OCF Ratio,27.20,27.20,24.34,-,20.70,19.98,18.22,24.28,28.10,35.66,87.48,-,206.08,102.55,100.48,-,43.97,-,-,-,-
11,EV/Sales Ratio,4.86,4.14,3.81,3.20,4.17,3.64,3.85,4.64,5.59,6.33,5.11,5.02,9.79,10.48,14.25,11.24,10.47,-,-,-,-
12,EV/EBITDA Ratio,18.44,15.84,14.65,12.61,17.43,14.99,17.13,22.18,28.07,37.25,36.21,32.20,48.48,46.51,56.12,41.22,39.23,-,-,-,-
13,EV/EBIT Ratio,19.98,17.01,15.67,13.45,18.63,15.83,18.04,23.39,29.65,40.11,41.44,37.34,54.89,52.78,62.29,45.52,43.67,-,-,-,-
14,EV/FCF Ratio,-5353.01,-4556.14,-,-,47.13,37.76,25.83,-,38.44,58.67,-76.14,-,-,-,-,-,48.84,-,-,-,-
15,Debt / Equity Ratio,0.10,0.10,0.09,0.03,0.03,0.02,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,-,-,-,-,-
16,Debt / EBITDA Ratio,0.39,0.33,0.36,0.15,0.14,0.08,0.06,0.01,0.00,0.00,0.09,0.15,0.00,0.00,0.00,0.00,-,-,-,-,-
17,Debt / FCF Ratio,-,-113.87,-,-,0.38,0.24,0.08,-,0.01,0.01,-0.28,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,0.82,0.85,0.77,0.73,0.97,0.87,0.74,1.21,1.35,0.91,0.62,0.68,0.33,0.42,0.42,0.58,0.93,-,-,-,
19,Inventory Turnover,3.81,3.81,4.45,4.41,3.97,4.61,3.92,3.32,4.85,4.92,3.70,3.53,4.56,2.74,4.33,5.38,6.54,5.99,-,-,-
20,Quick Ratio,2.59,2.59,2.65,4.08,3.84,4.52,4.24,4.32,3.06,2.39,2.45,3.89,5.34,7.16,8.32,8.87,8.10,4.06,6.53,-,7.04
21,Current Ratio,3.57,3.57,3.56,5.18,4.75,5.75,5.46,5.65,4.04,3.39,3.61,5.09,6.53,8.43,9.32,9.76,8.75,4.83,7.83,-,8.41
22,Return on Equity (ROE),23.79%,21.99%,19.66%,20.39%,27.97%,21.68%,13.86%,34.27%,36.77%,16.90%,9.39%,12.31%,6.09%,8.61%,11.18%,14.04%,24.25%,19.85%,12.19%,-,
23,Return on Assets (ROA),14.14%,11.96%,11.13%,10.95%,16.54%,10.99%,7.75%,19.28%,17.62%,7.04%,2.83%,6.96%,2.93%,4.69%,6.05%,8.30%,15.95%,-,-,-,
24,Return on Capital (ROIC),16.36%,13.73%,12.81%,12.62%,18.95%,12.66%,9.24%,24.32%,22.43%,8.51%,3.26%,7.82%,3.23%,5.15%,6.67%,9.39%,18.19%,13.86%,8.47%,-,
25,Return on Capital Employed (ROCE),21.73%,21.73%,23.26%,21.61%,19.37%,23.65%,25.41%,22.47%,20.79%,15.48%,8.86%,7.38%,8.93%,8.78%,10.97%,10.90%,9.94%,18.88%,12.55%,-,4.14%
26,Earnings Yield,4.28%,5.01%,5.40%,6.12%,4.58%,5.24%,4.77%,3.80%,3.18%,2.58%,2.56%,2.56%,1.68%,1.70%,1.37%,1.93%,1.92%,-,-,-,-
27,FCF Yield,-0.02%,-0.02%,0.31%,1.67%,1.88%,2.36%,3.45%,2.58%,2.40%,1.59%,-1.14%,-2.10%,-1.14%,-0.35%,0.46%,1.49%,1.94%,-,-,-,-
28,Dividend Yield,2.49%,-,-,-,2.91%,-,-,-,1.96%,-,-,-,1.07%,-,-,-,1.36%,-,-,-,-
29,Payout Ratio,57.48%,1.32%,223.44%,1.69%,0.45%,0.23%,225.43%,-,-,0.11%,126.85%,-,-,-,265.73%,-,-,-,6.50%,81.72%,0.10%
30,Buyback Yield / Dilution,-22.47%,3.44%,-316.16%,-0.12%,-1.84%,0.66%,75.86%,-1.88%,-1.76%,-4.71%,0.37%,-0.45%,-17.50%,-36.59%,-30.58%,-35.48%,-12.49%,-,-,-,-
31,Total Shareholder Return,-19.98%,3.44%,-316.16%,-0.12%,1.07%,0.66%,75.86%,-1.88%,0.20%,-4.71%,0.37%,-0.45%,-16.43%,-36.59%,-30.58%,-35.48%,-11.13%,-,-,-,-
