,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
31,Additional Paid-In Capital,-,2031,2023,2015,2007,1998,36.81,-,30.6,-,-,-,20.23,20.23
32,Retained Earnings,-,-123.87,-104.56,-53.74,-47.67,15.34,7.32,-,-28.14,-,-,-,8.61,8.61
33,Shareholders' Equity,2318,2318,2328,2371,2369,2423,404.12,362.46,362.46,-,-,384.77,388.84,388.84
34,Total Liabilities & Equity,-,2856,2975,3097,3145,3956,1668,-,1317,-,-,-,716.48,716.48
35,Total Debt,229.5,229.5,354.84,380.04,378.7,1139,981.3,767.42,767.42,-,-,450.49,136.35,136.35
36,Net Cash (Debt),1299,1299,1213,1169,1253,1475,-265.71,-402.39,-402.39,-,-,-74.23,99.86,99.86
37,Net Cash Growth,3.66%,-11.91%,-,-,-,-,-,-,-,-,-,-,-,-
38,Net Cash Per Share,3.17,3.33,5.89,1.93,2.64,3.90,-0.84,-1.03,-1.63,-,-,-,0.26,0.26
39,Filing Date Shares Outstanding,410,410,410,410,410,410,360,391.72,360,408,-,-,360,360
40,Total Common Shares Outstanding,410,410,410,410,410,410,360,391.72,360,408,-,-,360,360
41,Working Capital,-,2083,2086,2120,2109,2189,192.51,-,185.82,-,-,-,273.02,273.02
42,Book Value Per Share,5.65,5.65,5.68,5.78,5.78,5.91,1.12,1.01,1.01,-,-,1.11,1.08,1.08
43,Tangible Book Value,2304,2304,2312,2352,2341,2388,360.92,309.05,309.05,-,-,318.88,344.92,344.92
44,Tangible Book Value Per Share,5.62,5.62,5.64,5.74,5.71,5.82,1.00,0.86,0.86,-,-,0.92,0.96,0.96
45,Buildings,-,-,163.22,-,163.22,-,163.22,-,163.22,-,-,-,-,-
46,Machinery,-,-,137.34,-,133.35,-,124.52,-,109.06,-,-,-,69.43,69.43
47,Construction In Progress,-,-,-,-,-,-,-,-,-,-,-,-,54.98,54.98
