,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
20,Current Income Taxes Payable,-,6.57,-,2.41,0.03,0.42,0.2,0.98,1.76,5.79,13.46,-,28.81,-,-,-
21,Current Unearned Revenue,-,4.63,2.44,3.89,5.64,18.13,26.63,22.24,13.65,15.89,14.7,-,17.46,-,-,-
22,Other Current Liabilities,389.8,88.56,85.68,79.25,81.23,43.98,45.47,39.36,49.23,58.23,46.05,-,32.41,-,-,-
23,Total Current Liabilities,389.8,347.51,359.05,283.53,285.09,242.59,209.82,171.91,247.04,259.23,260.34,-,223.85,-,-,-
24,Long-Term Leases,-,3.44,3.74,3.76,3.83,4,-,0.22,0.13,0.63,0.86,-,2.01,-,-,-
25,Long-Term Unearned Revenue,-,0.86,0.95,1.04,1.12,1.21,1.3,1.38,1.47,1.56,0.79,-,0.86,-,-,-
26,Long-Term Deferred Tax Liabilities,-,0.68,0.76,0.76,0.76,-,-,-,-,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,4.79,0.78,0.65,0.42,0.26,0.64,0.81,0.47,0.5,0.48,0.49,-,0.21,-,-,-
28,Total Liabilities,394.59,353.27,365.15,289.51,291.06,248.44,211.93,173.99,249.14,261.9,262.48,-,226.93,-,-,-
29,Common Stock,409.02,409.02,409.02,409.02,409.02,409.02,409.02,409.02,405.56,405.56,365,-,365,-,-,-
30,Additional Paid-In Capital,-,933.11,926.43,921.68,915.98,905.93,904.1,908.76,901.95,893.35,148.73,-,141.64,-,-,-
31,Retained Earnings,-,802.59,711.59,665.83,633.31,595.31,567.1,531.1,520.47,547.17,535.89,-,390.69,-,-,-
32,Treasury Stock,-,-52.58,-52.58,-49.08,-,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,1771,-8.6,-5.74,-5.91,-8.02,-6.03,-7.28,-18.09,-14.37,-7.78,-13.84,-,-16.36,-,-,-
34,Shareholders' Equity,2180,2084,1989,1942,1950,1904,1873,1831,1814,1838,1036,880.97,880.97,-,-,546.4
35,Total Liabilities & Equity,2575,2437,2354,2231,2241,2153,2085,2005,2063,2100,1298,-,1108,-,-,-
36,Total Debt,-,5.71,5.98,5.68,5.68,5.42,0.5,1.27,52.29,53.43,53.84,5.12,5.12,-,-,-
37,Net Cash (Debt),-,1734,1727,1666,1750,1687,1532,1392,1355,1339,538.94,586.1,586.1,-,-,514.74
38,Net Cash Growth,-,2.76%,12.71%,19.71%,29.15%,26.02%,184.32%,137.47%,131.19%,-,-,13.86%,-,-,-,-
39,Net Cash Per Share,-,4.15,4.30,4.10,4.12,4.22,3.10,3.93,3.46,3.66,1.46,1.64,1.59,-,-,1.41
40,Filing Date Shares Outstanding,391.47,405.46,405.46,405.73,409.02,409.02,409.02,409.02,405.56,405.56,365,356.43,365,364.03,365,365
41,Total Common Shares Outstanding,391.47,405.46,405.46,405.73,409.02,409.02,409.02,409.02,405.56,405.56,365,356.43,365,364.03,365,365
42,Working Capital,1984,1957,1862,1817,1826,1781,1756,1500,1472,1479,715.88,-,784.02,-,-,-
43,Book Value Per Share,5.57,5.14,4.90,4.79,4.77,4.66,4.58,4.48,4.47,4.53,2.84,2.41,2.41,-,-,1.50
44,Tangible Book Value,2180,2075,1982,1938,1945,1900,1868,1826,1809,1833,1030,874.79,874.79,-,-,545.69
45,Tangible Book Value Per Share,5.57,5.12,4.89,4.78,4.76,4.64,4.57,4.46,4.46,4.52,2.82,2.40,2.40,-,-,1.50
46,Machinery,-,-,251.79,-,227.24,-,202.66,-,190.18,-,151.1,-,130.41,-,-,-
