,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
19,Pretax Income,87.57,97.19,71.04,35.95,41.71,27.66,33.19,13.25,-33.62,11.95,85.26,66.76,98.09,103.65,129.88,92.87
20,Income Tax Expense,4.68,6.19,2.58,3.42,3.71,-0.55,-2.81,2.62,-6.93,0.67,-2.91,9.73,16.76,15.53,16.56,12.94
21,Net Income,82.89,91.01,68.46,32.53,38,28.21,36,10.63,-26.69,11.28,88.17,57.03,81.34,88.12,113.32,79.93
22,Net Income to Common,82.89,91.01,68.46,32.53,38,28.21,36,10.63,-26.69,11.28,88.17,57.03,81.34,88.12,113.32,79.93
23,Net Income Growth,118.13%,222.66%,90.16%,206.02%,-,150.06%,-59.17%,-81.36%,-,-87.20%,-22.19%,-28.65%,-,-,-,-
24,Shares Outstanding (Basic),391,418,401,407,365,399,494,354,392,366,370,356,370,364,365,365
25,Shares Outstanding (Diluted),391,418,401,407,424,399,494,354,392,366,370,356,370,364,365,365
26,Shares Change (YoY),-7.76%,4.55%,-18.68%,14.76%,8.39%,9.22%,33.54%,-0.60%,5.94%,0.46%,1.25%,-2.35%,-,-,-,-
27,EPS (Basic),0.21,0.22,0.17,0.08,0.10,0.07,0.07,0.03,-0.07,0.03,0.24,0.16,0.22,0.24,0.31,0.22
28,EPS (Diluted),0.21,0.22,0.17,0.08,0.09,0.07,0.07,0.03,-0.07,0.03,0.24,0.16,0.22,0.24,0.31,0.22
29,EPS Growth,136.47%,208.62%,133.86%,166.67%,-,128.95%,-69.42%,-81.25%,-,-87.26%,-23.15%,-26.94%,-,-,-,-
30,Free Cash Flow,-,0.14,75.75,-46.85,23.25,157.93,130.57,33.06,19.42,-5.12,-12.09,-37.86,39.79,68.25,-11.93,-11.93
31,Free Cash Flow Per Share,-,0.00,0.19,-0.12,0.05,0.40,0.26,0.09,0.05,-0.01,-0.03,-0.11,0.11,0.19,-0.03,-0.03
32,Dividend Per Share,-,-,-,-,0.056,-,-,-,-,-,-,-,-,-,-,-
33,Gross Margin,-4.27%,23.09%,20.44%,19.57%,18.42%,18.44%,21.59%,20.42%,4.39%,21.41%,33.31%,40.32%,47.09%,50.58%,57.02%,54.40%
34,Operating Margin,18.83%,17.81%,7.03%,7.33%,2.62%,5.06%,8.03%,2.72%,-19.88%,4.01%,20.38%,23.16%,26.73%,33.75%,42.88%,38.34%
35,Profit Margin,13.41%,14.20%,13.76%,9.42%,9.93%,8.71%,13.53%,4.50%,-10.46%,3.83%,24.56%,19.67%,24.32%,27.03%,40.72%,35.12%
36,Free Cash Flow Margin,-,0.02%,15.23%,-13.57%,6.08%,48.77%,49.07%,13.98%,7.61%,-1.74%,-3.37%,-13.06%,11.90%,20.94%,-4.29%,-5.24%
37,EBITDA,127.37,125.16,47.62,36.28,21,24.68,31.8,14.71,-42.46,15.86,80.63,71.21,93.45,113,122.31,90.24
38,EBITDA Margin,20.61%,19.52%,9.57%,10.51%,5.49%,7.62%,11.95%,6.22%,-16.64%,5.39%,22.46%,24.56%,27.94%,34.66%,43.95%,39.64%
39,D&A For EBITDA,10.96,10.96,12.62,10.96,10.96,8.28,10.42,8.28,8.28,4.05,7.46,4.05,4.05,2.98,2.98,2.98
40,EBIT,116.41,114.19,34.99,25.31,10.04,16.4,21.37,6.43,-50.74,11.81,73.18,67.16,89.39,110.02,119.33,87.26
41,EBIT Margin,18.83%,17.81%,7.03%,7.33%,2.62%,5.06%,8.03%,2.72%,-19.88%,4.01%,20.38%,23.16%,26.73%,33.75%,42.88%,38.34%
42,Effective Tax Rate,5.34%,6.37%,3.63%,9.51%,8.90%,-,-,19.78%,-,5.62%,-,14.58%,17.08%,14.98%,12.75%,13.93%
43,Revenue as Reported,-,641.04,497.52,345.29,382.56,323.86,266.08,236.39,255.18,294.18,359.01,289.94,334.49,781.22,-,-
