,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
27,Long-Term Debt,37.76,22.55,15,40,40,32.5,30.07,-,-,-,41.02,15.65,-,-,-
28,Long-Term Leases,3.39,3.85,5.47,4.1,4.29,2.64,2.4,2.36,3.42,4.59,4.55,4.63,-,-,-
29,Long-Term Unearned Revenue,11.88,12.31,12.5,12.7,12.75,12.81,12.85,12.91,-,-,-,0.25,-,-,-
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.05,-,-,-,-,-,-,-,-,-
31,Total Liabilities,1016,915.34,759.11,846.41,715.68,527.25,483.45,522.27,451.08,396.92,381.22,341.71,-,-,-
32,Common Stock,160,160,160,160,160,160,160,160,160,160,120,120,-,-,-
33,Additional Paid-In Capital,299.66,299.66,299.66,299.66,299.66,299.66,299.66,299.66,299.66,299.66,71.81,71.81,-,-,-
34,Retained Earnings,532.36,509.73,492.91,469.8,410.76,375.4,384.86,372.32,343.83,352.28,341.73,313.07,-,-,-
35,Total Common Equity,992.02,969.4,952.57,929.46,870.43,835.07,844.53,831.99,803.49,811.94,533.54,504.88,-,-,426.46
36,Minority Interest,12.56,2.84,2.96,2.96,2.94,2.91,-0.06,-,-,-,-,-,-,-,-
37,Shareholders' Equity,1005,972.23,955.53,932.42,873.36,837.98,844.47,831.99,803.49,811.94,533.54,504.88,-,-,426.46
38,Total Liabilities & Equity,2020,1888,1715,1779,1589,1365,1328,1354,1255,1209,914.75,846.59,-,-,-
39,Total Debt,466.43,450.29,331.22,287.67,226.46,161.54,157.25,142.92,161.07,113.7,107.74,53.63,-,-,16.52
40,Net Cash (Debt),-328.65,-365.88,-189.01,-98.45,-80.24,-2.59,50.22,69.16,88.34,136.41,-53.64,-0.32,-,-,71.79
41,Net Cash Per Share,-2.05,-2.29,-1.18,-0.62,-0.50,-0.02,0.32,0.42,0.57,1.02,-0.45,-0.00,-,-,0.62
42,Filing Date Shares Outstanding,160,160,160,160,160,160,160,160,160,160,120,120,120.38,123.65,116.37
43,Total Common Shares Outstanding,160,160,160,160,160,160,160,160,160,160,120,120,120.38,123.65,116.37
44,Working Capital,560.07,564.09,635.94,649.02,603.45,561.9,581.79,536.85,561.23,578.59,358.29,324.85,-,-,-
45,Book Value Per Share,6.20,6.06,5.95,5.81,5.44,5.22,5.28,5.20,5.02,5.07,4.45,4.21,-,-,3.55
46,Tangible Book Value,874.59,853.39,911.23,889.67,832.21,796.38,805.38,792.38,762.96,772.02,495.44,466.71,-,-,405.21
47,Tangible Book Value Per Share,5.47,5.33,5.70,5.56,5.20,4.98,5.03,4.95,4.77,4.83,4.13,3.89,-,-,3.38
48,Buildings,-,159.07,-,120.97,-,116.94,-,111.47,-,102.53,-,35.41,-,-,-
49,Machinery,-,30.44,-,29.06,-,118.52,-,9.87,-,81.55,-,69.63,-,-,-
50,Construction In Progress,-,30.99,-,49.49,-,69.41,-,43.76,-,31.04,-,68.19,-,-,-
