,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
37,Operating Margin,8.82%,4.46%,11.81%,11.97%,10.25%,4.44%,7.42%,5.27%,8.52%,5.23%,15.58%,6.88%,4.60%,12.47%,7.48%
38,Profit Margin,5.92%,4.03%,9.22%,10.10%,8.46%,4.98%,5.82%,8.42%,8.17%,4.87%,15.84%,12.20%,4.44%,11.73%,6.22%
39,Free Cash Flow Margin,3.70%,-38.61%,-29.18%,-3.69%,-19.88%,-8.21%,-9.28%,1.38%,-10.80%,-38.24%,-33.57%,37.97%,-24.71%,-9.10%,-51.82%
40,EBITDA,38.25,25.17,34.18,74.54,46.12,17.32,19.23,21.12,26.77,14,30.41,20.69,11.79,29.29,14.46
41,EBITDA Margin,10.01%,6.03%,13.63%,12.75%,11.03%,5.94%,8.93%,6.24%,9.29%,6.46%,16.80%,7.70%,5.46%,13.42%,8.58%
42,D&A For EBITDA,4.56,6.58,4.56,4.56,3.26,4.37,3.26,3.26,2.22,2.66,2.22,2.22,1.87,2.08,1.87
43,EBIT,33.69,18.59,29.62,69.98,42.86,12.96,15.97,17.86,24.55,11.34,28.19,18.47,9.92,27.22,12.59
44,EBIT Margin,8.82%,4.46%,11.81%,11.97%,10.25%,4.44%,7.42%,5.27%,8.52%,5.23%,15.58%,6.88%,4.60%,12.47%,7.48%
45,Effective Tax Rate,6.20%,14.28%,7.92%,11.88%,10.39%,-,14.23%,-,6.52%,0.37%,12.81%,10.85%,-,9.66%,8.56%
46,Revenue as Reported,382.03,417.22,250.76,584.71,418.16,291.85,215.42,338.58,288.12,216.84,180.96,268.53,215.7,218.34,168.48
