,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2015,Q1 2015
27,EPS (Basic),-1.22,-1.50,-0.85,12.48,-0.67,-0.46,-0.40,-0.42,-0.11,-0.29,-0.25,-0.13,-0.22,0.06,0.06
28,EPS (Diluted),-1.22,-1.50,-0.85,12.48,-0.67,-0.46,-0.40,-0.42,-0.11,-0.29,-0.25,-0.13,-0.23,0.06,0.06
29,Free Cash Flow,-,-550.76,-362.98,5370,-165.83,-167.83,-146.51,-217.12,-38.52,-80.55,-58.52,-115.62,-90.54,-1.23,-1.23
30,Free Cash Flow Per Share,-,-1.37,-0.91,13.39,-0.42,-0.41,-0.36,-0.55,-0.11,-0.22,-0.16,-0.33,-0.26,-0.01,-0.01
31,Gross Margin,209.76%,49.76%,31.90%,98.92%,47.30%,59.82%,61.85%,62.04%,61.24%,64.53%,67.78%,75.36%,68.41%,62.29%,62.29%
32,Operating Margin,-195.39%,-365.27%,-399.23%,92.82%,-149.93%,-264.53%,-89.40%,-134.03%,-44.84%,-57.91%,-50.28%,-29.64%,-75.83%,10.76%,10.76%
33,Profit Margin,-288.29%,-547.17%,-373.95%,91.63%,-144.10%,-280.23%,-86.07%,-135.17%,-17.75%,-59.86%,-50.22%,-37.57%,-42.09%,5.88%,5.88%
34,Free Cash Flow Margin,-,-501.46%,-400.62%,98.31%,-90.04%,-251.79%,-78.09%,-175.91%,-17.28%,-45.87%,-31.90%,-95.31%,-49.50%,-1.17%,-1.17%
35,EBITDA,-298.46,-386.71,-344.78,5084,-261.65,-161.94,-153.25,-151.03,-85.72,-87.6,-77.97,-23.42,-125.85,19.09,19.09
36,EBITDA Margin,-186.35%,-,-,93.08%,-142.07%,-242.94%,-81.68%,-122.37%,-38.45%,-49.89%,-42.50%,-19.30%,-68.81%,18.19%,18.19%
37,D&A For EBITDA,14.48,14.48,16.94,14.48,14.48,14.39,14.48,14.39,14.24,14.08,14.26,12.54,12.83,7.8,7.8
38,EBIT,-312.93,-401.19,-361.72,5070,-276.12,-176.33,-167.72,-165.42,-99.97,-101.68,-92.23,-35.96,-138.68,11.29,11.29
39,EBIT Margin,-195.39%,-,-,92.82%,-149.93%,-264.53%,-89.40%,-134.03%,-44.84%,-57.91%,-50.28%,-29.64%,-75.83%,10.76%,10.76%
40,Effective Tax Rate,-,-,-,1.34%,-,-,-,-,-,-,-,-,-,24.07%,24.07%
41,Revenue as Reported,-,109.83,90.6,5462,184.17,66.66,187.62,123.43,222.94,175.59,183.44,121.31,182.89,-,-
