,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
21,Accrued Expenses,72.18,391.52,144.2,-,-,351.09,89.84,385.03,57.24,319.72,92.17,431.18,90.19,523.97,147.03,502.32,108.72,110.83,89.9,171.16,Upgrade
22,Short-Term Debt,66.93,47.88,32.25,-,-,71.04,59.04,109.1,609,129,34.76,44.71,44.71,34.71,14.94,45,40,55,120,222.16,Upgrade
23,Current Portion of Long-Term Debt,328.98,800.94,566.45,-,-,7.47,43.42,23.68,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Current Portion of Leases,-,28.04,-,-,-,36.88,-,28.36,25.83,29.81,29.34,33.69,49.87,48.45,56.05,43.62,43.1,42.59,42.08,41.58,Upgrade
25,Current Income Taxes Payable,54.28,14.65,53.64,-,-,4.81,30.76,1.82,83.71,7.16,36.56,3.88,31.67,25.24,61.76,22.95,47.95,27.64,36.35,13.38,Upgrade
26,Current Unearned Revenue,38.71,34.64,33.4,-,-,39.95,46.1,17.8,23.93,18.26,15.63,8.27,26.27,20.14,15.9,14.41,11.86,17.11,15.56,15.76,Upgrade
27,Other Current Liabilities,465.8,263.4,484.51,-,-,337.57,463.31,275.45,589.34,356.51,618.4,379.32,646.37,398.36,708.55,371.03,587.38,470.3,465.16,421.3,Upgrade
28,Total Current Liabilities,6549,6962,6544,-,-,5524,4821,5212,5853,4781,4742,5105,4860,5677,5362,5133,4663,4439,4033,4541,Upgrade
29,Long-Term Debt,475.54,50.92,300.86,-,-,670.23,710.14,710.14,237.49,237.4,248.94,248.76,219.15,202.2,186.91,176.97,152.13,131.87,111.39,76.51,Upgrade
30,Long-Term Leases,144.6,147.2,142.95,-,-,139.55,142.85,149.7,154.59,155.23,156.86,163.32,163.72,172.72,106.99,10.19,27.47,32.17,49.28,53.81,Upgrade
31,Long-Term Unearned Revenue,425.71,433.34,445.84,-,-,474.6,488.02,491.6,507.17,527.16,528.25,539.98,537.11,545.27,562.57,573.07,548.68,523.14,527.49,534.38,Upgrade
32,Long-Term Deferred Tax Liabilities,108.1,105.27,101.52,-,-,64.08,63.28,81.71,62.43,61.28,60.69,52.76,40.04,37.03,41.19,35.26,33.18,30.19,29.95,27.51,Upgrade
33,Other Long-Term Liabilities,188.73,165.03,186.36,-,-,140.82,167.87,133.88,184.47,173.55,224.01,208.73,287.93,276.49,282.55,258.27,276.71,258.98,228.3,233.72,Upgrade
34,Total Liabilities,7894,7891,7724,-,-,7042,6398,6809,6999,5956,5961,6349,6108,6911,6542,6187,5702,5415,4979,5467,Upgrade
35,Common Stock,1742,1742,1742,-,-,1742,1742,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,Upgrade
36,Additional Paid-In Capital,493.34,492.44,491.36,-,-,486.64,485.43,544.21,552.11,549.14,551,545.89,534.59,526.7,521.47,518.49,522.88,521.89,521.03,518.8,Upgrade
37,Retained Earnings,5530,5403,5679,-,-,5135,5424,5558,5348,5169,5596,5572,5375,5228,5473,5253,5046,4788,4767,4648,Upgrade
38,Treasury Stock,-130,-130,-130,-,-,-130,-130,-474.89,-474.89,-474.89,-474.89,-474.89,-450.04,-344.89,-344.89,-344.89,-344.89,-344.89,-344.89,-341.52,Upgrade
39,Comprehensive Income & Other,71.24,62.48,58.03,-,-,54.24,39.08,33.93,21.64,12.27,19.59,18.33,24.01,25.76,27.92,25.16,29.24,28.56,26.13,24.42,Upgrade
40,Total Common Equity,7707,7570,7840,-,-,7288,7560,7471,7257,7066,7502,7472,7294,7246,7488,7263,7064,6804,6780,6660,Upgrade
41,Minority Interest,1266,1188,1170,-,-,979.25,989.35,1000,999.43,957.81,1008,1040,1076,1090,1001,1012,944.93,928.8,834.68,793.37,Upgrade
42,Shareholders' Equity,8972,8758,9010,-,-,8267,8549,8471,8256,8024,8511,8512,8370,8336,8489,8275,8009,7733,7614,7454,Upgrade
43,Total Liabilities & Equity,16866,16649,16735,-,-,15310,14947,15280,15256,13980,14472,14861,14478,15247,15031,14461,13711,13148,12593,12921,Upgrade
44,Total Debt,1016,1075,1043,-,-,925.17,955.45,1021,1027,551.45,469.92,490.47,477.45,458.07,364.89,275.79,262.7,261.62,322.75,394.07,Upgrade
45,Net Cash (Debt),322.58,643.09,391.5,-,-,850.89,780.85,1471,837.21,1464,1907,2365,952.62,955.15,1435,1537,1097,1218,1218,1154,Upgrade
46,Net Cash Growth,-,-24.42%,-49.86%,-,-,-41.87%,-59.06%,-37.82%,-12.12%,53.25%,32.93%,53.83%,-13.13%,-21.60%,17.75%,33.29%,36.16%,50.90%,21.43%,-13.12%,Upgrade
47,Net Cash Per Share,0.19,0.39,0.22,-,-,0.47,0.48,0.84,0.49,1.39,0.80,1.32,0.55,0.53,0.85,0.90,0.63,0.68,0.72,0.68,Upgrade
48,Filing Date Shares Outstanding,1720,1720,1720,-,1721,1720,1637,1720,1720,1720,1720,1720,1741,1742,1742,1742,1742,1742,1742,1742,Upgrade
49,Total Common Shares Outstanding,1720,1720,1720,-,1721,1720,1637,1720,1720,1720,1720,1720,1741,1742,1742,1742,1742,1742,1742,1742,Upgrade
50,Working Capital,1698,1234,1493,-,-,1734,1913,1927,1368,1742,2267,2405,2430,2570,2649,2712,2542,2402,2358,2259,Upgrade
51,Book Value Per Share,4.48,4.40,4.56,-,-,4.24,4.62,4.34,4.22,4.11,4.36,4.34,4.19,4.16,4.30,4.17,4.06,3.91,3.89,3.82,Upgrade
52,Tangible Book Value,7130,6984,7246,-,-,6659,6917,6816,6597,6400,6822,6777,6589,6533,6811,6573,6407,6336,6309,6183,Upgrade
53,Tangible Book Value Per Share,4.15,4.06,4.21,-,-,3.87,4.22,3.96,3.84,3.72,3.97,3.94,3.79,3.75,3.91,3.77,3.68,3.64,3.62,3.55,Upgrade
54,Buildings,-,1676,-,-,-,1601,-,1599,-,1595,-,1629,-,1337,-,-,-,1273,-,1258,Upgrade
55,Machinery,-,4730,-,-,-,4527,-,4431,-,4239,-,4175,-,3738,-,-,-,2984,-,3149,Upgrade
56,Construction In Progress,-,487.35,-,-,-,415.15,-,311.69,-,249.44,-,198.78,-,474.93,-,-,-,427.5,-,359.54,Upgrade
