,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
11,EV/Sales Ratio,0.64,0.83,0.76,0.78,-,0.63,0.65,0.66,0.61,0.53,0.72,0.76,1.00,0.82,0.84,1.04,1.12,0.99,0.98,0.98,0.85,Upgrade
12,EV/EBITDA Ratio,15.82,16.70,20.08,21.21,-,20.11,23.30,29.28,34.03,48.93,41.51,-,28.06,24.33,22.99,23.09,-,15.40,16.77,17.57,15.00,Upgrade
13,EV/EBIT Ratio,48.24,38.55,71.72,82.24,-,628.99,-203.01,-,-,-,-,-,-,137.12,84.89,56.27,-,26.30,31.34,36.69,29.31,Upgrade
14,EV/FCF Ratio,-15.20,-,-18.73,-,-,-,-42.49,-,-26.31,-,-,-,10.89,1896.05,-,630.95,-378.73,-,47.54,90.55,-39.62,Upgrade
15,Debt / Equity Ratio,0.11,0.11,0.12,0.12,-,-,0.11,0.11,0.12,0.12,0.07,0.06,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.04,0.05,Upgrade
16,Debt / EBITDA Ratio,1.53,0.90,1.53,1.97,-,-,1.48,5.95,1.82,2.86,2.03,-,1.85,0.78,0.58,0.81,-,0.34,0.25,0.70,0.62,Upgrade
17,Debt / FCF Ratio,-,-,-2.21,-,-,-,-4.49,-,-3.52,-,-,-,0.42,89.22,-,18.25,-8.41,-,1.18,3.03,-1.83,Upgrade
18,Asset Turnover,0.93,0.92,-,-,-,0.99,0.74,0.87,1.01,0.80,0.74,0.95,0.72,0.94,0.84,0.85,0.85,0.99,0.65,1.03,Upgrade,
19,Inventory Turnover,-,9.97,10.21,-,-,-,8.92,7.41,9.09,10.39,8.46,8.47,11.97,8.33,11.71,10.71,12.39,12.18,13.68,8.21,13.01,Upgrade
20,Quick Ratio,1.01,1.01,0.96,0.99,-,-,1.00,1.05,1.08,0.98,1.07,1.16,1.22,1.24,1.22,1.26,1.30,1.33,1.35,1.33,1.27,Upgrade
21,Current Ratio,1.26,1.26,1.18,1.23,-,-,1.31,1.40,1.37,1.23,1.36,1.48,1.47,1.50,1.45,1.49,1.53,1.55,1.54,1.58,1.50,Upgrade
22,Return on Equity (ROE),9.14%,9.06%,-,-,-,7.07%,3.27%,10.32%,10.28%,2.57%,-0.44%,7.92%,5.97%,13.29%,9.88%,9.53%,13.93%,17.16%,5.90%,14.98%,Upgrade,
23,Return on Assets (ROA),2.63%,0.69%,-,-,-,0.52%,-1.13%,-0.06%,-0.04%,-1.00%,-1.90%,-1.24%,1.16%,1.34%,0.48%,-1.86%,2.21%,3.53%,0.81%,1.69%,Upgrade,
24,Return on Capital (ROIC),4.45%,1.16%,-,-,-,0.85%,-1.81%,-0.10%,-0.06%,-1.62%,-3.10%,-2.03%,1.96%,2.30%,0.81%,-3.11%,3.65%,5.71%,1.31%,2.75%,Upgrade,
25,Return on Capital Employed (ROCE),2.11%,2.41%,1.31%,1.10%,-,-,-0.44%,-,-,-,-,-,-,0.77%,1.29%,2.32%,-,4.71%,3.87%,3.07%,3.47%,Upgrade
26,Earnings Yield,6.96%,4.92%,5.69%,5.09%,-,6.64%,7.17%,6.87%,6.72%,6.69%,4.92%,6.92%,6.62%,8.51%,8.81%,7.85%,7.17%,8.42%,8.24%,8.35%,10.44%,Upgrade
27,FCF Yield,-7.23%,-7.61%,-5.84%,-4.66%,-,-1.32%,-2.41%,-6.79%,-3.88%,9.47%,10.12%,6.72%,9.27%,0.05%,-2.94%,0.16%,-0.26%,0.50%,2.03%,1.10%,-2.52%,Upgrade
28,Dividend Yield,4.32%,-,-,-,-,-,-,-,6.27%,-,-,-,4.70%,-,-,-,4.98%,-,-,-,4.48%,Upgrade
29,Payout Ratio,67.59%,5.19%,281.84%,2.79%,-,3.08%,307.84%,6.74%,-,-,585.17%,13.08%,-,-,188.86%,1.02%,1.85%,0.81%,94.29%,2.42%,1.15%,Upgrade
30,Buyback Yield / Dilution,0.13%,0.06%,9.50%,-10.51%,-,0.01%,-71.27%,31.38%,1.93%,1.10%,41.49%,-41.50%,-4.65%,-0.01%,-0.61%,0.69%,-0.66%,3.78%,1.41%,6.18%,3.83%,Upgrade
31,Total Shareholder Return,4.45%,0.06%,9.50%,-10.51%,-,0.01%,-71.27%,31.38%,8.19%,1.10%,41.49%,-41.50%,0.05%,-0.01%,-0.61%,0.69%,4.32%,3.78%,1.41%,6.18%,8.31%,Upgrade
