,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,EV/Sales Ratio,7.58,7.45,4.87,5.39,6.66,6.74,7.72,8.64,12.48,4.43,6.53,10.78,15.93,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,58.45,-,24.81,20.83,25.91,25.79,30.68,44.21,67.58,28.71,33.94,48.70,62.80,-,-,-,-,-,-,-
12,EV/EBIT Ratio,92.15,-,31.23,23.93,29.44,28.98,34.79,53.69,85.29,39.35,42.51,57.98,72.96,-,-,-,-,-,-,-
13,EV/FCF Ratio,-32.98,-,-,-,-,-,74.74,-,36.76,14.06,22.63,42.59,83.70,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,0.13,0.13,0.13
15,Debt / EBITDA Ratio,0.09,-,0.09,0.05,0.07,0.06,0.02,0.04,0.05,-,-,-,-,-,-,-,-,0.40,0.35,0.35
16,Debt / FCF Ratio,-,-,-,-,-,-,0.10,-,0.04,-,-,-,-,-,-,-,-,-,0.86,1.72
17,Asset Turnover,0.15,0.17,0.22,0.19,0.22,0.34,0.31,0.28,0.18,0.19,0.22,0.30,0.64,-,-,-,-,0.72,-,
18,Inventory Turnover,2.15,1.85,1.61,2.01,1.99,2.31,3.76,4.43,4.77,2.49,3.38,3.99,3.93,3.45,-,-,-,-,3.42,-
19,Quick Ratio,13.24,13.24,13.43,14.11,10.86,12.30,10.71,13.45,10.01,24.99,20.40,19.40,19.65,5.97,6.11,-,4.66,-,2.77,2.77
20,Current Ratio,14.62,14.62,14.97,15.47,11.98,13.26,11.54,14.49,10.66,26.42,21.71,20.44,20.67,7.01,7.45,-,6.09,-,3.31,3.31
21,Return on Equity (ROE),1.08%,5.31%,6.29%,5.40%,5.45%,12.68%,6.95%,8.39%,4.29%,4.67%,5.00%,5.90%,16.00%,17.14%,20.86%,23.28%,24.01%,29.49%,-,
22,Return on Assets (ROA),-1.01%,1.03%,2.46%,1.65%,2.60%,6.97%,3.82%,3.34%,1.20%,1.24%,2.14%,1.47%,10.21%,-,-,-,-,16.02%,-,
23,Return on Capital (ROIC),-1.07%,1.09%,2.63%,1.77%,2.80%,7.50%,4.13%,3.57%,1.25%,1.30%,2.25%,1.57%,11.50%,12.32%,12.97%,18.18%,15.97%,18.49%,-,
24,Return on Capital Employed (ROCE),1.62%,-,3.38%,5.69%,6.33%,7.08%,6.54%,4.01%,3.29%,2.36%,3.39%,4.52%,5.30%,19.84%,21.79%,-,28.41%,-,16.56%,8.28%
25,Earnings Yield,2.10%,2.12%,3.13%,3.39%,2.81%,2.88%,2.57%,2.00%,1.51%,2.51%,2.08%,1.79%,1.35%,-,-,-,-,-,-,-
26,FCF Yield,-2.07%,-2.09%,-2.25%,-1.19%,-0.79%,0.79%,0.98%,1.24%,2.10%,3.67%,2.79%,2.19%,1.14%,-,-,-,-,-,-,-
27,Dividend Yield,2.70%,-,-,-,2.27%,-,-,-,1.20%,-,-,-,0.84%,-,-,-,-,-,-,-
28,Payout Ratio,130.09%,-,444.30%,-,-,6.81%,128.37%,-,-,298.11%,-,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-1.00%,-1.14%,3.83%,-0.84%,-6.27%,4.25%,-0.53%,-1.97%,-30.00%,-35.86%,-39.32%,-27.62%,5.25%,-3.04%,2.92%,-1.17%,-,-,-,-
30,Total Shareholder Return,1.70%,-1.14%,3.83%,-0.84%,-4.00%,4.25%,-0.53%,-1.97%,-28.80%,-35.86%,-39.32%,-27.62%,6.09%,-3.04%,2.92%,-1.17%,-,-,-,-
