,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
14,Other Non Operating Income (Expenses),-1.87,1.82,-0.44,-0.12,-28.87,27.6,6.12,-5.29,1.66,-1.9,-0.16,-0.16
15,EBT Excluding Unusual Items,41.55,48.88,23.08,22.28,-17.87,108.66,70.02,75.33,110.27,103.76,94.28,94.28
16,Gain (Loss) on Sale of Investments,-0.16,0.07,0.08,-,0,-0,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.38,0.07,-0.06,0.37,-0.33,0.04,-0.11,-0.12,-0.76,-0.76,-0.01,-0.01
18,Asset Writedown,9.27,-9.27,3.84,-3.84,14.28,-14.28,8.07,-8.07,-2.62,0.43,-0.43,-0.43
19,Other Unusual Items,-,-6.75,3.93,2.82,39.33,-,-,-,-0.4,3.06,4.29,4.29
20,Pretax Income,50.29,33,30.87,21.63,35.4,94.41,77.98,67.14,106.49,106.49,98.13,98.13
21,Income Tax Expense,8.38,2.34,0.93,3.36,2.49,11.09,6.71,7.79,10.27,10.27,11.9,11.9
22,Net Income,41.91,30.67,29.94,18.27,32.91,83.33,71.27,59.35,96.22,96.22,86.22,86.22
23,Net Income to Common,41.91,30.67,29.94,18.27,32.91,83.33,71.27,59.35,96.22,96.22,86.22,86.22
24,Net Income Growth,27.33%,-63.20%,-57.99%,-69.22%,-65.79%,-13.40%,-17.34%,-31.17%,-,-,-,-
25,Shares Outstanding (Basic),712,767,596,609,626,595,594,593,602,602,595,595
26,Shares Outstanding (Diluted),712,767,769,609,626,595,594,593,602,602,595,595
27,Shares Change (YoY),13.86%,28.75%,29.38%,2.60%,3.95%,-1.04%,-0.11%,-0.20%,-,-,-,-
28,EPS (Basic),0.06,0.04,0.05,0.03,0.05,0.14,0.12,0.10,0.16,0.16,0.14,0.14
29,EPS (Diluted),0.06,0.04,0.04,0.03,0.05,0.14,0.12,0.10,0.16,0.16,0.14,0.14
30,EPS Growth,11.83%,-71.42%,-67.53%,-70.00%,-67.09%,-12.49%,-17.25%,-31.03%,-,-,-,-
31,Free Cash Flow,-,34.04,79.11,-7.9,15.71,159.66,-11.46,41.93,105.61,105.61,139.23,139.23
32,Free Cash Flow Per Share,-,0.04,0.10,-0.01,0.03,0.27,-0.02,0.07,0.18,0.18,0.23,0.23
33,Dividend Per Share,-,-,-,-,0.298,-,-,-,-,-,-,-
34,Gross Margin,-40.30%,32.37%,24.19%,29.72%,29.82%,38.88%,34.80%,41.28%,41.80%,41.05%,42.56%,42.56%
35,Operating Margin,15.50%,18.07%,6.87%,8.31%,4.40%,26.20%,18.55%,26.06%,28.40%,27.67%,28.16%,28.16%
36,Profit Margin,15.87%,10.14%,10.21%,7.33%,11.98%,22.54%,19.92%,17.16%,23.77%,23.77%,23.09%,23.09%
37,Free Cash Flow Margin,-,11.26%,26.98%,-3.17%,5.72%,43.19%,-3.20%,12.12%,26.09%,26.09%,37.29%,37.29%
38,EBITDA,101.1,114.81,87.31,80.87,72.27,152.88,128.53,146.17,172.7,169.76,159.44,159.44
39,EBITDA Margin,38.28%,37.97%,29.77%,32.47%,26.30%,41.36%,35.92%,42.25%,42.66%,41.94%,42.70%,42.70%
40,D&A For EBITDA,60.18,60.18,67.15,60.18,60.18,56.02,62.16,56.02,57.74,57.74,54.31,54.31
41,EBIT,40.92,54.63,20.16,20.69,12.09,96.86,66.36,90.15,114.97,112.02,105.14,105.14
42,EBIT Margin,15.50%,18.07%,6.87%,8.31%,4.40%,26.20%,18.55%,26.06%,28.40%,27.67%,28.16%,28.16%
43,Effective Tax Rate,16.66%,7.09%,3.01%,15.54%,7.03%,11.74%,8.60%,11.61%,9.64%,9.64%,12.13%,12.13%
44,Revenue as Reported,-,302.34,293.23,249.07,274.8,369.68,357.76,345.94,1556,-,-,-
