,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
40,Net Cash Per Share,1.55,1.44,1.64,1.94,-0.33,-,-0.53,-0.54,-0.54,-0.54,-0.83,-0.83
41,Filing Date Shares Outstanding,665.46,665.46,665.46,662.06,595.85,595.44,595.85,593.46,595.85,595.85,595.85,595.85
42,Total Common Shares Outstanding,665.46,665.46,665.46,662.06,595.85,595.44,595.85,593.46,595.85,595.85,595.85,595.85
43,Working Capital,-,1586,1694,1784,350.06,-,531.28,-,554.42,554.42,426.76,426.76
44,Book Value Per Share,6.13,6.13,6.08,6.35,4.68,-,4.47,4.33,4.33,4.33,4.00,4.00
45,Tangible Book Value,3959,3959,3924,4082,2666,-,2538,2450,2450,2450,2252,2252
46,Tangible Book Value Per Share,5.95,5.95,5.90,6.17,4.47,-,4.26,4.11,4.11,4.11,3.78,3.78
47,Buildings,-,-,677.02,-,676.98,-,676.98,-,677.12,674.08,674.31,674.31
48,Machinery,-,-,3116,-,2964,-,2791,-,2691,2694,2520,2520
49,Construction In Progress,-,-,112.92,-,152.88,-,172.44,-,110.71,110.71,99.36,99.36
