,Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
24,Income Tax Expense,298831,231677,192965,216090,215235,245301,297982,257540,146717,197308,174907,143088,107610,107610,152952,300
25,Net Income,1161289,908195,753505,853806,837412,964752,1201905,1048859,591486,776659,683223,555150,422309,422309,207447,308400
26,Preferred Dividends & Other Adjustments,58168,-,58168,-,92001,-,92000,-,18419,-,-,-,20,20,22261,-
27,Net Income to Common,1103121,908195,695337,853806,745411,964752,1109905,1048859,573067,776659,683223,555150,422289,422289,185186,308400
28,Net Income Growth,38.68%,-5.86%,-37.31%,-18.60%,41.58%,24.22%,75.92%,88.93%,40.06%,83.91%,229.35%,80.01%,-,-,-,-
29,Basic Shares Outstanding,2793,2787,2787,2787,3217,2689,2824,2477,2393,2551,1971,2151,2700,2700,1785,-
30,Diluted Shares Outstanding,2793,2787,2787,2787,3217,2689,2824,2477,2393,2551,1971,2151,2700,2700,1785,-
31,Shares Change (YoY),-13.18%,3.64%,-1.32%,12.53%,34.44%,5.41%,43.32%,15.18%,-11.37%,-5.50%,10.38%,-,-,-,-,-
32,EPS (Basic),394.95,325.83,249.46,306.32,231.72,358.74,392.96,423.43,239.49,304.42,346.68,258.15,156.42,156.42,103.72,-
33,EPS (Diluted),394.95,325.83,249.46,306.32,231.72,358.74,392.96,423.43,239.49,304.42,346.68,258.15,156.42,156.42,103.72,-
34,EPS Growth,70.45%,-9.17%,-36.52%,-27.66%,-3.25%,17.84%,13.35%,64.03%,53.11%,94.62%,234.24%,-,-,-,-,-
35,Effective Tax Rate,20.47%,20.32%,20.39%,20.20%,20.45%,20.27%,19.87%,19.71%,19.87%,20.26%,20.38%,20.49%,20.31%,20.31%,42.44%,0.10%
